q_end,b2_ocr,b2c_swap_2y,b2c_swap_5y,b2c_nzgb_2y,b2c_nzgb_5y,b2c_swap_slope_5y2y,b2c_gov_slope_5y2y,b3_housing_lending,b30_new_standard_residential_mortgage_interest_rates_simple_average_percent_during_month_2,b30_new_standard_residential_mortgage_interest_rates_simple_average_percent_during_month_3,b30_new_standard_residential_mortgage_interest_rates_simple_average_percent_during_month_4,b30_new_standard_residential_mortgage_interest_rates_simple_average_percent_during_month_5,b30_new_standard_residential_mortgage_interest_rates_simple_average_percent_during_month_6,h1_expected_inflation_1y,h1_expected_inflation_2y,h1_expected_inflation_5y,h1_expected_house_price_1y,h1_expected_house_price_5y,h2_mortgage_payment_risk,h2_rent_payment_risk,h2_expected_earnings_change,h2_job_loss_risk,h2_job_find_prob,house_price_annual_pct_change,house_value_index,debt_servicing_pct,floating_rate,two_year_fixed_rate,cpi_annual_pct_change,unemployment_rate
2020-03-31,0.8669354838709676,0.9648387096774194,1.0638709677419356,NA,1.0158064516129033,0.0990322580645162,NA,5.006666666666667,NA,NA,NA,NA,NA,19.333333333333336,NA,3.35,27.7,NA,NA,NA,NA,NA,NA,7.6,1227951,7.2,5.236666666666666,4.37,2.5,4.2
2020-06-30,0.25,0.25426229508196724,0.390655737704918,NA,0.39885245901639343,0.13639344262295078,NA,4.48,NA,NA,NA,NA,NA,17.8,NA,3.4,1.6333333333333335,NA,NA,NA,NA,NA,NA,6.8,1227900,6.8,4.716666666666667,3.95,1.5,4.1
2020-09-30,0.25,0.12787878787878784,0.22803030303030303,NA,0.23075757575757577,0.1001515151515152,NA,4.426666666666667,NA,NA,NA,NA,NA,19.033333333333335,NA,3.45,19.266666666666666,NA,NA,NA,NA,NA,NA,10,1280867,6.1,4.6,3.67,1.4,5.2
2020-12-31,0.25,0.15380952380952378,0.3088888888888889,0.2313793103448276,0.2003174603174603,0.1550793650793651,-0.03106185002736727,4.4,NA,NA,NA,NA,NA,20.933333333333337,NA,3.65,28.266666666666666,NA,NA,NA,NA,NA,NA,16.1,1385674,5.7,4.52,3.523333333333333,1.4,4.9
2021-03-31,0.25,0.3914754098360656,0.8891803278688525,0.270983606557377,0.7447540983606558,0.4977049180327869,0.47377049180327874,4.38,NA,NA,NA,NA,NA,23.700000000000003,NA,3.65,31.166666666666668,NA,NA,NA,NA,NA,NA,22.7,1512986,5.5,4.51,3.476666666666667,1.5,4.6
2021-06-30,0.25,0.5452459016393443,1.1895081967213117,0.3045901639344263,0.9868852459016394,0.6442622950819672,0.6822950819672131,4.373333333333333,4.1066666666666665,3.3400000000000003,2.2966666666666664,2.556666666666666,2.513333333333333,24.83333333333334,NA,4.4,24.46666666666667,NA,NA,NA,NA,NA,NA,28.5,1591524,5.6,4.483333333333333,3.466666666666667,3.3,4
2021-09-30,0.25,1.2024242424242424,1.5960606060606062,0.8615151515151515,1.3215151515151515,0.3936363636363638,0.4600000000000001,4.41,4.03,3.2466666666666666,2.4066666666666667,2.54,2.6433333333333335,29.833333333333332,NA,4.55,27.7,NA,NA,NA,NA,NA,NA,28.7,1663058,5.2,4.52,3.743333333333333,4.9,3.3
2021-12-31,0.5833333333333333,2.0831746031746032,2.4653968253968253,1.8262264150943397,2.1266666666666665,0.382222222222222,0.3004402515723268,4.66,4.216666666666667,3.7333333333333334,2.94,3.2266666666666666,3.3366666666666664,30.9,NA,5.3,26.866666666666664,NA,NA,NA,NA,NA,NA,25.9,1763125,5,4.796666666666667,4.533333333333333,5.9,3.2
2022-03-31,0.8565573770491803,2.6557377049180326,2.954098360655738,2.335409836065574,2.6445901639344265,0.2983606557377052,0.3091803278688525,4.866666666666667,4.4799999999999995,3.943333333333334,3.4566666666666666,3.7966666666666664,3.9833333333333334,26.3,5.2,3.15,23.766666666666666,11.1,7.25,8.5,17.65,14.7,50.4,13.6,1723371,5.5,4.976666666666667,4.833333333333333,6.9,3.2
2022-06-30,1.625,3.8368333333333338,3.923333333333334,3.345666666666667,3.553166666666667,0.08650000000000002,0.2075,5.556666666666667,4.983333333333333,4.51,3.9966666666666666,4.35,4.59,25.075,4.8,3.3,12.033333333333331,6,9.55,13,18.78333333333333,19.3,51.35,5.1,1680923,6.2,5.596666666666667,5.72,7.3,3.3
