Date,Floating rate,2 year fixed rate
31/08/2025,6.63,5.46
31/07/2025,6.79,5.59
30/06/2025,6.79,5.59
31/05/2025,6.92,5.63
30/04/2025,7,5.66
31/03/2025,7.24,5.73
28/02/2025,7.33,5.72
31/01/2025,7.63,6.03
31/12/2024,7.66,6.12
30/11/2024,7.96,6.27
31/10/2024,8.11,6.29
30/09/2024,8.45,6.48
31/08/2024,8.45,6.66
31/07/2024,8.61,7.15
30/06/2024,8.61,7.35
31/05/2024,8.61,7.36
30/04/2024,8.61,7.38
31/03/2024,8.61,7.4
29/02/2024,8.61,7.45
31/01/2024,8.61,7.48
31/12/2023,8.61,7.54
30/11/2023,8.61,7.59
31/10/2023,8.61,7.6
30/09/2023,8.59,7.5
31/08/2023,8.58,7.42
31/07/2023,8.51,7.32
30/06/2023,8.45,7.15
31/05/2023,8.37,7.1
30/04/2023,8.27,7.07
31/03/2023,7.98,7.03
28/02/2023,7.84,7
31/01/2023,7.8,7.08
31/12/2022,7.81,7.08
30/11/2022,7.33,6.75
31/10/2022,6.99,6.47
30/09/2022,6.65,6.06
31/08/2022,6.54,5.91
31/07/2022,6.22,5.94
30/06/2022,5.89,5.99
31/05/2022,5.51,5.62
30/04/2022,5.39,5.55
31/03/2022,5.08,5.04
28/02/2022,4.94,4.75
31/01/2022,4.91,4.71
31/12/2021,4.91,4.73
30/11/2021,4.83,4.65
31/10/2021,4.65,4.22
30/09/2021,4.52,3.87
31/08/2021,4.52,3.69
31/07/2021,4.52,3.67
30/06/2021,4.47,3.47
31/05/2021,4.47,3.47
30/04/2021,4.51,3.46
31/03/2021,4.51,3.47
28/02/2021,4.51,3.47
31/01/2021,4.51,3.49
31/12/2020,4.51,3.51
30/11/2020,4.51,3.51
31/10/2020,4.54,3.55
30/09/2020,4.6,3.63
31/08/2020,4.6,3.68
31/07/2020,4.6,3.7
30/06/2020,4.62,3.74
31/05/2020,4.75,3.92
30/04/2020,4.78,4.19
31/03/2020,4.81,4.22
29/02/2020,5.45,4.45
31/01/2020,5.45,4.44
31/12/2019,5.45,4.44
30/11/2019,5.45,4.42
31/10/2019,5.45,4.41
30/09/2019,5.45,4.48
31/08/2019,5.49,4.59
31/07/2019,5.73,4.67
30/06/2019,5.73,4.69
31/05/2019,5.74,4.73
30/04/2019,5.78,4.78
31/03/2019,5.78,4.81
28/02/2019,5.77,4.92
31/01/2019,5.77,4.93
31/12/2018,5.77,4.93
30/11/2018,5.77,4.91
31/10/2018,5.77,4.92
30/09/2018,5.77,4.93
31/08/2018,5.77,5
31/07/2018,5.77,5.01
30/06/2018,5.77,5.02
31/05/2018,5.77,5.02
30/04/2018,5.76,5.05
31/03/2018,5.75,5.06
28/02/2018,5.75,5.08
31/01/2018,5.75,5.08
31/12/2017,5.75,5.08
30/11/2017,5.75,5.08
31/10/2017,5.75,5.08
30/09/2017,5.75,5.08
31/08/2017,5.75,5.1
31/07/2017,5.75,5.14
30/06/2017,5.74,5.09
31/05/2017,5.73,5.09
30/04/2017,5.71,5.07
31/03/2017,5.69,5.08
28/02/2017,5.64,5.05
31/01/2017,5.63,5.04
31/12/2016,5.7,5.14
30/11/2016,5.7,5.09
31/10/2016,5.64,5.06
30/09/2016,5.64,5.06
31/08/2016,5.64,5.06
31/07/2016,5.7,5.05
30/06/2016,5.7,5.05
31/05/2016,5.69,5.04
30/04/2016,5.69,5.09
31/03/2016,5.7,5.12
29/02/2016,5.79,5.18
31/01/2016,5.8,5.21
31/12/2015,5.85,5.23
30/11/2015,5.99,5.25
31/10/2015,5.99,5.25
30/09/2015,5.96,5.32
31/08/2015,6.12,5.43
31/07/2015,6.16,5.56
30/06/2015,6.4,5.61
31/05/2015,6.56,5.79
30/04/2015,6.56,5.92
31/03/2015,6.56,5.98
28/02/2015,6.56,5.99
31/01/2015,6.59,6.14
31/12/2014,6.59,6.16
30/11/2014,6.59,6.18
