"date","Area_Name","Area_Type","Mortgage Affordability Index","Deposit Affordability Index","Rent Affordability Index"
2004-03-31,"Hauraki District","TA",1.117,1.3539,1.1179
2004-03-31,"Horowhenua District","TA",1.0246,1.242,1.0612
2004-03-31,"Hurunui District","TA",1.0472,1.2693,1.0886
2004-03-31,"Invercargill City","TA",0.9621,1.1662,0.8541
2004-03-31,"Kaikoura District","TA",0.7215,0.8745,0.9125
2004-03-31,"Kaipara District","TA",0.9249,1.1211,1.1332
2004-03-31,"Kapiti Coast District","TA",0.9073,1.0998,0.9968
2004-03-31,"Kawerau District","TA",1.2167,1.4748,1.2104
2004-03-31,"Hutt City","TA",0.9425,1.1424,1.0311
2004-03-31,"MacKenzie District","TA",0.9287,1.1257,0.9901
2004-03-31,"Manawatu District","TA",1.0217,1.2384,1.0172
2004-03-31,"Marlborough District","TA",0.7351,0.8911,0.9455
2004-03-31,"Masterton District","TA",0.9141,1.1079,1.0657
2004-03-31,"Matamata Piako District","TA",1.1241,1.3625,1.1694
2004-03-31,"Napier City","TA",0.7725,0.9364,0.9877
2004-03-31,"Nelson City","TA",0.7255,0.8794,0.9475
2004-03-31,"New Plymouth District","TA",0.901,1.0921,0.9511
2004-03-31,"New Zealand","NZ",0.8713,1.0561,0.9486
2004-03-31,"Opotiki District","TA",0.9869,1.1962,1.0458
2004-03-31,"Otorohanga District","TA",1.077,1.3055,1.013
2004-03-31,"Palmerston North City","TA",0.9367,1.1354,0.9665
2004-03-31,"Porirua City","TA",0.9295,1.1267,1.0287
2004-03-31,"Queenstown Lakes District","TA",0.7035,0.8527,0.8996
2004-03-31,"Rangitikei District","TA",1.2211,1.4801,0.9974
2004-03-31,"Rotorua District","TA",0.9976,1.2092,1.0307
2004-03-31,"Ruapehu District","TA",1.429,1.7322,1.1005
2004-03-31,"Selwyn District","TA",1.1612,1.4076,0.9445
2004-03-31,"South Taranaki District","TA",1.3033,1.5798,1.196
2004-03-31,"South Waikato District","TA",1.3085,1.5861,1.0444
2004-03-31,"South Wairarapa District","TA",0.9564,1.1593,0.9655
2004-03-31,"Southland District","TA",0.9645,1.1691,0.9547
2004-03-31,"Stratford District","TA",1.4609,1.7708,1.1905
2004-03-31,"Tararua District","TA",1.1111,1.3468,1.0654
2004-03-31,"Tasman District","TA",0.6773,0.821,0.9411
2004-03-31,"Taupo District","TA",0.7088,0.8592,0.9885
2004-03-31,"Tauranga City","TA",0.7303,0.8852,0.9459
2004-03-31,"Thames Coromandel District","TA",0.8077,0.979,1.0553
2004-03-31,"Timaru District","TA",0.9888,1.1986,0.9831
2004-03-31,"Upper Hutt City","TA",0.9656,1.1705,1.0646
2004-03-31,"Waikato District","TA",0.9708,1.1767,1.0327
2004-03-31,"Waimakariri District","TA",0.9817,1.19,0.9837
2004-03-31,"Waimate District","TA",0.9853,1.1943,0.9587
2004-03-31,"Waipa District","TA",1.0006,1.2128,1.0391
2004-03-31,"Wairoa District","TA",0.9195,1.1145,0.9411
2004-03-31,"Waitaki District","TA",0.8735,1.0587,1.088
2004-03-31,"Waitomo District","TA",1.1075,1.3425,1.0791
2004-03-31,"Wellington City","TA",0.8503,1.0307,0.9961
2004-03-31,"Western Bay of Plenty District","TA",0.7936,0.9619,0.9892
2004-03-31,"Westland District","TA",1.0849,1.315,1.0651
2004-03-31,"Whakatane District","TA",0.9218,1.1173,1.0282
2004-03-31,"Whanganui District","TA",1.0581,1.2826,1.0202
2004-03-31,"Whangarei District","TA",0.9173,1.1119,1.0332
2004-03-31,"Auckland","Reg",0.8866,1.0747,0.9329
2004-03-31,"Bay of Plenty","Reg",0.8286,1.0044,0.9826
2004-03-31,"Canterbury","Reg",0.9075,1.1,0.9021
2004-03-31,"Gisborne","Reg",0.9607,1.1644,1.0491
2004-03-31,"Hawke's Bay","Reg",0.8165,0.9897,0.9937
2004-03-31,"Manawatu-Wanganui","Reg",1.0048,1.2179,0.9837
2004-03-31,"Marlborough","Reg",0.7351,0.8911,0.9454
2004-03-31,"Nelson","Reg",0.7255,0.8794,0.9474
2004-03-31,"Northland","Reg",0.9043,1.0961,1.0382
2004-03-31,"Otago","Reg",0.8308,1.007,0.9836
2004-03-31,"Southland","Reg",0.998,1.2097,0.8945
2004-03-31,"Taranaki","Reg",1.0038,1.2167,1.0136
2004-03-31,"Tasman","Reg",0.6773,0.821,0.9412
2004-03-31,"Waikato","Reg",0.8903,1.0792,0.9694
2004-03-31,"Wellington","Reg",0.8878,1.0762,1.0007
2004-03-31,"West Coast","Reg",1.0306,1.2492,1.0141
2004-06-30,"Ashburton District","TA",1.0022,1.2377,1.0191
2004-06-30,"Buller District","TA",0.9993,1.2341,1.0137
2004-06-30,"Carterton District","TA",0.9011,1.1128,1.0093
2004-06-30,"Central Hawkes Bay District","TA",0.8823,1.0896,0.9246
2004-06-30,"Central Otago District","TA",0.7699,0.9508,0.8724
2004-06-30,"Christchurch City","TA",0.8411,1.0387,0.8985
2004-06-30,"Clutha District","TA",0.9522,1.176,1.0355
2004-06-30,"Dunedin City","TA",0.8088,0.9988,1.0475
2004-06-30,"Far North District","TA",0.8861,1.0944,1.0079
2004-06-30,"Gisborne District","TA",0.9011,1.1128,1.0461
2004-06-30,"Gore District","TA",1.0847,1.3396,1.0694
2004-06-30,"Grey District","TA",0.9009,1.1126,0.9456
2004-06-30,"Hamilton City","TA",0.9181,1.1339,0.9192
2004-06-30,"Hastings District","TA",0.7914,0.9774,0.9973
2004-06-30,"Hauraki District","TA",1.0216,1.2617,1.1273
2004-06-30,"Horowhenua District","TA",0.9418,1.1631,1.0484
2004-06-30,"Hurunui District","TA",0.9649,1.1916,1.058
2004-06-30,"Invercargill City","TA",0.9218,1.1384,0.8646
2004-06-30,"Kaikoura District","TA",0.6652,0.8215,0.9896
2004-06-30,"Kaipara District","TA",0.9208,1.1372,1.1224
2004-06-30,"Kapiti Coast District","TA",0.8768,1.0828,1.0023
2004-06-30,"Kawerau District","TA",1.1579,1.4299,1.157
2004-06-30,"Hutt City","TA",0.9146,1.1295,1.0489
2004-06-30,"MacKenzie District","TA",0.8239,1.0176,0.7399
2004-06-30,"Manawatu District","TA",0.987,1.219,1.0185
2004-06-30,"Marlborough District","TA",0.7211,0.8905,0.9257
2004-06-30,"Masterton District","TA",0.8737,1.079,1.0582
2004-06-30,"Matamata Piako District","TA",1.0685,1.3195,1.1618
2004-06-30,"Napier City","TA",0.7218,0.8914,0.977
2004-06-30,"Nelson City","TA",0.7452,0.9203,0.9842
2004-06-30,"New Plymouth District","TA",0.8505,1.0503,0.9524
2004-06-30,"New Zealand","NZ",0.8516,1.0517,0.961
2004-06-30,"Opotiki District","TA",0.9363,1.1563,0.9991
2004-06-30,"Otorohanga District","TA",1.0609,1.3102,1.0798
2004-06-30,"Palmerston North City","TA",0.8945,1.1047,0.9597
2004-06-30,"Porirua City","TA",0.9117,1.1259,1.0317
2004-06-30,"Queenstown Lakes District","TA",0.7408,0.9149,0.8441
2004-06-30,"Rangitikei District","TA",1.1148,1.3768,0.9905
2004-06-30,"Rotorua District","TA",0.9626,1.1888,1.0373
2004-06-30,"Ruapehu District","TA",1.2987,1.6039,1.0298
2004-06-30,"Selwyn District","TA",1.1201,1.3833,1.0217
2004-06-30,"South Taranaki District","TA",1.2872,1.5897,1.1579
2004-06-30,"South Waikato District","TA",1.2301,1.5191,1.0577
2004-06-30,"South Wairarapa District","TA",0.9231,1.14,0.9967
2004-06-30,"Southland District","TA",0.9557,1.1803,1.0001
2004-06-30,"Stratford District","TA",1.3599,1.6794,1.2048
2004-06-30,"Tararua District","TA",1.0361,1.2796,1.0944
