Suburb,Average property value,3-month change,1-year change,5-year change
Sefton,"$996,000","$9,000","-$16,000","$355,000"
Blenheim,"$616,000","$9,000","$18,000","$191,000"
Whangarei Heads,"$1,086,000","$9,000","-$10,000","$260,000"
Waikouaiti,"$541,000","$9,000","$22,000","$201,000"
Richmond,"$496,000","$9,000","$14,000","$184,000"
Normanby,"$526,000","$9,000","$5,000","$260,000"
Opunake,"$490,000","$9,000","-$24,000","$232,000"
Glen Eden,"$866,000","$10,000",$0,"$160,000"
Te Puke,"$822,000","$10,000","$12,000","$255,000"
Linwood,"$516,000","$10,000","$31,000","$192,000"
Sumner,"$1,178,000","$10,000","$97,000","$461,000"
Flaxmere,"$489,000","$10,000","$25,000","$204,000"
Awapuni,"$632,000","$10,000","$9,000","$203,000"
Durie Hill,"$618,000","$10,000","$30,000","$264,000"
Otamatea,"$920,000","$10,000","$57,000","$334,000"
Maungaturoto,"$777,000","$10,000","$11,000","$260,000"
Balclutha,"$447,000","$10,000","$1,000","$177,000"
Palmerston,"$456,000","$10,000","$34,000","$199,000"
Manaia,"$378,000","$10,000","-$13,000","$196,000"
Waverley,"$418,000","$10,000","-$21,000","$215,000"
Karapiro,"$1,429,000","$10,000","$15,000","$422,000"
Silverstream,"$914,000","$10,000","$81,000","$258,000"
Totara Park,"$726,000","$10,000","$69,000","$210,000"
Feilding,"$664,000","$11,000","$9,000","$215,000"
Hargest,"$540,000","$11,000","$18,000","$195,000"
Waverley,"$581,000","$11,000","$26,000","$208,000"
Kihikihi,"$763,000","$11,000","$27,000","$252,000"
Albany Heights,"$1,429,000","$12,000","$68,000","$202,000"
Kumeu,"$1,526,000","$12,000","-$17,000","$217,000"
Elgin,"$983,000","$12,000","-$24,000","$179,000"
Fendalton,"$1,773,000","$12,000","$275,000","$576,000"
Marton,"$515,000","$12,000","$8,000","$209,000"
Westmere,"$1,043,000","$12,000","$40,000","$445,000"
Redwoodtown,"$614,000","$12,000","$27,000","$201,000"
Enner Glynn,"$885,000","$12,000","$20,000","$207,000"
Karikari Peninsula,"$783,000","$12,000","-$21,000","$224,000"
Otatara,"$802,000","$12,000","$56,000","$288,000"
Eltham,"$428,000","$12,000","$3,000","$193,000"
Waihi,"$709,000","$12,000","-$3,000","$235,000"
Paraparaumu,"$816,000","$12,000","$46,000","$235,000"
Hutt Central,"$1,019,000","$12,000","$44,000","$192,000"
Petone,"$857,000","$12,000","$23,000","$156,000"
Helensville,"$1,184,000","$13,000","$33,000","$230,000"
Kawerau,"$400,000","$13,000","-$6,000","$131,000"
Redcliffs,"$1,194,000","$13,000","$73,000","$406,000"
Woolston,"$578,000","$13,000","$36,000","$221,000"
Kirwee,"$1,015,000","$13,000","$18,000","$282,000"
Loburn,"$1,167,000","$13,000","-$4,000","$406,000"
Whanganui,"$417,000","$13,000","$21,000","$178,000"
Riversdale,"$560,000","$13,000","$14,000","$180,000"
South Dunedin,"$429,000","$13,000","$27,000","$137,000"
Holmes Hill,"$580,000","$13,000","$13,000","$191,000"
Oamaru North,"$483,000","$13,000","$5,000","$148,000"
Reefton,"$403,000","$13,000","$33,000","$231,000"
Matua,"$1,212,000","$14,000","$42,000","$372,000"
Gonville,"$444,000","$14,000","$19,000","$196,000"
Kaikohe,"$414,000","$14,000","$7,000","$195,000"
Paraparaumu Beach,"$890,000","$14,000","$43,000","$254,000"
Halswell,"$876,000","$15,000","$57,000","$301,000"
Amberley,"$751,000","$15,000","$32,000","$272,000"
Maraenui,"$491,000","$15,000","$5,000","$198,000"
Westshore,"$1,051,000","$15,000","-$25,000","$290,000"
Woodville,"$397,000","$15,000","$43,000","$157,000"
Springlands,"$836,000","$15,000","$26,000","$255,000"
Atawhai,"$933,000","$15,000","$22,000","$200,000"
Arrowtown,"$2,648,000","$15,000","$260,000","$1,058,000"
Lake Hayes,"$2,636,000","$15,000","$191,000","$897,000"
Windsor,"$596,000","$15,000","$32,000","$210,000"
Fitzroy,"$942,000","$15,000","$13,000","$365,000"
Prebbleton,"$1,301,000","$16,000","$66,000","$441,000"
Waikuku Beach,"$715,000","$16,000","$26,000","$286,000"
South Hill,"$531,000","$16,000","$14,000","$173,000"
Gore,"$489,000","$16,000","$30,000","$195,000"
Riverton/Aparima,"$695,000","$16,000","$31,000","$301,000"
New Plymouth,"$889,000","$16,000","$13,000","$287,000"
Brightwater,"$950,000","$16,000","$6,000","$240,000"
Wakefield,"$917,000","$16,000","$2,000","$250,000"
Te Kauwhata,"$830,000","$16,000","$6,000","$245,000"
Whakamarama,"$1,517,000","$17,000","-$22,000","$424,000"
Leithfield,"$686,000","$17,000","$22,000","$228,000"
Milton,"$444,000","$17,000","-$4,000","$179,000"
Avenal,"$489,000","$17,000","$9,000","$166,000"
Gladstone,"$635,000","$17,000","$29,000","$201,000"
Cheviot,"$518,000","$18,000","$34,000","$232,000"
Fitzherbert,"$959,000","$18,000","$29,000","$289,000"
Strandon,"$1,000,000","$18,000","$20,000","$352,000"
Mapua,"$1,162,000","$18,000","$58,000","$344,000"
Waikanae,"$941,000","$18,000","$38,000","$266,000"
Clifton,"$1,348,000","$19,000","$120,000","$536,000"
Kaitaia,"$463,000","$19,000","$10,000","$182,000"
Weston,"$750,000","$19,000","$38,000","$243,000"
Westport,"$422,000","$19,000","$24,000","$192,000"
Allenton,"$653,000","$20,000","$33,000","$221,000"
Paihia,"$853,000","$20,000","$3,000","$266,000"
East Gore,"$412,000","$20,000","$24,000","$185,000"
Karori,"$1,110,000","$20,000","$50,000","$206,000"
Lincoln,"$1,017,000","$21,000","$44,000","$323,000"
Mosgiel,"$740,000","$21,000","$29,000","$218,000"
Mataura,"$327,000","$21,000","$17,000","$181,000"
Pukekawa,"$1,117,000","$21,000","$16,000","$161,000"
Hokitika,"$477,000","$21,000","$52,000","$210,000"
Acacia Bay,"$1,375,000","$22,000","$21,000","$484,000"
Mangere East,"$869,000","$23,000","$27,000","$200,000"
Burleigh,"$1,025,000","$23,000","$25,000","$309,000"
Tasman,"$1,530,000","$23,000","-$43,000","$389,000"
Whangamata,"$1,440,000","$23,000","$50,000","$536,000"
Glenbrook,"$1,200,000","$24,000","$49,000","$242,000"
Henderson Valley,"$1,343,000","$24,000","$45,000","$345,000"
Methven,"$728,000","$24,000","$80,000","$242,000"
St Albans,"$922,000","$24,000","$40,000","$333,000"
Tauranga,"$1,048,000","$25,000","$52,000","$268,000"
Netherby,"$586,000","$25,000","$60,000","$219,000"
Tinwald,"$633,000","$25,000","$35,000","$211,000"
Rosedale,"$766,000","$25,000","$61,000","$257,000"
Winton,"$631,000","$25,000","$30,000","$245,000"
Te Awa,"$855,000","$26,000","$33,000","$266,000"
Haumoana,"$1,179,000","$27,000","$85,000","$462,000"
Waikawa,"$969,000","$27,000","$66,000","$327,000"
Mount Pisa,"$1,484,000","$27,000","$94,000","$600,000"
Rakaia,"$586,000","$28,000","$47,000","$203,000"
Pahiatua,"$472,000","$29,000","$78,000","$192,000"
Cambridge,"$1,211,000","$29,000","$35,000","$378,000"
Ashburton,"$541,000","$30,000","$50,000","$192,000"
Hampstead,"$485,000","$31,000","$54,000","$192,000"
One Tree Point,"$1,124,000","$32,000","$14,000","$328,000"
Drury,"$1,346,000","$33,000","$102,000","$363,000"
Dargaville,"$545,000","$34,000","$1,000","$178,000"
Oakura,"$1,361,000","$35,000","$73,000","$555,000"
Takaka,"$732,000","$37,000","$53,000","$263,000"
Wallacetown,"$601,000","$39,000","$25,000","$285,000"
Riverhead,"$1,854,000","$40,000","$42,000","$435,000"
Waimauku,"$1,636,000","$40,000","$46,000","$315,000"
Hanmer Springs,"$855,000","$40,000","$54,000","$328,000"
Redwood Valley,"$1,582,000","$41,000","$12,000","$403,000"
Matarangi,"$1,207,000","$41,000","$89,000","$462,000"
Te Anau,"$807,000","$42,000","$52,000","$268,000"
Ramarama,"$1,527,000","$43,000","$7,000","$217,000"
Waitakere,"$1,455,000","$51,000","$58,000","$372,000"
Pauanui,"$1,610,000","$52,000","$52,000","$667,000"
Stillwater,"$1,659,000","$53,000","$84,000","$351,000"
Onetangi,"$1,935,000","$57,000","$115,000","$479,000"
Muriwai,"$1,517,000","$57,000","$79,000","$325,000"
Ahuriri,"$1,085,000","$58,000","$71,000","$328,000"
Mangawhai,"$1,402,000","$58,000","$88,000","$467,000"
Kaikoura,"$775,000","$60,000","$107,000","$318,000"
Kaukapakapa,"$1,472,000","$61,000","$73,000","$373,000"
Oneroa,"$2,159,000","$63,000","$138,000","$622,000"
Dairy Flat,"$2,407,000","$65,000","$89,000","$351,000"
Clevedon,"$2,120,000","$69,000","$75,000","$514,000"
Russell,"$1,650,000","$86,000","$36,000","$621,000"
Whitford,"$3,614,000","$96,000","$233,000","$763,000"
Matakana,"$1,949,000","$97,000","$73,000","$574,000"
Mangawhai Heads,"$1,482,000","$105,000","$21,000","$525,000"
Coatesville,"$3,714,000","$235,000","$3,000","$675,000"
