Suburb,Average property value,6-month change %,6-month change $
Drury,"$1,295,000",-0.31,-4000
Karaka,"$1,557,000",-1.52,-24000
Opaheke,"$1,043,000",1.56,16000
Pahurehure,"$977,000",0.62,6000
Papakura,"$801,000",-0.74,-6000
Red Hill,"$824,000",3.13,25000
Rosehill,"$944,000",1.94,18000
Takanini,"$908,000",-0.11,-1000
Arkles Bay,"$1,156,000",3.4,38000
Coatesville,"$3,582,000",1.3,46000
Dairy Flat,"$2,386,000",1.4,33000
Gulf Harbour,"$1,073,000",-0.19,-2000
Hatfields Beach,"$1,167,000",2.19,25000
Helensville,"$1,172,000",-0.93,-11000
Huapai,"$1,303,000",2.36,30000
Kaukapakapa,"$1,434,000",0.77,11000
Kumeu,"$1,505,000",0.07,1000
Manly,"$1,253,000",1.95,24000
Matakana,"$2,019,000",2.33,46000
Muriwai,"$1,483,000",1.99,29000
Omaha,"$2,873,000",2.13,60000
Orewa,"$1,258,000",0.96,12000
Parakai,"$749,000",-2.73,-21000
Point Wells,"$2,455,000",1.7,41000
Puhoi,"$1,601,000",3.42,53000
Red Beach,"$1,222,000",-1.37,-17000
Riverhead,"$1,825,000",0.11,2000
Silverdale,"$1,360,000",0.44,6000
Snells Beach,"$1,123,000",1.81,20000
Stanmore Bay,"$1,075,000",0.66,7000
Stillwater,"$1,646,000",1.29,21000
Tindalls Beach,"$1,654,000",1.41,23000
Waimauku,"$1,623,000",2.08,33000
Wainui,"$1,406,000",0.79,11000
Warkworth,"$1,183,000",-3.43,-42000
Wellsford,"$873,000",2.34,20000
Glen Eden,"$852,000",-0.12,-1000
Glendene,"$919,000",-0.22,-2000
Green Bay,"$1,174,000",0.34,4000
Henderson,"$929,000",3.45,31000
Henderson Valley,"$1,303,000",0.15,2000
Hobsonville,"$1,137,000",0.53,6000
Kelston,"$865,000",0.58,5000
Laingholm,"$1,036,000",3.29,33000
Massey,"$936,000",0.11,1000
New Lynn,"$854,000",0,0
Oratia,"$1,565,000",0.32,5000
Ranui,"$821,000",1.61,13000
Sunnyvale,"$876,000",1.62,14000
Swanson,"$1,159,000",2.11,24000
Te Atatu Peninsula,"$1,080,000",-0.64,-7000
Te Atatu South,"$921,000",0.22,2000
Titirangi,"$1,203,000",1.95,23000
West Harbour,"$1,248,000",1.88,23000
Westgate,"$888,000",-0.67,-6000
Whenuapai,"$1,243,000",0.32,4000
Kawerau,"$415,000",3.23,13000
Opotiki,"$478,000",1.06,5000
Fairy Springs,"$568,000",4.03,22000
Fenton Park,"$517,000",4.87,24000
Glenholme,"$678,000",3.99,26000
Hamurana,"$1,171,000",-0.68,-8000
Hillcrest,"$610,000",3.21,19000
Kawaha Point,"$770,000",0.79,6000
Lynmore,"$948,000",3.72,34000
Mangakakahi,"$544,000",5.22,27000
Ngongotaha,"$711,000",2.89,20000
Owhata,"$682,000",3.49,23000
Pomare,"$738,000",3.22,23000
Pukehangi,"$649,000",4.17,26000
Selwyn Heights,"$537,000",3.07,16000
Springfield,"$813,000",2.78,22000
Sunnybrook,"$718,000",2.57,18000
Utuhina,"$592,000",4.78,27000
Victoria,"$524,000",3.97,20000
Western Heights,"$538,000",5.08,26000
Bellevue,"$775,000",-1.15,-9000
Bethlehem,"$1,103,000",-1.43,-16000
Brookfield,"$783,000",-1.63,-13000
Gate Pa,"$658,000",-3.09,-21000
Greerton,"$694,000",-1,-7000
Hairini,"$762,000",0.26,2000
Judea,"$710,000",-0.28,-2000
Matua,"$1,157,000",-1.78,-21000
Maungatapu,"$869,000",-1.47,-13000
Mount Maunganui,"$1,468,000",0.82,12000
Otumoetai,"$1,021,000",-0.49,-5000
Papamoa Beach,"$1,089,000",1.68,18000
Parkvale,"$654,000",-2.1,-14000
Poike,"$696,000",-1.42,-10000
Tauranga,"$983,000",-0.61,-6000
Tauranga South,"$880,000",-0.34,-3000
Aongatete,"$1,318,000",2.01,26000
Athenree,"$1,103,000",1.1,12000
Katikati,"$779,000",1.56,12000
Minden,"$1,646,000",2.94,47000
Ohauiti,"$1,106,000",0.64,7000
Omanawa,"$1,444,000",4.26,59000
Omokoroa,"$1,120,000",0.72,8000
Oropi,"$1,563,000",2.42,37000
Papamoa,"$900,000",0.11,1000
Pukehina,"$1,260,000",4.3,52000
Pyes Pa,"$1,101,000",-0.09,-1000
Tahawai,"$1,266,000",1.85,23000
Te Puke,"$828,000",2.1,17000
Te Puna,"$1,849,000",0.76,14000
Waihi Beach,"$1,458,000",2.03,29000
Welcome Bay,"$898,000",0.34,3000
