Suburb,Average property value,6-month change %,6-month change $
Oakura,"$1,330,000",0.23,3000
Okato,"$670,000",0.9,6000
Spotswood,"$565,000",0.53,3000
Strandon,"$1,006,000",1,10000
Upper Vogeltown,"$698,000",0.87,6000
Vogeltown,"$623,000",0.48,3000
Waitara,"$503,000",2.03,10000
Waiwhakaiho,"$1,163,000",1.39,16000
Welbourn,"$701,000",0,0
Westown,"$641,000",-0.77,-5000
Whalers Gate,"$775,000",-0.39,-3000
Eltham,"$434,000",1.4,6000
Hawera,"$539,000",1.13,6000
Manaia,"$386,000",3.21,12000
Normanby,"$525,000",2.94,15000
Opunake,"$505,000",2.23,11000
Patea,"$315,000",3.96,12000
Waverley,"$432,000",2.13,9000
Stratford,"$543,000",4.02,21000
Appleby,"$1,014,000",-0.59,-6000
Brightwater,"$950,000",1.93,18000
Hope,"$1,264,000",2.51,31000
Mapua,"$1,145,000",1.69,19000
Motueka,"$737,000",2.93,21000
Redwood Valley,"$1,570,000",-0.19,-3000
Richmond,"$835,000",0.48,4000
Riwaka,"$806,000",1.9,15000
Takaka,"$740,000",3.79,27000
Tasman,"$1,551,000",1.44,22000
Upper Moutere,"$1,302,000",2.44,31000
Wakefield,"$919,000",2.22,20000
Bader,"$586,000",-2.98,-18000
Beerescourt,"$977,000",-7.22,-76000
Chartwell,"$830,000",-1.07,-9000
Chedworth,"$908,000",-2.47,-23000
Claudelands,"$764,000",-2.43,-19000
Dinsdale,"$718,000",0,0
Enderley,"$612,000",-2.55,-16000
Fairfield,"$764,000",-1.8,-14000
Fitzroy,"$796,000",-1.36,-11000
Flagstaff,"$1,134,000",0.62,7000
Forest Lake,"$741,000",-3.39,-26000
Frankton,"$634,000",-2.61,-17000
Grandview Heights,"$912,000",-1.41,-13000
Hamilton Central,"$754,000",-1.95,-15000
Hamilton East,"$714,000",-3.12,-23000
Hamilton Lake,"$905,000",-2.79,-26000
Hillcrest,"$784,000",-0.63,-5000
Huntington,"$1,063,000",-0.47,-5000
Maeroa,"$724,000",-3.98,-30000
Melville,"$646,000",-3,-20000
Nawton,"$651,000",-3.27,-22000
Peacocke,"$1,051,000",-6.58,-74000
Pukete,"$818,000",-2.39,-20000
Queenwood,"$1,009,000",-3.72,-39000
Rototuna,"$1,013,000",-1.55,-16000
Rototuna North,"$1,011,000",-0.98,-10000
Silverdale,"$739,000",-1.2,-9000
St Andrews,"$823,000",-4.86,-42000
Western Heights,"$973,000",-2.41,-24000
Whitiora,"$645,000",-1.38,-9000
Ngatea,"$745,000",1.36,10000
Paeroa,"$586,000",0.34,2000
Waihi,"$713,000",2.89,20000
Matamata,"$796,000",-0.25,-2000
Morrinsville,"$804,000",2.55,20000
Te Aroha,"$673,000",-1.61,-11000
Otorohanga,"$656,000",3.63,23000
Putaruru,"$544,000",3.23,17000
Tirau,"$663,000",1.22,8000
Tokoroa,"$419,000",-1.18,-5000
Acacia Bay,"$1,358,000",-2.51,-35000
Hilltop,"$868,000",-3.88,-35000
Kinloch,"$1,365,000",-2.99,-42000
Kuratau,"$870,000",-4.92,-45000
Mangakino,"$486,000",-0.61,-3000
Motuoapa,"$774,000",-5.49,-45000
Nukuhau,"$884,000",-2.1,-19000
Rangatira Park,"$994,000",-2.07,-21000
Richmond Heights,"$787,000",-3.44,-28000
Tauhara,"$596,000",-3.09,-19000
Taupo,"$738,000",-3.4,-26000
Turangi,"$458,000",-5.18,-25000
Waipahihi,"$1,102,000",-3.42,-39000
Wharewaka,"$1,314,000",-5.13,-71000
Cooks Beach,"$1,461,000",0.48,7000
Coromandel,"$843,000",4.72,38000
Matarangi,"$1,183,000",1.37,16000
Pauanui,"$1,551,000",-0.13,-2000
Tairua,"$1,079,000",0.65,7000
Thames,"$711,000",-0.42,-3000
Whangamata,"$1,411,000",2.1,29000
Whitianga,"$1,054,000",1.54,16000
Fairview Downs,"$724,000",-2.43,-18000
Horotiu,"$955,000",0.74,7000
Huntly,"$548,000",-0.9,-5000
Matangi,"$1,701,000",3.4,56000
Ngaruawahia,"$763,000",5.83,42000
Onewhero,"$1,009,000",2.23,22000
Pokeno,"$999,000",-2.44,-25000
Pukekawa,"$1,137,000",2.62,29000
Raglan,"$1,217,000",1.67,20000
Tamahere,"$2,090,000",2.3,47000
Taupiri,"$1,040,000",2.46,25000
Te Kauwhata,"$823,000",-0.12,-1000
Te Kowhai,"$1,316,000",1.86,24000
Tuakau,"$827,000",-1.08,-9000
Whatawhata,"$1,222,000",2.6,31000
Cambridge,"$1,165,000",-3.64,-44000
Deanwell,"$650,000",-2.11,-14000
Glenview,"$766,000",-1.54,-12000
Kihikihi,"$761,000",0.79,6000
Leamington,"$953,000",1.28,12000
Ngahinapouri,"$1,381,000",2.14,29000
Ohaupo,"$1,300,000",1.96,25000
Pirongia,"$1,048,000",1.95,20000
Te Awamutu,"$783,000",-0.13,-1000
Temple View,"$1,003,000",-1.18,-12000
Te Kuiti,"$465,000",2.2,10000
Carterton,"$648,000",4.85,30000
Otaihanga,"$1,110,000",1.37,15000
Otaki,"$709,000",0.85,6000
Otaki Beach,"$626,000",2.45,15000
Paekakariki,"$947,000",2.6,24000
Paraparaumu,"$819,000",2.5,20000
Paraparaumu Beach,"$885,000",3.75,32000
Raumati Beach,"$884,000",2.43,21000
Raumati South,"$900,000",1.69,15000
Te Horo,"$1,279,000",3.31,41000
Waikanae,"$920,000",0.22,2000
Waikanae Beach,"$957,000",1.7,16000
Alicetown,"$806,000",0.25,2000
Avalon,"$702,000",-4.1,-30000
Belmont,"$906,000",-2.69,-25000
Boulcott,"$839,000",-2.56,-22000
Eastbourne,"$1,099,000",-1.17,-13000
Epuni,"$752,000",-3.34,-26000
Fairfield,"$745,000",-1.97,-15000
Hutt Central,"$964,000",-1.73,-17000
Kelson,"$824,000",-2.37,-20000
Maungaraki,"$839,000",-0.47,-4000
Moera,"$560,000",-4.6,-27000
Naenae,"$608,000",-1.94,-12000
Normandale,"$879,000",0.57,5000
Petone,"$805,000",-1.71,-14000
Stokes Valley,"$637,000",-0.62,-4000
Taita,"$593,000",-3.42,-21000
Wainuiomata,"$640,000",0,0
Waiwhetu,"$725,000",-0.41,-3000
Waterloo,"$810,000",-2.41,-20000
Woburn,"$1,132,000",-3.66,-43000
Kuripuni,"$518,000",-2.45,-13000
Lansdowne,"$620,000",-2.97,-19000
Masterton,"$520,000",-3.35,-18000
Solway,"$596,000",-4.18,-26000
Upper Plain,"$1,022,000",1.69,17000
Aotea,"$1,223,000",4,47000
Ascot Park,"$660,000",2.48,16000
Camborne,"$920,000",1.32,12000
Cannons Creek,"$557,000",1.46,8000
Kenepuru,"$934,000",0.43,4000
Papakowhai,"$884,000",3.39,29000
Paremata,"$927,000",1.09,10000
Plimmerton,"$1,001,000",2.25,22000
Pukerua Bay,"$861,000",1.89,16000
Ranui,"$619,000",2.48,15000
Titahi Bay,"$708,000",1.58,11000
Whitby,"$955,000",0.21,2000
Featherston,"$552,000",-1.08,-6000
Greytown,"$929,000",-2.82,-27000
Martinborough,"$983,000",-0.2,-2000
Birchville,"$692,000",-3.08,-22000
Brown Owl,"$740,000",-3.39,-26000
Clouston Park,"$652,000",-2.98,-20000
Ebdentown,"$662,000",-0.9,-6000
Elderslea,"$705,000",-3.16,-23000
Heretaunga,"$915,000",-3.48,-33000
Maoribank,"$596,000",-3.09,-19000
Pinehaven,"$747,000",-3.24,-25000
Silverstream,"$867,000",-1.25,-11000
Timberlea,"$778,000",-4.07,-33000
Totara Park,"$678,000",-3.14,-22000
Trentham,"$702,000",0.57,4000
Wallaceville,"$762,000",-1.8,-14000
Aro Valley,"$888,000",-2.2,-20000
Berhampore,"$818,000",-3.08,-26000
Broadmeadows,"$846,000",-3.2,-28000
Brooklyn,"$1,019,000",-2.21,-23000
Churton Park,"$1,053,000",-3.31,-36000
Crofton Downs,"$977,000",-3.17,-32000
Grenada Village,"$985,000",-3.05,-31000
Hataitai,"$1,111,000",-2.03,-23000
Island Bay,"$1,097,000",-2.92,-33000
Johnsonville,"$807,000",-0.49,-4000
Karori,"$1,070,000",0.85,9000
Kelburn,"$1,346,000",-1.97,-27000
Khandallah,"$1,244,000",0.97,12000
Kilbirnie,"$831,000",-1.77,-15000
Lyall Bay,"$935,000",-0.95,-9000
Maupuia,"$847,000",-4.62,-41000
Miramar,"$977,000",-1.51,-15000
Mount Cook,"$737,000",0,0
Mount Victoria,"$1,145,000",-1.21,-14000
Newlands,"$807,000",-2.06,-17000
Newtown,"$896,000",-3.14,-29000
Ngaio,"$1,004,000",-1.18,-12000
Northland,"$998,000",-5.85,-62000
Oriental Bay,"$1,979,000",-5.72,-120000
Paparangi,"$817,000",-1.57,-13000
Roseneath,"$1,447,000",-1.23,-18000
Seatoun,"$1,660,000",-2.7,-46000
Strathmore Park,"$917,000",-5.27,-51000
Tawa,"$810,000",-4.82,-41000
Te Aro,"$653,000",-2.25,-15000
Thorndon,"$884,000",-1.01,-9000
Wadestown,"$1,193,000",-2.37,-29000
Wellington Central,"$457,000",-8.23,-41000
Wilton,"$890,000",-4.71,-44000
Woodridge,"$948,000",-0.21,-2000
Reefton,"$396,000",5.6,21000
Westport,"$425,000",5.46,22000
Blaketown,"$345,000",-1.15,-4000
Cobden,"$330,000",0.3,1000
Greymouth,"$466,000",-1.69,-8000
Karoro,"$609,000",-2.4,-15000
Moana,"$809,000",10.22,75000
Paroa,"$730,000",2.1,15000
Hokitika,"$490,000",0.82,4000
