Location,3-month change %,12-month change %,2-year change %,5-year change %,Change since peak %,Change since pre-Covid %
New Zealand,2,-3.5,-9.4,36.3,-11.8,25.7
Auckland,2.5,-4.3,-13.5,23,-15.9,18.8
Bay of Plenty,0.9,-4.5,-7.3,46,-12,31
Canterbury,1.7,0.9,2.5,53.2,-3.3,45.8
Gisborne,2.6,-7.7,-5.4,75.8,-9.5,37.5
Hawke's Bay,1.1,-3.9,-10.3,59,-14.5,29.6
Manawatu-Whanganui,1.2,-4.6,-10.9,65.8,-14.2,31
Marlborough,2.1,-3.8,-0.4,50.4,-5.5,32.4
Nelson,1.4,-3,-7.6,30.9,-11.1,16.4
Northland,1.1,-4.2,-2.4,44.1,-10.6,34.7
Otago,2.8,0.5,3.9,52.3,-2.6,32
Southland,1.3,0.6,3.5,70.8,-2,35.3
Taranaki,0.7,-3.4,2.1,58,-5.9,37.9
Tasman,0.4,-6.2,-7.4,29.9,-10.1,21.4
Waikato,1.7,-6.1,-5.2,48.1,-8.7,33.8
Wellington,2,-4.5,-20.5,32.2,-23,14.5
West Coast,-0.7,1.4,12.2,63.1,-2.5,46
