Suburb,District,Average property value,3-month change
Tairua,Thames-Coromandel,1052000,-3.3
Thames,Thames-Coromandel,703000,-0.6
Whangamata,Thames-Coromandel,1383000,0.8
Whitianga,Thames-Coromandel,1015000,-1.4
Buckland,Waikato,1332000,2
Fairview Downs,Waikato,751000,5.3
Horotiu,Waikato,949000,1.6
Huntly,Waikato,554000,0.5
Matangi,Waikato,1673000,2.1
Ngaruawahia,Waikato,737000,1.8
Onewhero,Waikato,981000,0.5
Pokeno,Waikato,1010000,-0.4
Pukekawa,Waikato,1097000,-0.7
Raglan,Waikato,1197000,1.7
Tamahere,Waikato,2073000,2.5
Taupiri,Waikato,1008000,-0.5
Te Kauwhata,Waikato,817000,0.2
Te Kowhai,Waikato,1282000,-0.6
Tuakau,Waikato,823000,-1.1
Whatawhata,Waikato,1193000,0.3
Cambridge,Waipa,1187000,-0.3
Deanwell,Waipa,660000,3.3
Glenview,Waipa,777000,2.5
Kihikihi,Waipa,757000,-0.8
Leamington,Waipa,943000,-0.1
Ngahinapouri,Waipa,1345000,-0.2
Ohaupo,Waipa,1264000,-1.7
Pirongia,Waipa,1024000,-1.4
Te Awamutu,Waipa,783000,0.5
Temple View,Waipa,1014000,1.3
Piopio,Waitomo,460000,-0.6
Te Kuiti,Waitomo,457000,-1.5
Carterton,Carterton,650000,4.5
Otaihanga,Kapiti Coast,1109000,2.8
Otaki,Kapiti Coast,708000,1.7
Otaki Beach,Kapiti Coast,629000,4
Paekakariki,Kapiti Coast,950000,4.4
Paraparaumu,Kapiti Coast,798000,-1
Paraparaumu Beach,Kapiti Coast,890000,3.9
Raumati Beach,Kapiti Coast,890000,4.6
Raumati South,Kapiti Coast,904000,5.5
Waikanae,Kapiti Coast,928000,0.3
Waikanae Beach,Kapiti Coast,973000,5.5
Alicetown,Lower Hutt,814000,1.8
Avalon,Lower Hutt,722000,1.8
Belmont,Lower Hutt,933000,0.6
Boulcott,Lower Hutt,860000,0
Eastbourne,Lower Hutt,1126000,0.9
Epuni,Lower Hutt,768000,-0.5
Fairfield,Lower Hutt,762000,0.8
Hutt Central,Lower Hutt,990000,2
Kelson,Lower Hutt,845000,1
Korokoro,Lower Hutt,974000,2.1
Maungaraki,Lower Hutt,861000,1.1
Moera,Lower Hutt,588000,1.6
Naenae,Lower Hutt,621000,-0.6
Normandale,Lower Hutt,888000,0.2
Petone,Lower Hutt,815000,0.4
Stokes Valley,Lower Hutt,643000,1.4
Taita,Lower Hutt,608000,-2.4
Wainuiomata,Lower Hutt,622000,-2.8
Waiwhetu,Lower Hutt,726000,-0.1
Waterloo,Lower Hutt,817000,-1.4
Woburn,Lower Hutt,1166000,-0.9
Kuripuni,Masterton,519000,-0.4
Lansdowne,Masterton,620000,-1.6
Masterton,Masterton,532000,-0.9
Solway,Masterton,609000,-0.8
Aotea,Porirua,1206000,-1.5
Ascot Park,Porirua,662000,-0.7
Camborne,Porirua,930000,-1
Cannons Creek,Porirua,572000,-1.4
Papakowhai,Porirua,885000,-0.6
Paremata,Porirua,939000,-0.6
Plimmerton,Porirua,1008000,0.2
Pukerua Bay,Porirua,866000,-1
Ranui,Porirua,629000,0.3
Titahi Bay,Porirua,718000,0.6
Whitby,Porirua,953000,-0.9
Featherston,South Wairarapa,571000,2.1
Greytown,South Wairarapa,965000,1.8
Martinborough,South Wairarapa,1018000,3.9
Birchville,Upper Hutt,709000,0.3
Brown Owl,Upper Hutt,747000,-0.9
Clouston Park,Upper Hutt,659000,-0.5
Ebdentown,Upper Hutt,668000,0.5
Elderslea,Upper Hutt,724000,-0.1
Heretaunga,Upper Hutt,941000,0
Pinehaven,Upper Hutt,760000,-0.1
Riverstone Terraces,Upper Hutt,1034000,-0.1
Silverstream,Upper Hutt,869000,-0.7
Te Marua,Upper Hutt,821000,0.7
Timberlea,Upper Hutt,798000,-0.3
Totara Park,Upper Hutt,691000,-0.3
Trentham,Upper Hutt,691000,-1.6
Wallaceville,Upper Hutt,771000,0.4
Aro Valley,Wellington,929000,4.6
Berhampore,Wellington,842000,1.9
Broadmeadows,Wellington,894000,2.4
Brooklyn,Wellington,1054000,3.2
Churton Park,Wellington,1110000,2.6
Crofton Downs,Wellington,1049000,3.9
Grenada Village,Wellington,1042000,3.3
Hataitai,Wellington,1151000,2.1
Island Bay,Wellington,1142000,3.2
Johnsonville,Wellington,822000,0.7
Karori,Wellington,1064000,-1.8
Kelburn,Wellington,1414000,5.3
Khandallah,Wellington,1285000,4.8
Kilbirnie,Wellington,858000,1.9
Lyall Bay,Wellington,962000,3
Maupuia,Wellington,900000,1.8
Melrose,Wellington,1004000,3.5
Miramar,Wellington,1003000,1.9
Mount Cook,Wellington,746000,0.8
Mount Victoria,Wellington,1201000,5.1
Newlands,Wellington,837000,2.8
Newtown,Wellington,929000,1.5
Ngaio,Wellington,1025000,1.1
Northland,Wellington,1083000,3
Oriental Bay,Wellington,2109000,0.5
Paparangi,Wellington,843000,2.6
Roseneath,Wellington,1480000,1.6
Seatoun,Wellington,1723000,2.4
Strathmore Park,Wellington,984000,2.6
Tawa,Wellington,845000,-0.8
Te Aro,Wellington,652000,-1.7
Thorndon,Wellington,899000,1.6
Wadestown,Wellington,1239000,2.2
Wellington Central,Wellington,482000,-2.4
Wilton,Wellington,940000,2
Woodridge,Wellington,969000,3.7
Reefton,Buller,388000,5.7
Westport,Buller,416000,4.8
Blaketown,Grey,356000,2.9
Cobden,Grey,336000,2.4
Greymouth,Grey,469000,-1.7
Karoro,Grey,619000,0.3
Paroa,Grey,731000,2.4
Runanga,Grey,328000,7.5
Hokitika,Westland,482000,1.3
