Suburb,Local_authority,Average_property_value,Date
Featherston,South Wairarapa,590000,2024-02-01
Nukuhau,Taupo,895000,2024-02-01
Papamoa Beach,Tauranga,1102000,2024-02-01
Wadestown,Wellington,1251000,2024-02-01
Manukau,Auckland Manukau,638000,2024-02-01
Totara Heights,Auckland Manukau,1029000,2024-02-01
Hamilton Central,Hamilton,758000,2024-02-01
Shannon,Horowhenua,489000,2024-02-01
Lansdowne,Masterton,633000,2024-02-01
Cannons Creek,Porirua,581000,2024-02-01
Titahi Bay,Porirua,729000,2024-02-01
Rangatira Park,Taupo,1009000,2024-02-01
Waipahihi,Taupo,1109000,2024-02-01
Methven,Ashburton,691000,2024-02-01
Westmere,Auckland City,2624000,2024-02-01
Unsworth Heights,Auckland North Shore,1188000,2024-02-01
Cracroft,Christchurch,1141000,2024-02-01
Wakari,Dunedin,598000,2024-02-01
Greymouth,Grey,436000,2024-02-01
Eskdale,Hastings,1359000,2024-02-01
Otatara,Invercargill,791000,2024-02-01
Raumati South,Kapiti Coast,880000,2024-02-01
Woburn,Lower Hutt,1187000,2024-02-01
Richmond Heights,Taupo,784000,2024-02-01
Tairua,Thames-Coromandel,1122000,2024-02-01
Totara Park,Upper Hutt,690000,2024-02-01
Hampstead,Ashburton,446000,2024-02-01
Orakei,Auckland City,2443000,2024-02-01
Ostend,Auckland City,1461000,2024-02-01
Botany Downs,Auckland Manukau,1287000,2024-02-01
Golflands,Auckland Manukau,1330000,2024-02-01
Waitakere,Auckland Waitakere,1407000,2024-02-01
Kawakawa,Far North,516000,2024-02-01
Eastbourne,Lower Hutt,1167000,2024-02-01
Monaco,Nelson,742000,2024-02-01
Upper Moutere,Tasman,1303000,2024-02-01
Acacia Bay,Taupo,1371000,2024-02-01
Te Aro,Wellington,720000,2024-02-01
Beachlands,Auckland Manukau,1595000,2024-02-01
Beach Haven,Auckland North Shore,1084000,2024-02-01
Glenfield,Auckland North Shore,1026000,2024-02-01
Westport,Buller,399000,2024-02-01
Hornby,Christchurch,596000,2024-02-01
Bader,Hamilton,601000,2024-02-01
Queenwood,Hamilton,1024000,2024-02-01
Aokautere,Palmerston North,1173000,2024-02-01
Pukerua Bay,Porirua,899000,2024-02-01
Matarangi,Thames-Coromandel,1127000,2024-02-01
Palmerston,Waitaki,437000,2024-02-01
Glendowie,Auckland City,2299000,2024-02-01
Bucklands Beach,Auckland Manukau,1772000,2024-02-01
Clevedon,Auckland Manukau,2059000,2024-02-01
Paihia,Far North,837000,2024-02-01
Hillcrest,Hamilton,788000,2024-02-01
Greytown,South Wairarapa,966000,2024-02-01
Hope,Tasman,1291000,2024-02-01
Coromandel,Thames-Coromandel,855000,2024-02-01
Elderslea,Upper Hutt,730000,2024-02-01
Morningside,Auckland City,1302000,2024-02-01
Saint Johns,Auckland City,1517000,2024-02-01
East Tamaki Heights,Auckland Manukau,1816000,2024-02-01
Hei Hei,Christchurch,610000,2024-02-01
Epuni,Lower Hutt,793000,2024-02-01
Taita,Lower Hutt,634000,2024-02-01
Kuripuni,Masterton,536000,2024-02-01
Pauanui,Thames-Coromandel,1524000,2024-02-01
Parkside,Timaru,461000,2024-02-01
Tuakau,Waikato,850000,2024-02-01
Newmarket,Auckland City,891000,2024-02-01
Wiri,Auckland Manukau,697000,2024-02-01
Birkenhead,Auckland North Shore,1354000,2024-02-01
Coatesville,Auckland Rodney,3585000,2024-02-01
Dairy Flat,Auckland Rodney,2394000,2024-02-01
Waimauku,Auckland Rodney,1598000,2024-02-01
Laingholm,Auckland Waitakere,1025000,2024-02-01
Ranui,Auckland Waitakere,859000,2024-02-01
Alexandra,Central Otago,780000,2024-02-01
Casebrook,Christchurch,843000,2024-02-01
Cashmere,Christchurch,1170000,2024-02-01
Russley,Christchurch,709000,2024-02-01
Spreydon,Christchurch,623000,2024-02-01
Balclutha,Clutha,438000,2024-02-01
Kenmure,Dunedin,617000,2024-02-01
Kerikeri,Far North,1092000,2024-02-01
Russell,Far North,1520000,2024-02-01
Kelson,Lower Hutt,852000,2024-02-01
Aotea,Porirua,1251000,2024-02-01
Dannevirke,Tararua,484000,2024-02-01
Ohoka,Waimakariri,1491000,2024-02-01
Hikurangi,Whangarei,584000,2024-02-01
Point England,Auckland City,1017000,2024-02-01
Bombay,Auckland Franklin,1644000,2024-02-01
Howick,Auckland Manukau,1223000,2024-02-01
Papatoetoe,Auckland Manukau,875000,2024-02-01
Northcross,Auckland North Shore,1342000,2024-02-01
Matakana,Auckland Rodney,1872000,2024-02-01
Roslyn,Dunedin,901000,2024-02-01
Hutt Central,Lower Hutt,1006000,2024-02-01
Birchville,Upper Hutt,712000,2024-02-01
Fairview Downs,Waikato,721000,2024-02-01
