Suburb,Local_authority,Average_property_value,Date
Pomare,Rotorua,744000,2024-02-01
Springston,Selwyn,1003000,2024-02-01
Gleniti,Timaru,831000,2024-02-01
Whatawhata,Waikato,1210000,2024-02-01
Pegasus,Waimakariri,842000,2024-02-01
Glenview,Waipa,772000,2024-02-01
Kilbirnie,Wellington,887000,2024-02-01
Mount Victoria,Wellington,1232000,2024-02-01
Saint Heliers,Auckland City,2311000,2024-02-01
Phillipstown,Christchurch,453000,2024-02-01
Haruru,Far North,853000,2024-02-01
Saint Leonards,Hastings,619000,2024-02-01
Rosedale,Invercargill,732000,2024-02-01
Marewa,Napier,573000,2024-02-01
Hurdon,New Plymouth,811000,2024-02-01
Merrilands,New Plymouth,768000,2024-02-01
Papamoa,Western Bay of Plenty,923000,2024-02-01
Gonville,Whanganui,416000,2024-02-01
Parahaki,Whangarei,751000,2024-02-01
Ruakaka,Whangarei,909000,2024-02-01
Eastern Beach,Auckland Manukau,1966000,2024-02-01
Devonport,Auckland North Shore,2146000,2024-02-01
Henderson,Auckland Waitakere,955000,2024-02-01
Burnside,Christchurch,893000,2024-02-01
Frankton,Hamilton,652000,2024-02-01
Flaxmere,Hastings,484000,2024-02-01
Riversdale,Marlborough,547000,2024-02-01
Waikawa,Marlborough,939000,2024-02-01
Taradale,Napier,829000,2024-02-01
Kawaha Point,Rotorua,797000,2024-02-01
Southbridge,Selwyn,653000,2024-02-01
Hawera,South Taranaki,542000,2024-02-01
Appleby,Tasman,1034000,2024-02-01
Richmond,Tasman,815000,2024-02-01
Marchwiel,Timaru,523000,2024-02-01
Seaview,Timaru,478000,2024-02-01
Temuka,Timaru,513000,2024-02-01
Kaiapoi,Waimakariri,688000,2024-02-01
Oamaru North,Waitaki,481000,2024-02-01
Ngunguru,Whangarei,1021000,2024-02-01
Whau Valley,Whangarei,693000,2024-02-01
Mission Bay,Auckland City,2223000,2024-02-01
Feilding,Manawatu,653000,2024-02-01
Te Awa,Napier,836000,2024-02-01
Terrace End,Palmerston North,641000,2024-02-01
Te Kauwhata,Waikato,825000,2024-02-01
Kensington,Whangarei,628000,2024-02-01
One Tree Point,Whangarei,1090000,2024-02-01
Silverdale,Auckland Rodney,1373000,2024-02-01
Hobsonville,Auckland Waitakere,1141000,2024-02-01
Christchurch Central,Christchurch,690000,2024-02-01
Woolston,Christchurch,559000,2024-02-01
North Dunedin,Dunedin,707000,2024-02-01
Cloverlea,Palmerston North,558000,2024-02-01
Paremata,Porirua,943000,2024-02-01
Otumoetai,Tauranga,1071000,2024-02-01
Waimate,Waimate,505000,2024-02-01
Te Kamo,Whangarei,740000,2024-02-01
Surfdale,Auckland City,1360000,2024-02-01
Papanui,Christchurch,743000,2024-02-01
Yaldhurst,Christchurch,982000,2024-02-01
Karikari Peninsula,Far North,766000,2024-02-01
Whitiora,Hamilton,646000,2024-02-01
Morrinsville,Matamata-Piako,786000,2024-02-01
Frankleigh Park,New Plymouth,703000,2024-02-01
Awapuni,Palmerston North,621000,2024-02-01
Ngaruawahia,Waikato,760000,2024-02-01
Oxford,Waimakariri,702000,2024-02-01
Kihikihi,Waipa,757000,2024-02-01
Woodhill,Whangarei,594000,2024-02-01
Ellerslie,Auckland City,1266000,2024-02-01
Kohimarama,Auckland City,2211000,2024-02-01
Mount Eden,Auckland City,1784000,2024-02-01
Kelston,Auckland Waitakere,905000,2024-02-01
Waipukurau,Central Hawke's Bay,643000,2024-02-01
Huntington,Hamilton,1057000,2024-02-01
Raureka,Hastings,629000,2024-02-01
Waikiwi,Invercargill,614000,2024-02-01
Blenheim,Marlborough,600000,2024-02-01
Picton,Marlborough,648000,2024-02-01
Tamatea,Napier,623000,2024-02-01
Palmerston North,Palmerston North,636000,2024-02-01
Mangakakahi,Rotorua,527000,2024-02-01
Bellevue,Tauranga,809000,2024-02-01
Deanwell,Waipa,641000,2024-02-01
Te Puke,Western Bay of Plenty,808000,2024-02-01
Whanganui East,Whanganui,436000,2024-02-01
Greenlane,Auckland City,1862000,2024-02-01
Waiuku,Auckland Franklin,882000,2024-02-01
Belmont,Auckland North Shore,1592000,2024-02-01
Campbells Bay,Auckland North Shore,2335000,2024-02-01
Papakura,Auckland Papakura,852000,2024-02-01
Manly,Auckland Rodney,1245000,2024-02-01
Waihi,Hauraki,720000,2024-02-01
Moturoa,New Plymouth,732000,2024-02-01
Whalers Gate,New Plymouth,782000,2024-02-01
Brookfield,Tauranga,819000,2024-02-01
Judea,Tauranga,739000,2024-02-01
Ohauiti,Western Bay of Plenty,1141000,2024-02-01
Welcome Bay,Western Bay of Plenty,910000,2024-02-01
Tinwald,Ashburton,603000,2024-02-01
Mangere East,Auckland Manukau,866000,2024-02-01
Northcote,Auckland North Shore,1238000,2024-02-01
Saint Martins,Christchurch,759000,2024-02-01
Kaeo,Far North,839000,2024-02-01
Maraenui,Napier,480000,2024-02-01
Highlands Park,New Plymouth,887000,2024-02-01
Owhata,Rotorua,667000,2024-02-01
Eltham,South Taranaki,407000,2024-02-01
Tauranga South,Tauranga,908000,2024-02-01
Whakamarama,Western Bay of Plenty,1521000,2024-02-01
Hokitika,Westland,423000,2024-02-01
Ohope,Whakatane,1339000,2024-02-01
Horahora,Whangarei,662000,2024-02-01
Wigram,Christchurch,856000,2024-02-01
Matamata,Matamata-Piako,817000,2024-02-01
Westshore,Napier,1043000,2024-02-01
Aongatete,Western Bay of Plenty,1286000,2024-02-01
Milton,Clutha,424000,2024-02-01
Westbrook,Palmerston North,560000,2024-02-01
Koutu,Rotorua,514000,2024-02-01
Tokoroa,South Waikato,421000,2024-02-01
Glen Innes,Auckland City,1155000,2024-02-01
Wesley,Auckland City,1128000,2024-02-01
Mangere Bridge,Auckland Manukau,1191000,2024-02-01
Hamilton East,Hamilton,723000,2024-02-01
Windsor,Invercargill,574000,2024-02-01
Hospital Hill,Napier,965000,2024-02-01
Tirau,South Waikato,668000,2024-02-01
Parkvale,Tauranga,654000,2024-02-01
Cambridge,Waipa,1170000,2024-02-01
Upper Riccarton,Christchurch,676000,2024-02-01
Spotswood,New Plymouth,553000,2024-02-01
Fairy Springs,Rotorua,565000,2024-02-01
Leeston,Selwyn,769000,2024-02-01
West End,Timaru,496000,2024-02-01
Kumeu,Auckland Rodney,1510000,2024-02-01
Heidelberg,Invercargill,416000,2024-02-01
Strathern,Invercargill,381000,2024-02-01
Tasman,Tasman,1547000,2024-02-01
Matua,Tauranga,1191000,2024-02-01
Glenwood,Timaru,547000,2024-02-01
Omokoroa,Western Bay of Plenty,1112000,2024-02-01
Carterton,Carterton,645000,2024-02-01
Napier South,Napier,662000,2024-02-01
Marfell,New Plymouth,481000,2024-02-01
Bethlehem,Tauranga,1124000,2024-02-01
Tauranga,Tauranga,1004000,2024-02-01
Katikati,Western Bay of Plenty,780000,2024-02-01
Tikipunga,Whangarei,619000,2024-02-01
Avondale,Auckland City,984000,2024-02-01
Blagdon,New Plymouth,581000,2024-02-01
Hokowhitu,Palmerston North,801000,2024-02-01
Kirwee,Selwyn,996000,2024-02-01
Waverley,South Taranaki,410000,2024-02-01
Waihi Beach,Western Bay of Plenty,1489000,2024-02-01
Opunake,South Taranaki,483000,2024-02-01
Raglan,Waikato,1161000,2024-02-01
Athenree,Western Bay of Plenty,1090000,2024-02-01
Otorohanga,Otorohanga,633000,2024-02-01
Bulls,Rangitikei,562000,2024-02-01
Te Kuiti,Waitomo,458000,2024-02-01
Epsom,Auckland City,2201000,2024-02-01
Waverley,Invercargill,567000,2024-02-01
Nelson,Nelson,1141000,2024-02-01
New Plymouth,New Plymouth,861000,2024-02-01
Highfield,Timaru,607000,2024-02-01
Auckland Central,Auckland City,571000,2024-02-01
Te Hapara,Gisborne,556000,2024-02-01
Levin,Horowhenua,587000,2024-02-01
Pleasant Point,Timaru,592000,2024-02-01
Waimataitai,Timaru,506000,2024-02-01
Morningside,Whangarei,563000,2024-02-01
Regent,Whangarei,681000,2024-02-01
Parnell,Auckland City,2134000,2024-02-01
St Albans,Christchurch,885000,2024-02-01
Bluff Hill,Napier,992000,2024-02-01
Richmond,Invercargill,477000,2024-02-01
Hairini,Tauranga,777000,2024-02-01
Hargest,Invercargill,527000,2024-02-01
Newfield,Invercargill,448000,2024-02-01
Maori Hill,Timaru,586000,2024-02-01
Gisborne,Gisborne,539000,2024-02-01
Gladstone,Invercargill,615000,2024-02-01
Patea,South Taranaki,304000,2024-02-01
Newtown,Wellington,940000,2024-02-01
Grasmere,Invercargill,455000,2024-02-01
Waiotahe,Opotiki,1008000,2024-02-01
Maungatapu,Tauranga,916000,2024-02-01
Huntly,Waikato,547000,2024-02-01
Opotiki,Opotiki,464000,2024-02-01
Raumanga,Whangarei,495000,2024-02-01
Marton,Rangitikei,499000,2024-02-01
Omaha,Auckland Rodney,2788000,2024-02-01
Hawthorndale,Invercargill,480000,2024-02-01
Glengarry,Invercargill,427000,2024-02-01
Wairoa,Wairoa,325000,2024-02-01
Victoria,Rotorua,506000,2024-02-01
Whataupoko,Gisborne,798000,2024-02-01
Remuera,Auckland City,2622000,2024-02-01
Ohakune,Ruapehu,489000,2024-02-01
Kawerau,Kawerau,386000,2024-02-01
Mataura,Gore,306000,2024-04-01
Merivale,Christchurch,1594000,2024-04-01
Murupara,Whakatane,204000,2024-04-01
Reefton,Buller,390000,2024-04-01
Fendalton,Christchurch,1761000,2024-04-01
Cobden,Grey,313000,2024-04-01
Karoro,Grey,624000,2024-04-01
Dannevirke,Tararua,494000,2024-04-01
Beckenham,Christchurch,906000,2024-04-01
Strowan,Christchurch,1275000,2024-04-01
Greymouth,Grey,473000,2024-04-01
Cracroft,Christchurch,1149000,2024-04-01
Sumner,Christchurch,1168000,2024-04-01
Paekakariki,Kapiti Coast,995000,2024-04-01
Akaroa,Christchurch,1085000,2024-04-01
Fernhill,Queenstown-Lakes,1365000,2024-04-01
Ranui,Porirua,648000,2024-04-01
Dobson,Grey,357000,2024-04-01
Woodville,Tararua,382000,2024-04-01
Cannons Creek,Porirua,588000,2024-04-01
Birchville,Upper Hutt,747000,2024-04-01
South New Brighton,Christchurch,637000,2024-04-01
Hei Hei,Christchurch,624000,2024-04-01
Huntsbury,Christchurch,1175000,2024-04-01
Pahiatua,Tararua,443000,2024-04-01
Northpark,Auckland Manukau,1498000,2024-04-01
Casebrook,Christchurch,861000,2024-04-01
Timberlea,Upper Hutt,851000,2024-04-01
Mount Pisa,Central Otago,1457000,2024-04-01
Cashmere,Christchurch,1183000,2024-04-01
Sockburn,Christchurch,633000,2024-04-01
Queenstown,Queenstown-Lakes,1745000,2024-04-01
Seatoun,Wellington,1831000,2024-04-01
Tapanui,Clutha,402000,2024-04-01
Bromley,Christchurch,540000,2024-04-01
Pinehaven,Upper Hutt,810000,2024-04-01
Mount Pleasant,Christchurch,1170000,2024-04-01
Somerville,Auckland Manukau,1536000,2024-04-01
Lyttelton,Christchurch,790000,2024-04-01
Westmorland,Christchurch,1193000,2024-04-01
Te Aro,Wellington,747000,2024-04-01
Hoon Hay,Christchurch,675000,2024-04-01
Pinehill,Auckland North Shore,1791000,2024-04-01
Northwood,Christchurch,1105000,2024-04-01
Richmond,Christchurch,581000,2024-04-01
Clyde,Central Otago,977000,2024-04-01
Bluff,Invercargill,353000,2024-04-01
Newlands,Wellington,868000,2024-04-01
Camberley,Hastings,553000,2024-04-01
Raumati South,Kapiti Coast,927000,2024-04-01
Pukerua Bay,Porirua,902000,2024-04-01
Burnside,Christchurch,909000,2024-04-01
Burwood,Christchurch,703000,2024-04-01
Kaikoura,Kaikoura,715000,2024-04-01
Paparangi,Wellington,875000,2024-04-01
Tainui,Dunedin,615000,2024-04-01
Lake Tekapo,Mackenzie,1149000,2024-04-01
Belfast,Christchurch,709000,2024-04-01
Oakura,New Plymouth,1326000,2024-04-01
Crofton Downs,Wellington,1060000,2024-04-01
Wellington Central,Wellington,574000,2024-04-01
New Brighton,Christchurch,568000,2024-04-01
Wainoni,Christchurch,519000,2024-04-01
Mount Cook,Wellington,806000,2024-04-01
Schnapper Rock,Auckland North Shore,1698000,2024-04-01
Redcliffs,Christchurch,1181000,2024-04-01
Mellons Bay,Auckland Manukau,2200000,2024-04-01
Islington,Christchurch,578000,2024-04-01
Arrowtown,Queenstown-Lakes,2633000,2024-04-01
Aotea,Porirua,1256000,2024-04-01
Spreydon,Christchurch,624000,2024-04-01
Clouston Park,Upper Hutt,692000,2024-04-01
Churton Park,Wellington,1117000,2024-04-01
Aranui,Christchurch,483000,2024-04-01
Avonside,Christchurch,552000,2024-04-01
Bryndwr,Christchurch,802000,2024-04-01
Edgeware,Christchurch,569000,2024-04-01
Opawa,Christchurch,802000,2024-04-01
Parkside,Timaru,468000,2024-04-01
Maori Hill,Dunedin,1066000,2024-04-01
Lower Shotover,Queenstown-Lakes,1777000,2024-04-01
Elderslea,Upper Hutt,761000,2024-04-01
Totara Park,Upper Hutt,716000,2024-04-01
East Tamaki Heights,Auckland Manukau,1799000,2024-04-01
Saint Martins,Christchurch,768000,2024-04-01
Fairlie,Mackenzie,565000,2024-04-01
Saint Clair,Dunedin,888000,2024-04-01
Frankton,Queenstown-Lakes,1271000,2024-04-01
Titahi Bay,Porirua,733000,2024-04-01
Heretaunga,Upper Hutt,975000,2024-04-01
Hornby,Christchurch,605000,2024-04-01
Waverley,Dunedin,795000,2024-04-01
Trentham,Upper Hutt,726000,2024-04-01
Highland Park,Auckland Manukau,1201000,2024-04-01
Geraldine,Timaru,622000,2024-04-01
Andersons Bay,Dunedin,672000,2024-04-01
Strathern,Invercargill,389000,2024-04-01
Christchurch Central,Christchurch,714000,2024-04-01
Dallington,Christchurch,597000,2024-04-01
Ilam,Christchurch,948000,2024-04-01
Mairehau,Christchurch,664000,2024-04-01
Caversham,Dunedin,469000,2024-04-01
Rosedale,Invercargill,741000,2024-04-01
Woodridge,Wellington,986000,2024-04-01
Broomfield,Christchurch,713000,2024-04-01
Shirley,Christchurch,653000,2024-04-01
Hokitika,Westland,456000,2024-04-01
Hillsborough,Christchurch,832000,2024-04-01
Marshland,Christchurch,1082000,2024-04-01
Oteha,Auckland North Shore,1219000,2024-04-01
Diamond Harbour,Christchurch,787000,2024-04-01
North New Brighton,Christchurch,586000,2024-04-01
Riverton/Aparima,Southland,679000,2024-04-01
Blockhouse Bay,Auckland City,1212000,2024-04-01
Hillmorton,Christchurch,690000,2024-04-01
Pleasant Point,Timaru,613000,2024-04-01
Brockville,Dunedin,539000,2024-04-01
Strathmore Park,Wellington,1055000,2024-04-01
Avondale,Christchurch,566000,2024-04-01
Russley,Christchurch,716000,2024-04-01
Green Island,Dunedin,607000,2024-04-01
Island Bay,Wellington,1174000,2024-04-01
Dannemora,Auckland Manukau,1690000,2024-04-01
Chatswood,Auckland North Shore,1537000,2024-04-01
Aidanfield,Christchurch,933000,2024-04-01
Kew,Dunedin,677000,2024-04-01
One Tree Hill,Auckland City,1393000,2024-04-01
Clover Park,Auckland Manukau,868000,2024-04-01
Harewood,Christchurch,1127000,2024-04-01
Waiwhetu,Lower Hutt,768000,2024-04-01
Aro Valley,Wellington,971000,2024-04-01
Somerfield,Christchurch,738000,2024-04-01
Wigram,Christchurch,872000,2024-04-01
Eastern Beach,Auckland Manukau,1970000,2024-04-01
Addington,Christchurch,562000,2024-04-01
Papanui,Christchurch,770000,2024-04-01
Kingswell,Invercargill,422000,2024-04-01
Taita,Lower Hutt,646000,2024-04-01
Kelburn,Wellington,1534000,2024-04-01
Farm Cove,Auckland Manukau,1795000,2024-04-01
Bishopdale,Christchurch,690000,2024-04-01
Parklands,Christchurch,755000,2024-04-01
Cromwell,Central Otago,994000,2024-04-01
Lake Hayes,Queenstown-Lakes,2621000,2024-04-01
Otatara,Invercargill,790000,2024-04-01
Waterloo,Lower Hutt,857000,2024-04-01
Lynfield,Auckland City,1380000,2024-04-01
Bridge Hill,Central Otago,962000,2024-04-01
Plimmerton,Porirua,1035000,2024-04-01
Golflands,Auckland Manukau,1339000,2024-04-01
Fairview Heights,Auckland North Shore,1638000,2024-04-01
Kensington,Timaru,470000,2024-04-01
Herne Bay,Auckland City,3746000,2024-04-01
Mount Wellington,Auckland City,1038000,2024-04-01
Orakei,Auckland City,2433000,2024-04-01
Shelly Park,Auckland Manukau,1603000,2024-04-01
Fairfield,Dunedin,776000,2024-04-01
Forbury,Dunedin,452000,2024-04-01
Halfway Bush,Dunedin,636000,2024-04-01
Outram,Dunedin,844000,2024-04-01
Kelson,Lower Hutt,863000,2024-04-01
Paremata,Porirua,964000,2024-04-01
Wallaceville,Upper Hutt,789000,2024-04-01
Redwood,Christchurch,673000,2024-04-01
Fairfield,Lower Hutt,785000,2024-04-01
Long Bay,Auckland North Shore,1759000,2024-04-01
Kennedys Bush,Christchurch,1788000,2024-04-01
Waikanae Beach,Kapiti Coast,957000,2024-04-01
Silverstream,Upper Hutt,904000,2024-04-01
Westport,Buller,403000,2024-04-01
Manurewa,Auckland Manukau,850000,2024-04-01
Manurewa East,Auckland Manukau,758000,2024-04-01
Albany,Auckland North Shore,1156000,2024-04-01
Birkdale,Auckland North Shore,993000,2024-04-01
Northcross,Auckland North Shore,1343000,2024-04-01
Methven,Ashburton,704000,2024-04-01
Riccarton,Christchurch,760000,2024-04-01
Waltham,Christchurch,513000,2024-04-01
Temuka,Timaru,515000,2024-04-01
Stokes Valley,Lower Hutt,651000,2024-04-01
Whitby,Porirua,994000,2024-04-01
Brooklyn,Wellington,1097000,2024-04-01
Johnsonville,Wellington,856000,2024-04-01
Lyall Bay,Wellington,1009000,2024-04-01
Heathcote Valley,Christchurch,828000,2024-04-01
Waimataitai,Timaru,519000,2024-04-01
Waikuku Beach,Waimakariri,699000,2024-04-01
Concord,Dunedin,576000,2024-04-01
Te Anau,Southland,765000,2024-04-01
Avonhead,Christchurch,819000,2024-04-01
Marchwiel,Timaru,531000,2024-04-01
Alexandra,Central Otago,786000,2024-04-01
Albert Town,Queenstown-Lakes,1657000,2024-04-01
Otaki,Kapiti Coast,737000,2024-04-01
Riverstone Terraces,Upper Hutt,1082000,2024-04-01
Botany Downs,Auckland Manukau,1293000,2024-04-01
Palmerston North,Palmerston North,638000,2024-04-01
Three Kings,Auckland City,1191000,2024-04-01
Westmere,Auckland City,2598000,2024-04-01
Belleknowes,Dunedin,798000,2024-04-01
Kelvin Heights,Queenstown-Lakes,2839000,2024-04-01
Georgetown,Invercargill,387000,2024-04-01
Papakowhai,Porirua,895000,2024-04-01
Wadestown,Wellington,1273000,2024-04-01
Glenfield,Auckland North Shore,1064000,2024-04-01
Abbotsford,Dunedin,621000,2024-04-01
Kenmure,Dunedin,615000,2024-04-01
Naenae,Lower Hutt,641000,2024-04-01
Burswood,Auckland Manukau,1255000,2024-04-01
Otara,Auckland Manukau,774000,2024-04-01
Bayview,Auckland North Shore,1029000,2024-04-01
Templeton,Christchurch,804000,2024-04-01
Arthurs Point,Queenstown-Lakes,1689000,2024-04-01
Appleby,Invercargill,341000,2024-04-01
Ebdentown,Upper Hutt,689000,2024-04-01
Miramar,Wellington,1030000,2024-04-01
South Dunedin,Dunedin,416000,2024-04-01
Boulcott,Lower Hutt,893000,2024-04-01
Koutu,Rotorua,522000,2024-04-01
Pakuranga Heights,Auckland Manukau,1183000,2024-04-01
Randwick Park,Auckland Manukau,793000,2024-04-01
Northcote,Christchurch,593000,2024-04-01
Wanaka,Queenstown-Lakes,2081000,2024-04-01
Eastbourne,Lower Hutt,1194000,2024-04-01
Wainuiomata,Lower Hutt,660000,2024-04-01
Northcote Point,Auckland North Shore,1740000,2024-04-01
Unsworth Heights,Auckland North Shore,1176000,2024-04-01
Upper Riccarton,Christchurch,686000,2024-04-01
Inner Kaiti,Gisborne,734000,2024-04-01
Glenleith,Dunedin,770000,2024-04-01
Freemans Bay,Auckland City,1715000,2024-04-01
Totara Vale,Auckland North Shore,1031000,2024-04-01
Hatfields Beach,Auckland Rodney,1164000,2024-04-01
Kawaha Point,Rotorua,797000,2024-04-01
Twizel,Mackenzie,790000,2024-04-01
Watlington,Timaru,470000,2024-04-01
Waikouaiti,Dunedin,532000,2024-04-01
Forest Lake,Hamilton,761000,2024-04-01
Grafton,Auckland City,686000,2024-04-01
Parnell,Auckland City,2162000,2024-04-01
Greenhithe,Auckland North Shore,1774000,2024-04-01
Akina,Hastings,624000,2024-04-01
North East Valley,Dunedin,551000,2024-04-01
Roslyn,Dunedin,891000,2024-04-01
Heidelberg,Invercargill,417000,2024-04-01
Maeroa,Hamilton,730000,2024-04-01
Raumati Beach,Kapiti Coast,894000,2024-04-01
Mount Victoria,Wellington,1253000,2024-04-01
Whitford,Auckland Manukau,3518000,2024-04-01
Epuni,Lower Hutt,803000,2024-04-01
Berhampore,Wellington,866000,2024-04-01
Northland,Wellington,1111000,2024-04-01
Glendowie,Auckland City,2302000,2024-04-01
Royal Oak,Auckland City,1418000,2024-04-01
Maraetai,Auckland Manukau,1557000,2024-04-01
Sunnyhills,Auckland Manukau,1700000,2024-04-01
Woodend,Waimakariri,744000,2024-04-01
Mangawhai,Kaipara,1344000,2024-04-01
Maungaturoto,Kaipara,767000,2024-04-01
Fairview Downs,Waikato,725000,2024-04-01
Clendon Park,Auckland Manukau,754000,2024-04-01
Red Hill,Auckland Papakura,826000,2024-04-01
Green Bay,Auckland Waitakere,1202000,2024-04-01
Haumoana,Hastings,1152000,2024-04-01
Belmont,Lower Hutt,964000,2024-04-01
Cockle Bay,Auckland Manukau,1638000,2024-04-01
Flat Bush,Auckland Manukau,1386000,2024-04-01
Cloverlea,Palmerston North,563000,2024-04-01
Roslyn,Palmerston North,555000,2024-04-01
Wakari,Dunedin,598000,2024-04-01
Waikiwi,Invercargill,623000,2024-04-01
Karori,Wellington,1090000,2024-04-01
Newtown,Wellington,984000,2024-04-01
Albany Heights,Auckland North Shore,1417000,2024-04-01
Waiake,Auckland North Shore,1613000,2024-04-01
Windsor Park,Auckland North Shore,1382000,2024-04-01
Bellevue,Tauranga,814000,2024-04-01
Mornington,Dunedin,569000,2024-04-01
Rototuna,Hamilton,1022000,2024-04-01
Wattle Downs,Auckland Manukau,1058000,2024-04-01
St Albans,Christchurch,898000,2024-04-01
Outer Kaiti,Gisborne,502000,2024-04-01
St Andrews,Hamilton,842000,2024-04-01
Ngaio,Wellington,1069000,2024-04-01
Hillsborough,Auckland City,1336000,2024-04-01
Conifer Grove,Auckland Papakura,1051000,2024-04-01
Glenholme,Rotorua,673000,2024-04-01
Kaikorai,Dunedin,585000,2024-04-01
Stratford,Stratford,540000,2024-04-01
Thorndon,Wellington,978000,2024-04-01
Hillpark,Auckland Manukau,958000,2024-04-01
Linwood,Christchurch,506000,2024-04-01
Phillipstown,Christchurch,458000,2024-04-01
West End,Timaru,501000,2024-04-01
Pegasus,Waimakariri,841000,2024-04-01
Waimate,Waimate,514000,2024-04-01
Eskdale,Hastings,1351000,2024-04-01
Mayfair,Hastings,612000,2024-04-01
Hillcrest,Hamilton,795000,2024-04-01
New Windsor,Auckland City,1256000,2024-04-01
Beachlands,Auckland Manukau,1604000,2024-04-01
East Tamaki,Auckland Manukau,1152000,2024-04-01
Howick,Auckland Manukau,1213000,2024-04-01
Rothesay Bay,Auckland North Shore,1649000,2024-04-01
Mangakakahi,Rotorua,529000,2024-04-01
Halswell,Christchurch,861000,2024-04-01
Amberley,Hurunui,736000,2024-04-01
Tai Tapu,Selwyn,1494000,2024-04-01
Highbury,Palmerston North,536000,2024-04-01
Pukete,Hamilton,825000,2024-04-01
Maungaraki,Lower Hutt,880000,2024-04-01
Waterview,Auckland City,1057000,2024-04-01
Totara Heights,Auckland Manukau,1034000,2024-04-01
Torbay,Auckland North Shore,1275000,2024-04-01
Rosehill,Auckland Papakura,962000,2024-04-01
Takanini,Auckland Papakura,946000,2024-04-01
Arkles Bay,Auckland Rodney,1144000,2024-04-01
Ohope,Whakatane,1301000,2024-04-01
Sydenham,Christchurch,570000,2024-04-01
Oxford,Waimakariri,707000,2024-04-01
Swannanoa,Waimakariri,1305000,2024-04-01
Enderley,Hamilton,626000,2024-04-01
Saint Heliers,Auckland City,2335000,2024-04-01
Stonefields,Auckland City,1586000,2024-04-01
Campbells Bay,Auckland North Shore,2347000,2024-04-01
Springfield,Rotorua,818000,2024-04-01
Seaview,Timaru,481000,2024-04-01
Aramoho,Whanganui,494000,2024-04-01
Westmere,Whanganui,1031000,2024-04-01
Half Moon Bay,Auckland Manukau,1629000,2024-04-01
Beach Haven,Auckland North Shore,1078000,2024-04-01
Birkenhead,Auckland North Shore,1348000,2024-04-01
Murrays Bay,Auckland North Shore,1797000,2024-04-01
West End,Palmerston North,606000,2024-04-01
Okaihau,Far North,784000,2024-04-01
Lake Hawea,Queenstown-Lakes,1358000,2024-04-01
Weston,Waitaki,731000,2024-04-01
Avalon,Lower Hutt,733000,2024-04-01
Newmarket,Auckland City,901000,2024-04-01
Otahuhu,Auckland City,789000,2024-04-01
Wai o Taiki Bay,Auckland City,1570000,2024-04-01
Goodwood Heights,Auckland Manukau,1073000,2024-04-01
Southbridge,Selwyn,652000,2024-04-01
Bader,Hamilton,600000,2024-04-01
Saint Marys Bay,Auckland City,2954000,2024-04-01
Forrest Hill,Auckland North Shore,1401000,2024-04-01
Opaheke,Auckland Papakura,1098000,2024-04-01
Kaiti,Gisborne,513000,2024-04-01
Castlecliff,Whanganui,443000,2024-04-01
Newfield,Invercargill,452000,2024-04-01
Grandview Heights,Hamilton,914000,2024-04-01
Glenview,Waipa,773000,2024-04-01
Onehunga,Auckland City,1171000,2024-04-01
West Harbour,Auckland Waitakere,1322000,2024-04-01
Kaiapoi,Waimakariri,695000,2024-04-01
Clive,Hastings,901000,2024-04-01
Gladstone,Invercargill,618000,2024-04-01
Hawthorndale,Invercargill,485000,2024-04-01
Mount Roskill,Auckland City,1175000,2024-04-01
New Lynn,Auckland Waitakere,885000,2024-04-01
Woolston,Christchurch,565000,2024-04-01
Taradale,Napier,845000,2024-04-01
Milson,Palmerston North,630000,2024-04-01
Lower Vogeltown,New Plymouth,730000,2024-04-01
Woburn,Lower Hutt,1201000,2024-04-01
Auckland Central,Auckland City,606000,2024-04-01
Greenlane,Auckland City,1883000,2024-04-01
Ponsonby,Auckland City,2413000,2024-04-01
Pukehangi,Rotorua,638000,2024-04-01
Kaikohe,Far North,400000,2024-04-01
Russell,Far North,1564000,2024-04-01
Beerescourt,Hamilton,990000,2024-04-01
Chedworth,Hamilton,916000,2024-04-01
Otaki Beach,Kapiti Coast,642000,2024-04-01
Onetangi,Auckland City,1878000,2024-04-01
Ostend,Auckland City,1441000,2024-04-01
Pahurehure,Auckland Papakura,1015000,2024-04-01
Darfield,Selwyn,856000,2024-04-01
Waikawa,Marlborough,942000,2024-04-01
Glengarry,Invercargill,437000,2024-04-01
Windsor,Invercargill,581000,2024-04-01
Khandallah,Wellington,1278000,2024-04-01
Saint Johns,Auckland City,1518000,2024-04-01
The Gardens,Auckland Manukau,1290000,2024-04-01
Papakura,Auckland Papakura,850000,2024-04-01
Glendene,Auckland Waitakere,970000,2024-04-01
Fitzherbert,Palmerston North,941000,2024-04-01
Bell Block,New Plymouth,758000,2024-04-01
Inglewood,New Plymouth,640000,2024-04-01
Kilbirnie,Wellington,906000,2024-04-01
Glen Innes,Auckland City,1151000,2024-04-01
Point Chevalier,Auckland City,1925000,2024-04-01
Browns Bay,Auckland North Shore,1235000,2024-04-01
Red Beach,Auckland Rodney,1261000,2024-04-01
Snells Beach,Auckland Rodney,1115000,2024-04-01
Bethlehem,Tauranga,1125000,2024-04-01
Greerton,Tauranga,722000,2024-04-01
Cheviot,Hurunui,500000,2024-04-01
Kaeo,Far North,841000,2024-04-01
Dunedin Central,Dunedin,710000,2024-04-01
Marfell,New Plymouth,484000,2024-04-01
Fitzroy,Hamilton,795000,2024-04-01
