Suburb,District,Average property value,3-month change %
Silverdale,Auckland Rodney,"$1,369,000",2.9
Kelburn,Wellington,"$1,384,000",2.9
Minden,Western Bay of Plenty,"$1,639,000",2.9
Riverhead,Auckland Rodney,"$1,852,000",2.9
Tokoroa,South Waikato,"$434,000",2.8
Victoria,Rotorua,"$518,000",2.8
Tirau,South Waikato,"$672,000",2.8
Ngongotaha,Rotorua,"$709,000",2.8
Paihia,Far North,"$820,000",2.8
Crofton Downs,Wellington,"$1,028,000",2.8
Brooklyn,Wellington,"$1,055,000",2.8
Otaihanga,Kapiti Coast,"$1,115,000",2.8
Albany,Auckland North Shore,"$1,145,000",2.8
Mount Victoria,Wellington,"$1,185,000",2.8
Mount Albert,Auckland City,"$1,334,000",2.8
Ostend,Auckland City,"$1,461,000",2.8
Castlecliff,Whanganui,"$450,000",2.7
Hikurangi,Whangarei,"$571,000",2.7
Waipukurau,Central Hawke's Bay,"$644,000",2.7
Sunnybrook,Rotorua,"$717,000",2.7
Otamatea,Whanganui,"$908,000",2.7
Cracroft,Christchurch,"$1,173,000",2.7
Ellerslie,Auckland City,"$1,206,000",2.7
Greenhithe,Auckland North Shore,"$1,840,000",2.7
Dargaville,Kaipara,"$520,000",2.6
Springvale,Whanganui,"$593,000",2.6
Napier South,Napier,"$666,000",2.6
Greenmeadows,Napier,"$799,000",2.6
Taradale,Napier,"$829,000",2.6
Takanini,Auckland Papakura,"$921,000",2.6
Kirwee,Selwyn,"$1,024,000",2.6
Waterview,Auckland City,"$1,027,000",2.6
East Tamaki,Auckland Manukau,"$1,125,000",2.6
Raglan,Waikato,"$1,205,000",2.6
Tai Tapu,Selwyn,"$1,517,000",2.6
Tawhero,Whanganui,"$543,000",2.5
Marewa,Napier,"$572,000",2.5
Levin,Horowhenua,"$584,000",2.5
Forest Lake,Hamilton,"$751,000",2.5
Red Hill,Auckland Papakura,"$816,000",2.5
Papatoetoe,Auckland Manukau,"$846,000",2.5
Unsworth Heights,Auckland North Shore,"$1,193,000",2.5
Poraiti,Napier,"$1,239,000",2.5
Manly,Auckland Rodney,"$1,251,000",2.5
Morningside,Auckland City,"$1,256,000",2.5
Swannanoa,Waimakariri,"$1,318,000",2.5
Matangi,Waikato,"$1,673,000",2.5
Freemans Bay,Auckland City,"$1,692,000",2.5
Greenlane,Auckland City,"$1,867,000",2.5
Whanganui East,Whanganui,"$470,000",2.4
Ahipara,Far North,"$652,000",2.4
Maungaturoto,Kaipara,"$758,000",2.4
Laingholm,Auckland Waitakere,"$1,021,000",2.4
West Melton,Selwyn,"$1,327,000",2.4
Mairangi Bay,Auckland North Shore,"$1,772,000",2.4
Stratford,Stratford,"$526,000",2.3
Sydenham,Christchurch,"$577,000",2.3
Fairfield,Hamilton,"$770,000",2.3
Henderson,Auckland Waitakere,"$920,000",2.3
Temple View,Waipa,"$1,020,000",2.3
Akaroa,Christchurch,"$1,082,000",2.3
Hatfields Beach,Auckland Rodney,"$1,166,000",2.3
Sandringham,Auckland City,"$1,381,000",2.3
Narrow Neck,Auckland North Shore,"$1,940,000",2.3
Devonport,Auckland North Shore,"$2,158,000",2.3
Cobden,Grey,"$332,000",2.2
Tauranga South,Tauranga,"$890,000",2.2
Ilam,Christchurch,"$944,000",2.2
Pakuranga Heights,Auckland Manukau,"$1,143,000",2.2
Mount Pleasant,Christchurch,"$1,168,000",2.2
One Tree Hill,Auckland City,"$1,346,000",2.2
Whangamata,Thames-Coromandel,"$1,409,000",2.2
Cockle Bay,Auckland Manukau,"$1,620,000",2.2
Fairview Heights,Auckland North Shore,"$1,642,000",2.2
Gonville,Whanganui,"$448,000",2.1
Paeroa,Hauraki,"$589,000",2.1
Waipawa,Central Hawke's Bay,"$638,000",2.1
Mairehau,Christchurch,"$671,000",2.1
Karikari Peninsula,Far North,"$732,000",2.1
Ngatea,Hauraki,"$741,000",2.1
Papamoa,Western Bay of Plenty,"$905,000",2.1
Kerikeri,Far North,"$1,054,000",2.1
Goodwood Heights,Auckland Manukau,"$1,063,000",2.1
Gulf Harbour,Auckland Rodney,"$1,088,000",2.1
Kingsland,Auckland City,"$1,374,000",2.1
Shelly Park,Auckland Manukau,"$1,578,000",2.1
Waiake,Auckland North Shore,"$1,627,000",2.1
Ponsonby,Auckland City,"$2,385,000",2.1
Orakei,Auckland City,"$2,436,000",2.1
Fairlie,Mackenzie,"$565,000",2
Enderley,Hamilton,"$624,000",2
Hamilton Central,Hamilton,"$754,000",2
Otara,Auckland Manukau,"$763,000",2
Rototuna North,Hamilton,"$1,019,000",2
Wattle Downs,Auckland Manukau,"$1,028,000",2
Churton Park,Wellington,"$1,100,000",2
Island Bay,Wellington,"$1,125,000",2
Maraetai,Auckland Manukau,"$1,554,000",2
Westmere,Auckland City,"$2,584,000",2
Kingswell,Invercargill,"$427,000",1.9
Methven,Ashburton,"$742,000",1.9
Elgin,Ashburton,"$984,000",1.9
Huntington,Hamilton,"$1,059,000",1.9
One Tree Point,Whangarei,"$1,076,000",1.9
Hobsonville,Auckland Waitakere,"$1,127,000",1.9
Mount Roskill,Auckland City,"$1,133,000",1.9
Three Kings,Auckland City,"$1,146,000",1.9
Birkenhead,Auckland North Shore,"$1,317,000",1.9
Lynfield,Auckland City,"$1,322,000",1.9
Northpark,Auckland Manukau,"$1,470,000",1.9
Onetangi,Auckland City,"$1,982,000",1.9
Woodville,Tararua,"$458,000",1.8
New Brighton,Christchurch,"$561,000",1.8
College Estate,Whanganui,"$613,000",1.8
