Suburb,District,Average property value,3-month change %
East Gore,Gore,"$396,000",-0.3
Islington,Christchurch,"$581,000",-0.3
Holmes Hill,Waitaki,"$590,000",-0.3
Manukau,Auckland Manukau,"$605,000",-0.3
Ranui,Porirua,"$616,000",-0.3
Sanson,Manawatu,"$654,000",-0.3
Dinsdale,Hamilton,"$704,000",-0.3
Otaki,Kapiti Coast,"$705,000",-0.3
Titahi Bay,Porirua,"$710,000",-0.3
Southshore,Christchurch,"$716,000",-0.3
Kaikoura,Kaikoura,"$775,000",-0.3
Waitati,Dunedin,"$776,000",-0.3
Whalers Gate,New Plymouth,"$777,000",-0.3
Taupiri,Waikato,"$1,015,000",-0.3
Maori Hill,Dunedin,"$1,054,000",-0.3
Marshland,Christchurch,"$1,090,000",-0.3
Waipu,Whangarei,"$1,121,000",-0.3
Murrays Bay,Auckland North Shore,"$1,802,000",-0.3
Milton,Clutha,"$445,000",-0.4
Parkside,Timaru,"$462,000",-0.4
Grasmere,Invercargill,"$475,000",-0.4
Shannon,Horowhenua,"$475,000",-0.4
Calton Hill,Dunedin,"$481,000",-0.4
Avenal,Invercargill,"$494,000",-0.4
Linwood,Christchurch,"$497,000",-0.4
North East Valley,Dunedin,"$545,000",-0.4
Gisborne,Gisborne,"$548,000",-0.4
Welbourn,New Plymouth,"$702,000",-0.4
Avalon,Lower Hutt,"$708,000",-0.4
Bell Block,New Plymouth,"$752,000",-0.4
Nelson South,Nelson,"$763,000",-0.4
Lyttelton,Christchurch,"$764,000",-0.4
The Wood,Nelson,"$772,000",-0.4
Hillsborough,Christchurch,"$818,000",-0.4
Heathcote Valley,Christchurch,"$831,000",-0.4
Burnside,Christchurch,"$891,000",-0.4
Aidanfield,Christchurch,"$915,000",-0.4
Clyde,Central Otago,"$980,000",-0.4
Coastlands,Whakatane,"$997,000",-0.4
Harewood,Christchurch,"$1,104,000",-0.4
Eastbourne,Lower Hutt,"$1,111,000",-0.4
Omokoroa,Western Bay of Plenty,"$1,120,000",-0.4
Te Kowhai,Waikato,"$1,292,000",-0.4
Prebbleton,Selwyn,"$1,301,000",-0.4
Beachlands,Auckland Manukau,"$1,565,000",-0.4
Westbrook,Palmerston North,"$551,000",-0.5
Port Chalmers,Dunedin,"$555,000",-0.5
Bradford,Dunedin,"$579,000",-0.5
Solway,Masterton,"$614,000",-0.5
South New Brighton,Christchurch,"$621,000",-0.5
Lansdowne,Masterton,"$627,000",-0.5
Brookfield,Tauranga,"$792,000",-0.5
Te Marua,Upper Hutt,"$815,000",-0.5
Tawa,Wellington,"$851,000",-0.5
Pukerua Bay,Porirua,"$855,000",-0.5
Frimley,Hastings,"$876,000",-0.5
Bunnythorpe,Manawatu,"$882,000",-0.5
Aotea,Porirua,"$1,198,000",-0.5
Watlington,Timaru,"$475,000",-0.6
Foxton,Horowhenua,"$504,000",-0.6
Waimate,Waimate,"$516,000",-0.6
Cheviot,Hurunui,"$517,000",-0.6
Highbury,Palmerston North,"$517,000",-0.6
Sockburn,Christchurch,"$620,000",-0.6
Picton,Marlborough,"$639,000",-0.6
Sawyers Bay,Dunedin,"$664,000",-0.6
Tahunanui,Nelson,"$683,000",-0.6
Havelock,Marlborough,"$689,000",-0.6
Judea,Tauranga,"$717,000",-0.6
Weston,Waitaki,"$769,000",-0.6
Fairfield,Dunedin,"$770,000",-0.6
Opawa,Christchurch,"$778,000",-0.6
Diamond Harbour,Christchurch,"$780,000",-0.6
Te Puke,Western Bay of Plenty,"$819,000",-0.6
Highlands Park,New Plymouth,"$882,000",-0.6
Northwood,Christchurch,"$1,065,000",-0.6
Athenree,Western Bay of Plenty,"$1,107,000",-0.6
Merivale,Christchurch,"$1,564,000",-0.6
Mataura,Gore,"$297,000",-0.7
Kawerau,Kawerau,"$408,000",-0.7
South Hill,Waitaki,"$537,000",-0.7
Avonside,Christchurch,"$541,000",-0.7
Takaro,Palmerston North,"$545,000",-0.7
Woodhill,Whangarei,"$570,000",-0.7
Moera,Lower Hutt,"$574,000",-0.7
West End,Palmerston North,"$584,000",-0.7
Totara Park,Upper Hutt,"$687,000",-0.7
Amberley,Hurunui,"$738,000",-0.7
Fitzroy,New Plymouth,"$945,000",-0.7
Dannemora,Auckland Manukau,"$1,661,000",-0.7
Liberton,Dunedin,"$481,000",-0.8
Tikipunga,Whangarei,"$596,000",-0.8
Akina,Hastings,"$611,000",-0.8
Riverdale,Gisborne,"$771,000",-0.8
Mangere,Auckland Manukau,"$839,000",-0.8
Wigram,Christchurch,"$858,000",-0.8
Roslyn,Dunedin,"$881,000",-0.8
Marybank,Nelson,"$907,000",-0.8
Cromwell,Central Otago,"$1,005,000",-0.8
Glenbervie,Whangarei,"$1,156,000",-0.8
Pukehina,Western Bay of Plenty,"$1,230,000",-0.8
Roseneath,Wellington,"$1,453,000",-0.8
Piopio,Waitomo,"$460,000",-0.9
Morningside,Whangarei,"$541,000",-0.9
Woolston,Christchurch,"$569,000",-0.9
Northcote,Christchurch,"$578,000",-0.9
Waikiwi,Invercargill,"$626,000",-0.9
Edgecumbe,Whakatane,"$639,000",-0.9
Feilding,Manawatu,"$648,000",-0.9
Waihi,Hauraki,"$696,000",-0.9
Broomfield,Christchurch,"$698,000",-0.9
Fairfield,Lower Hutt,"$748,000",-0.9
Shiel Hill,Dunedin,"$776,000",-0.9
Twizel,Mackenzie,"$780,000",-0.9
Bellevue,Tauranga,"$788,000",-0.9
Saint Clair,Dunedin,"$863,000",-0.9
Waihi Beach,Western Bay of Plenty,"$1,462,000",-0.9
Clifton,Invercargill,"$398,000",-1
South Dunedin,Dunedin,"$416,000",-1
Green Island,Dunedin,"$605,000",-1
Waitarere Beach,Horowhenua,"$610,000",-1
Geraldine,Timaru,"$613,000",-1
Awapuni,Palmerston North,"$615,000",-1
Abbotsford,Dunedin,"$622,000",-1
Dunedin Central,Dunedin,"$696,000",-1
Rongotea,Manawatu,"$708,000",-1
Rolleston,Selwyn,"$857,000",-1
Waiwhakaiho,New Plymouth,"$1,149,000",-1
Oakura,New Plymouth,"$1,327,000",-1
Hei Hei,Christchurch,"$613,000",-1.1
Vogeltown,New Plymouth,"$614,000",-1.1
Naenae,Lower Hutt,"$616,000",-1.1
Spreydon,Christchurch,"$628,000",-1.1
Nawton,Hamilton,"$654,000",-1.1
Greerton,Tauranga,"$702,000",-1.1
Kihikihi,Waipa,"$749,000",-1.1
Halcombe,Manawatu,"$809,000",-1.1
Atawhai,Nelson,"$915,000",-1.1
Fitzherbert,Palmerston North,"$927,000",-1.1
Riverstone Terraces,Upper Hutt,"$1,019,000",-1.1
Waipapa,Far North,"$1,022,000",-1.1
Kawakawa,Far North,"$495,000",-1.2
Redwoodtown,Marlborough,"$597,000",-1.2
Pleasant Point,Timaru,"$598,000",-1.2
Kew,Dunedin,"$650,000",-1.2
Hoon Hay,Christchurch,"$662,000",-1.2
Whau Valley,Whangarei,"$664,000",-1.2
Renwick,Marlborough,"$762,000",-1.2
Outram,Dunedin,"$838,000",-1.2
Boulcott,Lower Hutt,"$845,000",-1.2
Strandon,New Plymouth,"$992,000",-1.2
Pirongia,Waipa,"$1,014,000",-1.2
Tahawai,Western Bay of Plenty,"$1,246,000",-1.2
Kensington,Timaru,"$458,000",-1.3
Ashburton,Ashburton,"$516,000",-1.3
Blenheim,Marlborough,"$595,000",-1.3
Highfield,Timaru,"$602,000",-1.3
Corstorphine,Dunedin,"$603,000",-1.3
Palmerston North,Palmerston North,"$606,000",-1.3
Parahaki,Whangarei,"$710,000",-1.3
Epuni,Lower Hutt,"$761,000",-1.3
Ohau,Horowhenua,"$955,000",-1.3
Waimairi Beach,Christchurch,"$977,000",-1.3
Wanaka,Queenstown-Lakes,"$2,092,000",-1.3
Rakaia,Ashburton,"$567,000",-1.4
Motueka,Tasman,"$722,000",-1.4
New Lynn,Auckland Waitakere,"$862,000",-1.4
Normandale,Lower Hutt,"$868,000",-1.4
Lytton West,Gisborne,"$895,000",-1.4
Lincoln,Selwyn,"$1,010,000",-1.4
Frankton,Queenstown-Lakes,"$1,286,000",-1.4
Hampstead,Ashburton,"$458,000",-1.5
Caversham,Dunedin,"$462,000",-1.5
Saint Kilda,Dunedin,"$514,000",-1.5
Marchwiel,Timaru,"$516,000",-1.5
Kenmure,Dunedin,"$607,000",-1.5
Westown,New Plymouth,"$640,000",-1.5
Gate Pa,Tauranga,"$666,000",-1.5
Takaka,Tasman,"$721,000",-1.5
Moturoa,New Plymouth,"$741,000",-1.5
Rosedale,Invercargill,"$746,000",-1.5
Maungaraki,Lower Hutt,"$833,000",-1.5
Whitby,Porirua,"$950,000",-1.5
Peacocke,Hamilton,"$1,110,000",-1.5
Acacia Bay,Taupo,"$1,367,000",-1.5
Oneroa,Auckland City,"$2,176,000",-1.5
Waimataitai,Timaru,"$508,000",-1.6
Cloverlea,Palmerston North,"$544,000",-1.6
Wainuiomata,Lower Hutt,"$632,000",-1.6
Riccarton,Christchurch,"$751,000",-1.6
Hawera,South Taranaki,"$529,000",-1.7
Richmond,Christchurch,"$568,000",-1.7
Halfway Bush,Dunedin,"$620,000",-1.7
Mount Cook,Wellington,"$733,000",-1.7
Timberlea,Upper Hutt,"$791,000",-1.7
Riwaka,Tasman,"$795,000",-1.7
Johnsonville,Wellington,"$807,000",-1.7
Maunu,Whangarei,"$958,000",-1.7
Lake Hawea,Queenstown-Lakes,"$1,279,000",-1.7
Ohakune,Ruapehu,"$481,000",-1.8
Riversdale,Marlborough,"$542,000",-1.8
Glenwood,Timaru,"$545,000",-1.8
Andersons Bay,Dunedin,"$657,000",-1.8
Whakatane,Whakatane,"$666,000",-1.8
Waiwhetu,Lower Hutt,"$712,000",-1.8
Newtown,Wellington,"$914,000",-1.8
Burleigh,Marlborough,"$1,013,000",-1.8
Kinloch,Taupo,"$1,381,000",-1.8
Heidelberg,Invercargill,"$418,000",-1.9
Mayfield,Marlborough,"$560,000",-1.9
Waverley,Invercargill,"$568,000",-1.9
Maryhill,Dunedin,"$581,000",-1.9
Musselburgh,Dunedin,"$623,000",-1.9
The Brook,Nelson,"$675,000",-1.9
Springlands,Marlborough,"$816,000",-1.9
Parua Bay,Whangarei,"$1,079,000",-1.9
Aokautere,Palmerston North,"$1,146,000",-1.9
Ohaupo,Waipa,"$1,264,000",-1.9
Hawthorndale,Invercargill,"$490,000",-2
Trentham,Upper Hutt,"$693,000",-2
Te Kamo,Whangarei,"$732,000",-2
Taupo,Taupo,"$737,000",-2
Paraparaumu,Kapiti Coast,"$793,000",-2
Mount Maunganui,Tauranga,"$1,456,000",-2
Tasman,Tasman,"$1,551,000",-2
Turangi,Taupo,"$472,000",-2.1
Elderslea,Upper Hutt,"$716,000",-2.1
Waverley,Dunedin,"$784,000",-2.1
St Albans,Christchurch,"$881,000",-2.1
Woburn,Lower Hutt,"$1,142,000",-2.1
Fendalton,Christchurch,"$1,742,000",-2.1
Jacks Point,Queenstown-Lakes,"$1,762,000",-2.1
Lake Hayes,Queenstown-Lakes,"$2,751,000",-2.1
Palmerston,Waitaki,"$453,000",-2.2
Bulls,Rangitikei,"$541,000",-2.2
Wallacetown,Southland,"$572,000",-2.2
Leithfield,Hurunui,"$669,000",-2.2
Richmond,Tasman,"$830,000",-2.2
Nukuhau,Taupo,"$876,000",-2.2
Waikawa,Marlborough,"$937,000",-2.2
Mangonui,Far North,"$806,000",-2.3
Helensburgh,Dunedin,"$727,000",-2.4
Waterloo,Lower Hutt,"$807,000",-2.4
Ranui,Auckland Waitakere,"$823,000",-2.4
Hope,Tasman,"$1,244,000",-2.4
Raumanga,Whangarei,"$466,000",-2.5
Greymouth,Grey,"$468,000",-2.5
Arthurs Point,Queenstown-Lakes,"$1,603,000",-2.5
Ngunguru,Whangarei,"$966,000",-2.6
Upper Moutere,Tasman,"$1,286,000",-2.6
Redwood Valley,Tasman,"$1,578,000",-2.6
Waipahihi,Taupo,"$1,100,000",-2.7
Mapua,Tasman,"$1,129,000",-2.7
Ruakaka,Whangarei,"$862,000",-2.8
Witherlea,Marlborough,"$742,000",-2.9
Brighton,Dunedin,"$739,000",-3
Wakefield,Tasman,"$903,000",-3
Auckland Central,Auckland City,"$554,000",-3.1
Brightwater,Tasman,"$931,000",-3.1
Maori Hill,Timaru,"$575,000",-3.2
Hilltop,Taupo,"$868,000",-3.2
Appleby,Tasman,"$1,019,000",-3.2
Wharewaka,Taupo,"$1,331,000",-3.3
Taita,Lower Hutt,"$602,000",-3.4
Maungakaramea,Whangarei,"$828,000",-3.4
Wellington Central,Wellington,"$483,000",-3.6
Newmarket,Auckland City,"$838,000",-3.6
Taihape,Rangitikei,"$384,000",-4
Te Aro,Wellington,"$654,000",-4
Karori,Wellington,"$1,049,000",-4.1
Tauhara,Taupo,"$596,000",-4.2
Te Kuiti,Waitomo,"$447,000",-4.3
Rangatira Park,Taupo,"$984,000",-4.3
Richmond Heights,Taupo,"$778,000",-4.5
Kauri,Whangarei,"$1,009,000",-4.5
Winton,Southland,"$599,000",-4.8
Riverton/Aparima,Southland,"$640,000",-4.9
