Suburb,TLA,Current average property value,1-year change %
Sawyers Bay,Dunedin,"$670,000",2.8
Richmond,Tasman,"$831,000",2.8
Tauhara,Taupo,"$615,000",2.8
Avonhead,Christchurch,"$833,000",2.7
Heathcote Valley,Christchurch,"$840,000",2.7
Prebbleton,Selwyn,"$1,309,000",2.7
Temuka,Timaru,"$525,000",2.7
Balclutha,Clutha,"$454,000",2.7
Rosedale,Invercargill,"$748,000",2.7
Westown,New Plymouth,"$646,000",2.7
Opunake,South Taranaki,"$494,000",2.7
Wharewaka,Taupo,"$1,385,000",2.7
Cracroft,Christchurch,"$1,181,000",2.6
South New Brighton,Christchurch,"$627,000",2.6
Parkside,Timaru,"$467,000",2.6
Maryhill,Dunedin,"$598,000",2.6
St Andrews,Hamilton,"$865,000",2.6
Casebrook,Christchurch,"$860,000",2.5
Hornby,Christchurch,"$611,000",2.5
Dannevirke,Tararua,"$487,000",2.5
Eketahuna,Tararua,"$417,000",2.5
Belleknowes,Dunedin,"$816,000",2.5
Saint Clair,Dunedin,"$878,000",2.5
Waikouaiti,Dunedin,"$543,000",2.5
Kew,Invercargill,"$365,000",2.5
Claudelands,Hamilton,"$783,000",2.5
Ngatea,Hauraki,"$735,000",2.5
Bunnythorpe,Manawatu,"$889,000",2.4
Fairfield,Dunedin,"$777,000",2.4
Russley,Christchurch,"$721,000",2.3
Otamatea,Whanganui,"$906,000",2.3
Fitzroy,Hamilton,"$807,000",2.3
Pukete,Hamilton,"$838,000",2.3
Silverdale,Hamilton,"$748,000",2.3
Wigram,Christchurch,"$872,000",2.2
Te Kamo,Whangarei,"$752,000",2.2
Forbury,Dunedin,"$455,000",2.2
Maori Hill,Dunedin,"$1,066,000",2.2
Kingswell,Invercargill,"$418,000",2.2
Mangere East,Auckland Manukau,"$867,000",2.1
Whakamarama,Western Bay of Plenty,"$1,524,000",2.1
Bishopdale,Christchurch,"$689,000",2.1
Bromley,Christchurch,"$534,000",2.1
Tai Tapu,Selwyn,"$1,502,000",2.1
Kaiapoi,Waimakariri,"$694,000",2.1
Andersons Bay,Dunedin,"$671,000",2.1
Selwyn Heights,Rotorua,"$521,000",2
Burwood,Christchurch,"$702,000",2
Halswell,Christchurch,"$857,000",2
Hoon Hay,Christchurch,"$670,000",2
Kenmure,Dunedin,"$619,000",2
Port Chalmers,Dunedin,"$568,000",2
South Hill,Waitaki,"$521,000",2
Vogeltown,New Plymouth,"$620,000",2
Bader,Hamilton,"$604,000",2
Nukuhau,Taupo,"$903,000",2
Onewhero,Waikato,"$987,000",2
Waikanae,Kapiti Coast,"$918,000",2
Timberlea,Upper Hutt,"$811,000",2
Avonside,Christchurch,"$549,000",1.9
Waltham,Christchurch,"$523,000",1.9
Waipawa,Central Hawke's Bay,"$634,000",1.9
Glenfield,Auckland North Shore,"$1,042,000",1.8
Mount Maunganui,Tauranga,"$1,456,000",1.8
Flaxmere,Hastings,"$498,000",1.8
Tahunanui,Nelson,"$689,000",1.8
Hamilton East,Hamilton,"$737,000",1.8
Melville,Hamilton,"$666,000",1.8
Rangatira Park,Taupo,"$1,015,000",1.8
Avalon,Lower Hutt,"$732,000",1.8
Elgin,Ashburton,"$990,000",1.7
Merivale,Christchurch,"$1,580,000",1.7
Yaldhurst,Christchurch,"$994,000",1.7
North East Valley,Dunedin,"$553,000",1.7
Shiel Hill,Dunedin,"$792,000",1.7
Heidelberg,Invercargill,"$420,000",1.7
Winton,Southland,"$606,000",1.7
Brown Owl,Upper Hutt,"$766,000",1.7
Totara Park,Upper Hutt,"$700,000",1.7
Onetangi,Auckland City,"$1,936,000",1.6
Edgeware,Christchurch,"$562,000",1.6
New Brighton,Christchurch,"$561,000",1.6
Leithfield,Hurunui,"$681,000",1.6
Waimataitai,Timaru,"$514,000",1.6
Rangiora,Waimakariri,"$715,000",1.6
Westmere,Whanganui,"$1,031,000",1.6
Mangawhai Heads,Kaipara,"$1,402,000",1.6
Ranfurly,Central Otago,"$458,000",1.6
Dunedin Central,Dunedin,"$708,000",1.6
Forest Lake,Hamilton,"$767,000",1.6
Hamilton Central,Hamilton,"$769,000",1.6
Raumati South,Kapiti Coast,"$885,000",1.6
Wallaceville,Upper Hutt,"$776,000",1.6
Ilam,Christchurch,"$947,000",1.5
Parklands,Christchurch,"$754,000",1.5
Fairlie,Mackenzie,"$559,000",1.5
Watlington,Timaru,"$478,000",1.5
Waikiwi,Invercargill,"$617,000",1.5
Strandon,New Plymouth,"$996,000",1.5
Chedworth,Hamilton,"$931,000",1.5
