Suburb,TLA,Current average property value,1-year change %
Meadowbank,Auckland City,"$1,647,000",-1.8
Wesley,Auckland City,"$1,107,000",-1.8
Beachlands,Auckland Manukau,"$1,560,000",-1.8
Titirangi,Auckland Waitakere,"$1,180,000",-1.8
Fitzherbert,Palmerston North,"$935,000",-1.8
Raumanga,Whangarei,"$490,000",-1.8
Highlands Park,New Plymouth,"$884,000",-1.8
Whitianga,Thames-Coromandel,"$1,038,000",-1.8
Greenlane,Auckland City,"$1,834,000",-1.9
Waiuku,Auckland Franklin,"$870,000",-1.9
Cockle Bay,Auckland Manukau,"$1,606,000",-1.9
Katikati,Western Bay of Plenty,"$767,000",-1.9
Marewa,Napier,"$564,000",-1.9
Wairoa,Wairoa,"$317,000",-1.9
Terrace End,Palmerston North,"$633,000",-1.9
Mayfield,Marlborough,"$558,000",-1.9
Regent,Whangarei,"$670,000",-1.9
Whangamata,Thames-Coromandel,"$1,382,000",-1.9
Petone,Lower Hutt,"$819,000",-1.9
Glendowie,Auckland City,"$2,245,000",-2
Mount Albert,Auckland City,"$1,338,000",-2
Goodwood Heights,Auckland Manukau,"$1,047,000",-2
Brookfield,Tauranga,"$796,000",-2
Papamoa,Western Bay of Plenty,"$899,000",-2
Bulls,Rangitikei,"$541,000",-2
Witherlea,Marlborough,"$746,000",-2
Parahaki,Whangarei,"$730,000",-2
Whalers Gate,New Plymouth,"$778,000",-2
Titahi Bay,Porirua,"$697,000",-2
Whitby,Porirua,"$953,000",-2
Newtown,Wellington,"$925,000",-2
Sandringham,Auckland City,"$1,357,000",-2.1
Birkenhead,Auckland North Shore,"$1,323,000",-2.1
Manly,Auckland Rodney,"$1,229,000",-2.1
Glenholme,Rotorua,"$652,000",-2.1
Pomare,Rotorua,"$715,000",-2.1
Tamatea,Napier,"$611,000",-2.1
Havelock,Marlborough,"$683,000",-2.1
Renwick,Marlborough,"$756,000",-2.1
Normandale,Lower Hutt,"$874,000",-2.1
Cannons Creek,Porirua,"$549,000",-2.1
Broadmeadows,Wellington,"$874,000",-2.1
Herne Bay,Auckland City,"$3,590,000",-2.2
Orakei,Auckland City,"$2,396,000",-2.2
Wiri,Auckland Manukau,"$677,000",-2.2
Birkdale,Auckland North Shore,"$957,000",-2.2
Poraiti,Napier,"$1,220,000",-2.2
Tokomaru,Horowhenua,"$662,000",-2.2
Milson,Palmerston North,"$620,000",-2.2
West End,Palmerston North,"$591,000",-2.2
Kaeo,Far North,"$818,000",-2.2
Maunu,Whangarei,"$974,000",-2.2
Onerahi,Whangarei,"$630,000",-2.2
Temple View,Waipa,"$1,015,000",-2.2
Te Kuiti,Waitomo,"$455,000",-2.2
Alicetown,Lower Hutt,"$804,000",-2.2
Surfdale,Auckland City,"$1,337,000",-2.3
Camberley,Hastings,"$543,000",-2.3
Roslyn,Palmerston North,"$542,000",-2.3
Takaro,Palmerston North,"$552,000",-2.3
Picton,Marlborough,"$636,000",-2.3
Gore,Gore,"$471,000",-2.3
Waihi,Hauraki,"$693,000",-2.3
Waiwhetu,Lower Hutt,"$728,000",-2.3
Albany Heights,Auckland North Shore,"$1,407,000",-2.4
Rothesay Bay,Auckland North Shore,"$1,618,000",-2.4
Dairy Flat,Auckland Rodney,"$2,353,000",-2.4
Laingholm,Auckland Waitakere,"$1,003,000",-2.4
Hamurana,Rotorua,"$1,179,000",-2.4
Dargaville,Kaipara,"$518,000",-2.4
Grey Lynn,Auckland City,"$1,782,000",-2.5
Point Chevalier,Auckland City,"$1,893,000",-2.5
Parakai,Auckland Rodney,"$770,000",-2.5
Henderson Valley,Auckland Waitakere,"$1,301,000",-2.5
Havelock North,Hastings,"$1,190,000",-2.5
Raureka,Hastings,"$622,000",-2.5
Paihia,Far North,"$814,000",-2.5
Riwaka,Tasman,"$791,000",-2.5
Tirau,South Waikato,"$655,000",-2.5
Eastbourne,Lower Hutt,"$1,112,000",-2.5
Seatoun,Wellington,"$1,706,000",-2.5
Wadestown,Wellington,"$1,222,000",-2.5
Mount Roskill,Auckland City,"$1,131,000",-2.6
Parnell,Auckland City,"$2,078,000",-2.6
East Tamaki,Auckland Manukau,"$1,118,000",-2.6
Long Bay,Auckland North Shore,"$1,717,000",-2.6
New Lynn,Auckland Waitakere,"$854,000",-2.6
Kawaha Point,Rotorua,"$764,000",-2.6
Saint Leonards,Hastings,"$608,000",-2.6
Ahipara,Far North,"$642,000",-2.6
Matamata,Matamata-Piako,"$798,000",-2.6
Paparangi,Wellington,"$830,000",-2.6
Saint Johns,Auckland City,"$1,470,000",-2.7
Beach Haven,Auckland North Shore,"$1,048,000",-2.7
Mairangi Bay,Auckland North Shore,"$1,742,000",-2.7
Fairy Springs,Rotorua,"$546,000",-2.7
Pyes Pa,Western Bay of Plenty,"$1,102,000",-2.7
Te Awamutu,Waipa,"$784,000",-2.7
Epsom,Auckland City,"$2,135,000",-2.8
Panmure,Auckland City,"$987,000",-2.8
Royal Oak,Auckland City,"$1,370,000",-2.8
Clevedon,Auckland Manukau,"$2,015,000",-2.8
Northcote Point,Auckland North Shore,"$1,709,000",-2.8
Sunnybrook,Rotorua,"$700,000",-2.8
Greerton,Tauranga,"$701,000",-2.8
Ohauiti,Western Bay of Plenty,"$1,099,000",-2.8
The Wood,Nelson,"$773,000",-2.8
Te Kowhai,Waikato,"$1,292,000",-2.8
Featherston,South Wairarapa,"$558,000",-2.8
Saint Marys Bay,Auckland City,"$2,909,000",-2.9
Glenbrook,Auckland Franklin,"$1,157,000",-2.9
Randwick Park,Auckland Manukau,"$772,000",-2.9
Somerville,Auckland Manukau,"$1,448,000",-2.9
The Brook,Nelson,"$677,000",-2.9
Hunua,Auckland Franklin,"$1,391,000",-3
East Tamaki Heights,Auckland Manukau,"$1,753,000",-3
Green Bay,Auckland Waitakere,"$1,170,000",-3
Paparoa,Kaipara,"$711,000",-3
Pukekohe,Auckland Franklin,"$899,000",-3.1
Golflands,Auckland Manukau,"$1,281,000",-3.1
Papatoetoe,Auckland Manukau,"$841,000",-3.1
Shelly Park,Auckland Manukau,"$1,549,000",-3.1
Arthurs Point,Queenstown-Lakes,"$1,583,000",-3.1
Lake Hawea,Queenstown-Lakes,"$1,273,000",-3.1
Taupiri,Waikato,"$1,015,000",-3.1
Pukerua Bay,Porirua,"$845,000",-3.1
Northcross,Auckland North Shore,"$1,292,000",-3.2
Conifer Grove,Auckland Papakura,"$1,003,000",-3.2
Maungatapu,Tauranga,"$882,000",-3.2
Greenmeadows,Napier,"$785,000",-3.2
Taita,Lower Hutt,"$614,000",-3.2
Crofton Downs,Wellington,"$1,009,000",-3.2
Kingsland,Auckland City,"$1,353,000",-3.3
New Windsor,Auckland City,"$1,205,000",-3.3
One Tree Hill,Auckland City,"$1,328,000",-3.3
Westmere,Auckland City,"$2,547,000",-3.3
Mangere,Auckland Manukau,"$843,000",-3.3
Judea,Tauranga,"$712,000",-3.3
Papamoa Beach,Tauranga,"$1,071,000",-3.3
Marybank,Nelson,"$910,000",-3.3
Ascot Park,Porirua,"$644,000",-3.3
Khandallah,Wellington,"$1,232,000",-3.3
Swanson,Auckland Waitakere,"$1,135,000",-3.4
Whakatane,Whakatane,"$672,000",-3.4
Te Awa,Napier,"$801,000",-3.4
Shannon,Horowhenua,"$476,000",-3.4
Haruru,Far North,"$827,000",-3.4
Waipapa,Far North,"$1,016,000",-3.4
Newlands,Wellington,"$824,000",-3.4
Woodridge,Wellington,"$950,000",-3.4
Stonefields,Auckland City,"$1,531,000",-3.5
Wai o Taiki Bay,Auckland City,"$1,530,000",-3.5
Hauraki,Auckland North Shore,"$1,981,000",-3.5
Takapuna,Auckland North Shore,"$2,154,000",-3.5
Karaka,Auckland Papakura,"$1,581,000",-3.5
Ohau,Horowhenua,"$970,000",-3.5
Hillsborough,Auckland City,"$1,272,000",-3.6
Botany Downs,Auckland Manukau,"$1,242,000",-3.6
Otara,Auckland Manukau,"$753,000",-3.6
The Gardens,Auckland Manukau,"$1,266,000",-3.6
Rosehill,Auckland Papakura,"$926,000",-3.6
Te Atatu South,Auckland Waitakere,"$919,000",-3.6
Papakowhai,Porirua,"$855,000",-3.6
Ellerslie,Auckland City,"$1,193,000",-3.7
Lynfield,Auckland City,"$1,301,000",-3.7
Mount Eden,Auckland City,"$1,693,000",-3.7
Flat Bush,Auckland Manukau,"$1,311,000",-3.7
Sunnyhills,Auckland Manukau,"$1,626,000",-3.7
Chatswood,Auckland North Shore,"$1,464,000",-3.7
Otumoetai,Tauranga,"$1,026,000",-3.7
Stratford,Stratford,"$522,000",-3.7
Farm Cove,Auckland Manukau,"$1,718,000",-3.8
Takanini,Auckland Papakura,"$909,000",-3.8
Taumarunui,Ruapehu,"$356,000",-3.8
Nelson,Nelson,"$1,116,000",-3.8
Kerikeri,Far North,"$1,050,000",-3.8
Putaruru,South Waikato,"$527,000",-3.8
Maungaraki,Lower Hutt,"$843,000",-3.8
Tauranga South,Tauranga,"$883,000",-3.9
Tutukaka,Whangarei,"$1,257,000",-3.9
Waiwhakaiho,New Plymouth,"$1,147,000",-3.9
Wattle Downs,Auckland Manukau,"$1,018,000",-4
Ranui,Porirua,"$604,000",-4
Hataitai,Wellington,"$1,134,000",-4
Manukau,Auckland Manukau,"$612,000",-4.1
Sunnyvale,Auckland Waitakere,"$862,000",-4.1
Remuera,Auckland City,"$2,636,000",-4.2
Whitford,Auckland Manukau,"$3,285,000",-4.2
Lytton West,Gisborne,"$897,000",-4.2
Foxton Beach,Horowhenua,"$611,000",-4.2
Hope,Tasman,"$1,233,000",-4.2
Carterton,Carterton,"$618,000",-4.2
Aotea,Porirua,"$1,176,000",-4.2
Ngaio,Wellington,"$1,016,000",-4.2
Northland,Wellington,"$1,060,000",-4.2
Ponsonby,Auckland City,"$2,349,000",-4.3
Ramarama,Auckland Franklin,"$1,439,000",-4.3
Half Moon Bay,Auckland Manukau,"$1,550,000",-4.4
Kilbirnie,Wellington,"$846,000",-4.4
Howick,Auckland Manukau,"$1,164,000",-4.5
Westgate,Auckland Waitakere,"$894,000",-4.5
Avondale,Auckland City,"$944,000",-4.6
Great Barrier Island (Aotea Island),Auckland City,"$793,000",-4.6
Blockhouse Bay,Auckland City,"$1,148,000",-4.7
Point England,Auckland City,"$959,000",-4.7
Mangere Bridge,Auckland Manukau,"$1,132,000",-4.7
Pahurehure,Auckland Papakura,"$971,000",-4.7
Clarks Beach,Auckland Franklin,"$1,139,000",-4.8
Highland Park,Auckland Manukau,"$1,132,000",-4.8
Mellons Bay,Auckland Manukau,"$2,084,000",-4.8
Belmont,Auckland North Shore,"$1,529,000",-4.8
Glendene,Auckland Waitakere,"$921,000",-4.8
Ngaruawahia,Waikato,"$721,000",-4.8
Mount Cook,Wellington,"$737,000",-4.8
Three Kings,Auckland City,"$1,135,000",-5
Awanui,Far North,"$457,000",-5
Mangonui,Far North,"$812,000",-5
Glen Innes,Auckland City,"$1,109,000",-5.1
Ohope,Whakatane,"$1,252,000",-5.1
Karikari Peninsula,Far North,"$731,000",-5.1
Thames,Thames-Coromandel,"$714,000",-5.1
Mount Wellington,Auckland City,"$955,000",-5.2
Onehunga,Auckland City,"$1,098,000",-5.2
Hospital Hill,Napier,"$904,000",-5.2
Roseneath,Wellington,"$1,465,000",-5.2
Waterview,Auckland City,"$1,011,000",-5.3
West Harbour,Auckland Waitakere,"$1,225,000",-5.3
Palmerston North,Palmerston North,"$611,000",-5.3
East Gore,Gore,"$396,000",-5.3
Aro Valley,Wellington,"$908,000",-5.3
Lyall Bay,Wellington,"$944,000",-5.3
Brooklyn,Wellington,"$1,042,000",-5.4
Johnsonville,Wellington,"$811,000",-5.4
Hillpark,Auckland Manukau,"$895,000",-5.5
Northcote,Auckland North Shore,"$1,178,000",-5.5
Massey,Auckland Waitakere,"$935,000",-5.5
Te Aro,Wellington,"$668,000",-5.5
Narrow Neck,Auckland North Shore,"$1,908,000",-5.6
Papakura,Auckland Papakura,"$807,000",-5.6
Wainui,Auckland Rodney,"$1,395,000",-5.6
Kelston,Auckland Waitakere,"$860,000",-5.6
Pukehina,Western Bay of Plenty,"$1,208,000",-5.6
Otahuhu,Auckland City,"$743,000",-5.7
Fenton Park,Rotorua,"$493,000",-5.7
Ranui,Auckland Waitakere,"$808,000",-5.8
Tairua,Thames-Coromandel,"$1,072,000",-5.8
Mount Victoria,Wellington,"$1,159,000",-5.8
Bluff Hill,Napier,"$935,000",-5.9
Morningside,Auckland City,"$1,231,000",-6
Opaheke,Auckland Papakura,"$1,027,000",-6
Manurewa East,Auckland Manukau,"$708,000",-6.2
Henderson,Auckland Waitakere,"$898,000",-6.2
Waihi Beach,Western Bay of Plenty,"$1,429,000",-6.2
Manurewa,Auckland Manukau,"$785,000",-6.3
Coromandel,Thames-Coromandel,"$805,000",-6.3
Pakuranga Heights,Auckland Manukau,"$1,130,000",-6.4
Bayswater,Auckland North Shore,"$1,657,000",-6.4
Bucklands Beach,Auckland Manukau,"$1,644,000",-6.5
Red Hill,Auckland Papakura,"$799,000",-6.5
Newmarket,Auckland City,"$834,000",-6.6
Maupuia,Wellington,"$888,000",-7
Waitarere Beach,Horowhenua,"$610,000",-7.4
Taihape,Rangitikei,"$386,000",-7.7
Penrose,Auckland City,"$985,000",-8.1
Strathmore Park,Wellington,"$968,000",-8.1
Pakuranga,Auckland Manukau,"$1,092,000",-8.5
Thorndon,Wellington,"$893,000",-8.5
Kelburn,Wellington,"$1,373,000",-9.5
Paerata,Auckland Franklin,"$1,356,000",-9.8
Wellington Central,Wellington,"$498,000",-10.1
Mataura,Gore,"$294,000",-11.2
Totara Park,Auckland Manukau,"$1,485,000",-11.4
Peacocke,Hamilton,"$1,125,000",-12
