Suburb,TLA,Average property value,YoY % change,YoY $ change
Parkvale,Tauranga,"$658,000",0.5,"$3,000"
Tauranga South,Tauranga,"$918,000",0.5,"$5,000"
Gleniti,Timaru,"$822,000",0.5,"$4,000"
Saint Leonards,Hastings,"$612,000",0.5,"$3,000"
Otautau,Southland,"$399,000",0.5,"$2,000"
Whalers Gate,New Plymouth,"$787,000",0.5,"$4,000"
Hamilton East,Hamilton,"$735,000",0.5,"$4,000"
Deanwell,Waipa,"$645,000",0.5,"$3,000"
Waikanae,Kapiti Coast,"$923,000",0.5,"$5,000"
Hauraki,Auckland North Shore,"$2,005,000",0.4,"$8,000"
Huapai,Auckland Rodney,"$1,258,000",0.4,"$5,000"
Orewa,Auckland Rodney,"$1,254,000",0.4,"$5,000"
Fairy Springs,Rotorua,"$562,000",0.4,"$2,000"
Otumoetai,Tauranga,"$1,075,000",0.4,"$4,000"
Ohauiti,Western Bay of Plenty,"$1,130,000",0.4,"$4,000"
Pukehina,Western Bay of Plenty,"$1,263,000",0.4,"$5,000"
Hanmer Springs,Hurunui,"$815,000",0.4,"$3,000"
Kelvin Grove,Palmerston North,"$807,000",0.4,"$3,000"
Huntington,Hamilton,"$1,064,000",0.4,"$4,000"
Taupo,Taupo,"$751,000",0.4,"$3,000"
Manukau,Auckland Manukau,"$629,000",0.3,"$2,000"
Swanson,Auckland Waitakere,"$1,186,000",0.3,"$4,000"
Mahora,Hastings,"$710,000",0.3,"$2,000"
Richmond Heights,Taupo,"$794,000",0.3,"$2,000"
Bucklands Beach,Auckland Manukau,"$1,748,000",0.2,"$3,000"
Pakuranga,Auckland Manukau,"$1,169,000",0.2,"$2,000"
Narrow Neck,Auckland North Shore,"$1,989,000",0.2,"$3,000"
Netherby,Ashburton,"$561,000",0.2,"$1,000"
Waipawa,Central Hawke's Bay,"$653,000",0.2,"$1,000"
Waipukurau,Central Hawke's Bay,"$656,000",0.2,"$1,000"
Grasmere,Invercargill,"$465,000",0.2,"$1,000"
Hurdon,New Plymouth,"$819,000",0.2,"$2,000"
Rototuna North,Hamilton,"$1,033,000",0.2,"$2,000"
Takapuna,Auckland North Shore,"$2,208,000",0.1,"$2,000"
Omaha,Auckland Rodney,"$2,750,000",0.1,"$4,000"
Ngongotaha,Rotorua,"$699,000",0.1,"$1,000"
Prebbleton,Selwyn,"$1,285,000",0.1,"$1,000"
Fitzroy,New Plymouth,"$927,000",0.1,"$1,000"
Mission Bay,Auckland City,"$2,227,000",0,$0
Favona,Auckland Manukau,"$857,000",0,$0
Warkworth,Auckland Rodney,"$1,209,000",0,$0
Hobsonville,Auckland Waitakere,"$1,141,000",0,$0
Kelston,Auckland Waitakere,"$902,000",0,$0
Hairini,Tauranga,"$782,000",0,$0
Rangiora,Waimakariri,"$719,000",0,$0
Aokautere,Palmerston North,"$1,150,000",0,$0
Mangawhai Heads,Kaipara,"$1,377,000",0,$0
North Dunedin,Dunedin,"$710,000",0,$0
Lynmouth,New Plymouth,"$700,000",0,$0
Upper Vogeltown,New Plymouth,"$685,000",0,$0
Dinsdale,Hamilton,"$722,000",0,$0
Nawton,Hamilton,"$669,000",0,$0
Morrinsville,Matamata-Piako,"$808,000",0,$0
Titirangi,Auckland Waitakere,"$1,208,000",-0.1,"-$1,000"
Judea,Tauranga,"$738,000",-0.1,"-$1,000"
Rolleston,Selwyn,"$859,000",-0.1,"-$1,000"
Mapua,Tasman,"$1,144,000",-0.1,"-$1,000"
Mount Albert,Auckland City,"$1,405,000",-0.2,"-$3,000"
Dairy Flat,Auckland Rodney,"$2,342,000",-0.2,"-$4,000"
Maori Hill,Timaru,"$577,000",-0.2,"-$1,000"
Hastings,Hastings,"$605,000",-0.2,"-$1,000"
Jacks Point,Queenstown-Lakes,"$1,864,000",-0.2,"-$3,000"
Richmond,Invercargill,"$487,000",-0.2,"-$1,000"
Nukuhau,Taupo,"$900,000",-0.2,"-$2,000"
Turangi,Taupo,"$482,000",-0.2,"-$1,000"
Mairangi Bay,Auckland North Shore,"$1,774,000",-0.3,"-$6,000"
Matua,Tauranga,"$1,198,000",-0.3,"-$4,000"
Allenton,Ashburton,"$633,000",-0.3,"-$2,000"
Horahora,Whangarei,"$658,000",-0.3,"-$2,000"
Patea,South Taranaki,"$309,000",-0.3,"-$1,000"
Queenwood,Hamilton,"$1,014,000",-0.3,"-$3,000"
Tawa,Wellington,"$861,000",-0.3,"-$3,000"
Eden Terrace,Auckland City,"$824,000",-0.4,"-$3,000"
Remuera,Auckland City,"$2,693,000",-0.4,"-$10,000"
Belmont,Auckland North Shore,"$1,578,000",-0.4,"-$6,000"
Milford,Auckland North Shore,"$1,785,000",-0.4,"-$8,000"
Lynmore,Rotorua,"$924,000",-0.4,"-$4,000"
Cust,Waimakariri,"$1,062,000",-0.4,"-$4,000"
Ohoka,Waimakariri,"$1,491,000",-0.4,"-$6,000"
Parkvale,Hastings,"$669,000",-0.4,"-$3,000"
Hokowhitu,Palmerston North,"$802,000",-0.4,"-$3,000"
Frankleigh Park,New Plymouth,"$703,000",-0.4,"-$3,000"
Chartwell,Hamilton,"$838,000",-0.4,"-$3,000"
Manly,Auckland Rodney,"$1,255,000",-0.5,"-$6,000"
Stanmore Bay,Auckland Rodney,"$1,071,000",-0.5,"-$5,000"
Wellsford,Auckland Rodney,"$833,000",-0.5,"-$4,000"
Laingholm,Auckland Waitakere,"$1,023,000",-0.5,"-$5,000"
Highfield,Timaru,"$606,000",-0.5,"-$3,000"
Westbrook,Palmerston North,"$561,000",-0.5,"-$3,000"
Westown,New Plymouth,"$637,000",-0.5,"-$3,000"
Carterton,Carterton,"$661,000",-0.5,"-$3,000"
Masterton,Masterton,"$550,000",-0.5,"-$3,000"
Tauranga,Tauranga,"$1,023,000",-0.6,"-$6,000"
Leeston,Selwyn,"$769,000",-0.6,"-$5,000"
Elgin,Gisborne,"$486,000",-0.6,"-$3,000"
Melville,Hamilton,"$653,000",-0.6,"-$4,000"
Avondale,Auckland City,"$988,000",-0.7,"-$7,000"
Epsom,Auckland City,"$2,163,000",-0.7,"-$15,000"
Kaukapakapa,Auckland Rodney,"$1,411,000",-0.7,"-$10,000"
Whakatane,Whakatane,"$690,000",-0.7,"-$5,000"
Hampstead,Ashburton,"$454,000",-0.7,"-$3,000"
Ashburton,Ashburton,"$511,000",-0.8,"-$4,000"
Ashhurst,Manawatu,"$716,000",-0.8,"-$6,000"
Moturoa,New Plymouth,"$733,000",-0.8,"-$6,000"
Wharewaka,Taupo,"$1,384,000",-0.8,"-$11,000"
Raglan,Waikato,"$1,177,000",-0.8,"-$9,000"
Owhata,Rotorua,"$661,000",-0.9,"-$6,000"
Lincoln,Selwyn,"$996,000",-0.9,"-$9,000"
West Melton,Selwyn,"$1,335,000",-0.9,"-$12,000"
Ahuriri,Napier,"$1,027,000",-0.9,"-$9,000"
Otamatea,Whanganui,"$910,000",-0.9,"-$8,000"
Oamaru,Waitaki,"$436,000",-0.9,"-$4,000"
Kihikihi,Waipa,"$752,000",-0.9,"-$7,000"
Paraparaumu,Kapiti Coast,"$804,000",-0.9,"-$7,000"
Petone,Lower Hutt,"$845,000",-0.9,"-$8,000"
Te Atatu Peninsula,Auckland Waitakere,"$1,123,000",-1,"-$11,000"
Gate Pa,Tauranga,"$670,000",-1,"-$7,000"
Greenmeadows,Napier,"$818,000",-1,"-$8,000"
Woodhill,Whangarei,"$597,000",-1,"-$6,000"
Ngaruawahia,Waikato,"$758,000",-1,"-$8,000"
Oneroa,Auckland City,"$2,096,000",-1.1,"-$23,000"
Henderson Valley,Auckland Waitakere,"$1,319,000",-1.1,"-$14,000"
Bulls,Rangitikei,"$562,000",-1.1,"-$6,000"
Paihia,Far North,"$833,000",-1.1,"-$9,000"
Stillwater,Auckland Rodney,"$1,606,000",-1.2,"-$20,000"
Pyes Pa,Western Bay of Plenty,"$1,125,000",-1.2,"-$14,000"
Flaxmere,Hastings,"$479,000",-1.2,"-$6,000"
Kuripuni,Masterton,"$556,000",-1.2,"-$7,000"
Westgate,Auckland Waitakere,"$928,000",-1.3,"-$12,000"
Welcome Bay,Western Bay of Plenty,"$907,000",-1.3,"-$12,000"
Raureka,Hastings,"$618,000",-1.3,"-$8,000"
East Gore,Gore,"$392,000",-1.3,"-$5,000"
Weymouth,Auckland Manukau,"$790,000",-1.4,"-$11,000"
Northcote,Auckland North Shore,"$1,237,000",-1.4,"-$18,000"
Gulf Harbour,Auckland Rodney,"$1,087,000",-1.4,"-$15,000"
Whenuapai,Auckland Waitakere,"$1,246,000",-1.4,"-$18,000"
Glenwood,Timaru,"$544,000",-1.4,"-$8,000"
Otane,Central Hawke's Bay,"$779,000",-1.4,"-$11,000"
Awapuni,Palmerston North,"$622,000",-1.4,"-$9,000"
Holmes Hill,Waitaki,"$567,000",-1.4,"-$8,000"
Blagdon,New Plymouth,"$581,000",-1.4,"-$8,000"
New Plymouth,New Plymouth,"$873,000",-1.4,"-$12,000"
Spotswood,New Plymouth,"$556,000",-1.4,"-$8,000"
Maungatapu,Tauranga,"$907,000",-1.5,"-$14,000"
Kirwee,Selwyn,"$1,002,000",-1.5,"-$15,000"
Feilding,Manawatu,"$653,000",-1.5,"-$10,000"
Springvale,Whanganui,"$579,000",-1.5,"-$9,000"
Atawhai,Nelson,"$918,000",-1.5,"-$14,000"
Maunu,Whangarei,"$1,002,000",-1.5,"-$15,000"
Onerahi,Whangarei,"$653,000",-1.5,"-$10,000"
South Hill,Waitaki,"$515,000",-1.5,"-$8,000"
Richmond,Tasman,"$839,000",-1.5,"-$13,000"
Hamilton Lake,Hamilton,"$904,000",-1.5,"-$14,000"
Pokeno,Waikato,"$1,054,000",-1.5,"-$16,000"
Gisborne,Gisborne,"$552,000",-1.6,"-$9,000"
Morningside,Whangarei,"$566,000",-1.6,"-$9,000"
Regent,Whangarei,"$685,000",-1.6,"-$11,000"
Tikipunga,Whangarei,"$618,000",-1.6,"-$10,000"
Whau Valley,Whangarei,"$690,000",-1.6,"-$11,000"
Te Awamutu,Waipa,"$788,000",-1.6,"-$13,000"
Solway,Masterton,"$628,000",-1.6,"-$10,000"
Kingsland,Auckland City,"$1,369,000",-1.7,"-$24,000"
Fernside,Waimakariri,"$1,274,000",-1.7,"-$22,000"
Te Hapara,Gisborne,"$575,000",-1.7,"-$10,000"
Tahunanui,Nelson,"$684,000",-1.7,"-$12,000"
Glenbrook,Auckland Franklin,"$1,176,000",-1.8,"-$22,000"
Devonport,Auckland North Shore,"$2,171,000",-1.8,"-$40,000"
Ohau,Horowhenua,"$1,002,000",-1.8,"-$18,000"
Havelock,Marlborough,"$697,000",-1.8,"-$13,000"
Merrilands,New Plymouth,"$779,000",-1.8,"-$14,000"
Vogeltown,New Plymouth,"$607,000",-1.8,"-$11,000"
Waitara,New Plymouth,"$482,000",-1.8,"-$9,000"
Hilltop,Taupo,"$876,000",-1.8,"-$16,000"
Pirongia,Waipa,"$1,042,000",-1.8,"-$19,000"
Clevedon,Auckland Manukau,"$2,051,000",-1.9,"-$40,000"
Victoria,Rotorua,"$519,000",-1.9,"-$10,000"
Tinwald,Ashburton,"$608,000",-1.9,"-$12,000"
Whanganui,Whanganui,"$404,000",-1.9,"-$8,000"
Ngunguru,Whangarei,"$1,022,000",-1.9,"-$20,000"
Welbourn,New Plymouth,"$705,000",-1.9,"-$14,000"
Tamahere,Waikato,"$2,044,000",-1.9,"-$40,000"
Mount Eden,Auckland City,"$1,786,000",-2,"-$36,000"
Sandringham,Auckland City,"$1,410,000",-2,"-$29,000"
Leithfield,Hurunui,"$669,000",-2,"-$14,000"
Toi Toi,Nelson,"$539,000",-2,"-$11,000"
Hikurangi,Whangarei,"$578,000",-2,"-$12,000"
Lansdowne,Masterton,"$649,000",-2,"-$13,000"
Ohaupo,Waipa,"$1,270,000",-2.1,"-$27,000"
Washington Valley,Nelson,"$613,000",-2.2,"-$14,000"
One Tree Point,Whangarei,"$1,092,000",-2.2,"-$24,000"
Te Kamo,Whangarei,"$752,000",-2.2,"-$17,000"
Hope,Tasman,"$1,286,000",-2.2,"-$29,000"
Leamington,Waipa,"$951,000",-2.2,"-$21,000"
Mangere East,Auckland Manukau,"$846,000",-2.3,"-$20,000"
Mount Maunganui,Tauranga,"$1,472,000",-2.3,"-$34,000"
Sefton,Waimakariri,"$987,000",-2.3,"-$23,000"
Redwoodtown,Marlborough,"$602,000",-2.3,"-$14,000"
Witherlea,Marlborough,"$757,000",-2.3,"-$18,000"
Avenues,Whangarei,"$551,000",-2.3,"-$13,000"
Strandon,New Plymouth,"$982,000",-2.3,"-$23,000"
Tuakau,Waikato,"$853,000",-2.3,"-$20,000"
Ranui,Auckland Waitakere,"$854,000",-2.4,"-$21,000"
Papamoa Beach,Tauranga,"$1,098,000",-2.4,"-$27,000"
Manakau,Horowhenua,"$959,000",-2.4,"-$24,000"
The Wood,Nelson,"$776,000",-2.4,"-$19,000"
Kaiwaka,Kaipara,"$929,000",-2.4,"-$23,000"
Frankton,Hamilton,"$650,000",-2.4,"-$16,000"
Acacia Bay,Taupo,"$1,353,000",-2.4,"-$33,000"
Drury,Auckland Papakura,"$1,313,000",-2.5,"-$33,000"
Waimauku,Auckland Rodney,"$1,596,000",-2.5,"-$41,000"
Hospital Hill,Napier,"$972,000",-2.5,"-$25,000"
Pirimai,Napier,"$620,000",-2.5,"-$16,000"
Gonville,Whanganui,"$430,000",-2.5,"-$11,000"
Matamata,Matamata-Piako,"$816,000",-2.5,"-$21,000"
Rangatira Park,Taupo,"$1,009,000",-2.5,"-$26,000"
Silverdale,Auckland Rodney,"$1,373,000",-2.6,"-$37,000"
Rakaia,Ashburton,"$558,000",-2.6,"-$15,000"
Durie Hill,Whanganui,"$608,000",-2.6,"-$16,000"
Renwick,Marlborough,"$764,000",-2.6,"-$20,000"
Stoke,Nelson,"$742,000",-2.6,"-$20,000"
Waipapa,Far North,"$1,070,000",-2.6,"-$29,000"
Kensington,Whangarei,"$633,000",-2.6,"-$17,000"
Opunake,South Taranaki,"$481,000",-2.6,"-$13,000"
Waverley,South Taranaki,"$408,000",-2.6,"-$11,000"
Putaruru,South Waikato,"$558,000",-2.6,"-$15,000"
Pukekohe,Auckland Franklin,"$933,000",-2.7,"-$26,000"
Foxton Beach,Horowhenua,"$623,000",-2.7,"-$17,000"
Waitarere Beach,Horowhenua,"$640,000",-2.7,"-$18,000"
Tawhero,Whanganui,"$540,000",-2.7,"-$15,000"
Stepneyville,Nelson,"$1,208,000",-2.7,"-$33,000"
Motueka,Tasman,"$745,000",-2.7,"-$21,000"
Buckland,Waikato,"$1,320,000",-2.7,"-$36,000"
Mangere Bridge,Auckland Manukau,"$1,182,000",-2.8,"-$34,000"
Picton,Marlborough,"$649,000",-2.8,"-$19,000"
Taupiri,Waikato,"$1,078,000",-2.8,"-$31,000"
Kerikeri,Far North,"$1,091,000",-2.9,"-$33,000"
Oamaru North,Waitaki,"$470,000",-2.9,"-$14,000"
Ellerslie,Auckland City,"$1,243,000",-3,"-$39,000"
Hunua,Auckland Franklin,"$1,410,000",-3,"-$44,000"
Waiuku,Auckland Franklin,"$874,000",-3,"-$27,000"
Riverhead,Auckland Rodney,"$1,814,000",-3,"-$57,000"
Massey,Auckland Waitakere,"$986,000",-3,"-$31,000"
Waitakere,Auckland Waitakere,"$1,404,000",-3,"-$43,000"
Te Kuiti,Waitomo,"$452,000",-3,"-$14,000"
Helensville,Auckland Rodney,"$1,171,000",-3.1,"-$37,000"
Halcombe,Manawatu,"$823,000",-3.1,"-$26,000"
Waihi,Hauraki,"$697,000",-3.1,"-$22,000"
Papatoetoe,Auckland Manukau,"$846,000",-3.2,"-$28,000"
Waihi Beach,Western Bay of Plenty,"$1,483,000",-3.2,"-$49,000"
Eyrewell,Waimakariri,"$1,023,000",-3.2,"-$34,000"
Whanganui East,Whanganui,"$448,000",-3.2,"-$15,000"
Kawakawa,Far North,"$517,000",-3.2,"-$17,000"
Ruakaka,Whangarei,"$903,000",-3.2,"-$30,000"
Kinloch,Taupo,"$1,359,000",-3.2,"-$45,000"
Edgecumbe,Whakatane,"$647,000",-3.3,"-$22,000"
Tamatea,Napier,"$621,000",-3.3,"-$21,000"
Levin,Horowhenua,"$591,000",-3.3,"-$20,000"
The Brook,Nelson,"$675,000",-3.3,"-$23,000"
Waipu,Whangarei,"$1,140,000",-3.3,"-$39,000"
Eltham,South Taranaki,"$416,000",-3.3,"-$14,000"
Wakefield,Tasman,"$901,000",-3.3,"-$31,000"
Ngatea,Hauraki,"$702,000",-3.3,"-$24,000"
Karaka,Auckland Papakura,"$1,632,000",-3.4,"-$57,000"
Elgin,Ashburton,"$971,000",-3.4,"-$34,000"
Hamilton Central,Hamilton,"$747,000",-3.4,"-$26,000"
Mangere,Auckland Manukau,"$883,000",-3.5,"-$32,000"
Wainui,Auckland Rodney,"$1,452,000",-3.5,"-$52,000"
Oropi,Western Bay of Plenty,"$1,517,000",-3.5,"-$55,000"
Nelson South,Nelson,"$762,000",-3.5,"-$28,000"
Highlands Park,New Plymouth,"$892,000",-3.5,"-$32,000"
Onekawa,Napier,"$594,000",-3.6,"-$22,000"
Poraiti,Napier,"$1,242,000",-3.6,"-$46,000"
Loburn,Waimakariri,"$1,154,000",-3.7,"-$44,000"
Awatoto,Napier,"$927,000",-3.7,"-$36,000"
Balclutha,Clutha,"$437,000",-3.7,"-$17,000"
Temple View,Waipa,"$1,044,000",-3.7,"-$40,000"
Haruru,Far North,"$860,000",-3.8,"-$34,000"
Brightwater,Tasman,"$934,000",-3.8,"-$37,000"
Paeroa,Hauraki,"$576,000",-3.8,"-$23,000"
Te Atatu South,Auckland Waitakere,"$936,000",-3.9,"-$38,000"
Karikari Peninsula,Far North,"$771,000",-3.9,"-$31,000"
Dargaville,Kaipara,"$511,000",-3.9,"-$21,000"
Redwood Valley,Tasman,"$1,541,000",-3.9,"-$62,000"
Whitiora,Hamilton,"$637,000",-3.9,"-$26,000"
Glen Eden,Auckland Waitakere,"$856,000",-4,"-$36,000"
Blenheim,Marlborough,"$607,000",-4,"-$25,000"
Riversdale,Marlborough,"$547,000",-4,"-$23,000"
Springlands,Marlborough,"$821,000",-4,"-$34,000"
Henderson,Auckland Waitakere,"$951,000",-4.1,"-$41,000"
Shannon,Horowhenua,"$489,000",-4.1,"-$21,000"
Whataupoko,Gisborne,"$825,000",-4.2,"-$36,000"
Coromandel,Thames-Coromandel,"$872,000",-4.2,"-$38,000"
Te Kowhai,Waikato,"$1,319,000",-4.2,"-$58,000"
Bluff Hill,Napier,"$1,010,000",-4.4,"-$46,000"
Whangarei Heads,Whangarei,"$1,077,000",-4.4,"-$50,000"
Huntly,Waikato,"$545,000",-4.4,"-$25,000"
Napier South,Napier,"$676,000",-4.5,"-$32,000"
Raumanga,Whangarei,"$491,000",-4.5,"-$23,000"
Milton,Clutha,"$427,000",-4.5,"-$20,000"
Ngahinapouri,Waipa,"$1,351,000",-4.5,"-$63,000"
Mayfield,Marlborough,"$564,000",-4.6,"-$27,000"
Greytown,South Wairarapa,"$977,000",-4.6,"-$47,000"
Bay View,Napier,"$1,025,000",-4.7,"-$51,000"
Westshore,Napier,"$1,036,000",-4.7,"-$51,000"
Foxton,Horowhenua,"$509,000",-4.7,"-$25,000"
Bunnythorpe,Manawatu,"$871,000",-4.8,"-$44,000"
Katikati,Western Bay of Plenty,"$790,000",-4.9,"-$41,000"
Saint Johns Hill,Whanganui,"$685,000",-4.9,"-$35,000"
Matakana,Auckland Rodney,"$1,852,000",-5,"-$98,000"
Marewa,Napier,"$572,000",-5,"-$30,000"
Parua Bay,Whangarei,"$1,115,000",-5,"-$59,000"
Te Awa,Napier,"$829,000",-5.3,"-$46,000"
Coastlands,Whakatane,"$990,000",-5.4,"-$57,000"
Tasman,Tasman,"$1,507,000",-5.4,"-$86,000"
Aongatete,Western Bay of Plenty,"$1,287,000",-5.6,"-$77,000"
Marton,Rangitikei,"$503,000",-5.6,"-$30,000"
Te Puke,Western Bay of Plenty,"$812,000",-5.7,"-$49,000"
Taumarunui,Ruapehu,"$365,000",-5.7,"-$22,000"
Kumeu,Auckland Rodney,"$1,514,000",-5.9,"-$95,000"
Whatawhata,Waikato,"$1,203,000",-5.9,"-$75,000"
Tahawai,Western Bay of Plenty,"$1,244,000",-6,"-$79,000"
Tokoroa,South Waikato,"$424,000",-6,"-$27,000"
Whakamarama,Western Bay of Plenty,"$1,500,000",-6.1,"-$97,000"
Maraenui,Napier,"$476,000",-6.1,"-$31,000"
Maungatapere,Whangarei,"$1,040,000",-6.1,"-$67,000"
Hamurana,Rotorua,"$1,213,000",-6.2,"-$80,000"
Omokoroa,Western Bay of Plenty,"$1,122,000",-6.2,"-$74,000"
Whangamata,Thames-Coromandel,"$1,417,000",-6.2,"-$94,000"
Cambridge,Waipa,"$1,182,000",-6.2,"-$78,000"
Athenree,Western Bay of Plenty,"$1,098,000",-6.4,"-$75,000"
Minden,Western Bay of Plenty,"$1,585,000",-6.4,"-$108,000"
Martinborough,South Wairarapa,"$1,006,000",-6.4,"-$69,000"
Opotiki,Opotiki,"$464,000",-6.5,"-$32,000"
Point England,Auckland City,"$995,000",-6.7,"-$71,000"
Kaitaia,Far North,"$444,000",-6.9,"-$33,000"
Tairua,Thames-Coromandel,"$1,141,000",-6.9,"-$84,000"
Featherston,South Wairarapa,"$604,000",-6.9,"-$45,000"
Whitianga,Thames-Coromandel,"$1,063,000",-7.1,"-$81,000"
Thames,Thames-Coromandel,"$740,000",-7.3,"-$58,000"
Te Kauwhata,Waikato,"$814,000",-7.3,"-$64,000"
Matarangi,Thames-Coromandel,"$1,166,000",-7.5,"-$94,000"
Wairoa,Wairoa,"$338,000",-7.9,"-$29,000"
Otorohanga,Otorohanga,"$624,000",-8.4,"-$57,000"
Kauri,Whangarei,"$1,043,000",-8.5,"-$97,000"
Coatesville,Auckland Rodney,"$3,479,000",-8.7,"-$333,000"
Pauanui,Thames-Coromandel,"$1,558,000",-9,"-$154,000"
Glenbervie,Whangarei,"$1,162,000",-9.5,"-$122,000"
Appleby,Tasman,"$1,037,000",-9.9,"-$114,000"
Kawerau,Kawerau,"$387,000",-13.4,"-$60,000"
Ohakune,Ruapehu,"$489,000",-13.8,"-$78,000"
Totara Park,Auckland Manukau,"$1,615,000",-17.9,"-$352,000"
