Suburb,TLA,Average property value,3-month change %,3-month change $
Onekawa,Napier,"$580,000",-2.2,-13000
Waipapa,Far North,"$1,035,000",-2.2,-23000
Parua Bay,Whangarei,"$1,102,000",-2.2,-25000
Waipu,Whangarei,"$1,122,000",-2.2,-25000
Kaitangata,Clutha,"$305,000",-2.2,-7000
Pukekawa,Waikato,"$1,104,000",-2.2,-25000
Kuripuni,Masterton,"$524,000",-2.2,-12000
Parnell,Auckland City,"$2,049,000",-2.3,-48000
Manurewa East,Auckland Manukau,"$709,000",-2.3,-17000
Helensville,Auckland Rodney,"$1,144,000",-2.3,-27000
Swanson,Auckland Waitakere,"$1,144,000",-2.3,-27000
Katikati,Western Bay of Plenty,"$780,000",-2.3,-18000
Cloverlea,Palmerston North,"$553,000",-2.3,-13000
Whitianga,Thames-Coromandel,"$1,026,000",-2.3,-24000
Carterton,Carterton,"$635,000",-2.3,-15000
Half Moon Bay,Auckland Manukau,"$1,536,000",-2.4,-37000
West Harbour,Auckland Waitakere,"$1,246,000",-2.4,-31000
Opotiki,Opotiki,"$456,000",-2.4,-11000
Poraiti,Napier,"$1,209,000",-2.4,-30000
Marton,Rangitikei,"$497,000",-2.4,-12000
Gonville,Whanganui,"$439,000",-2.4,-11000
Concord,Dunedin,"$568,000",-2.4,-14000
Maori Hill,Dunedin,"$1,054,000",-2.4,-26000
Mount Roskill,Auckland City,"$1,116,000",-2.5,-29000
Waterview,Auckland City,"$1,001,000",-2.5,-26000
Flat Bush,Auckland Manukau,"$1,307,000",-2.5,-34000
Highland Park,Auckland Manukau,"$1,132,000",-2.5,-29000
Wainui,Auckland Rodney,"$1,377,000",-2.5,-36000
Awapuni,Palmerston North,"$621,000",-2.5,-16000
West End,Palmerston North,"$590,000",-2.5,-15000
Springvale,Whanganui,"$578,000",-2.5,-15000
Hikurangi,Whangarei,"$556,000",-2.5,-14000
Boulcott,Lower Hutt,"$854,000",-2.5,-22000
Paparangi,Wellington,"$823,000",-2.5,-21000
Albany Heights,Auckland North Shore,"$1,379,000",-2.6,-37000
Birkenhead,Auckland North Shore,"$1,289,000",-2.6,-35000
Karaka,Auckland Papakura,"$1,570,000",-2.6,-42000
Halswell,Christchurch,"$856,000",-2.6,-23000
Ilam,Christchurch,"$923,000",-2.6,-25000
Manakau,Horowhenua,"$920,000",-2.6,-25000
Tawhero,Whanganui,"$530,000",-2.6,-14000
South Dunedin,Dunedin,"$419,000",-2.6,-11000
Stratford,Stratford,"$515,000",-2.6,-14000
Titahi Bay,Porirua,"$711,000",-2.6,-19000
Featherston,South Wairarapa,"$569,000",-2.6,-15000
Brown Owl,Upper Hutt,"$747,000",-2.6,-20000
Wadestown,Wellington,"$1,204,000",-2.6,-32000
Woodridge,Wellington,"$916,000",-2.6,-24000
Palmerston North,Palmerston North,"$614,000",-2.7,-17000
Whangarei Heads,Whangarei,"$1,050,000",-2.7,-29000
New Plymouth,New Plymouth,"$867,000",-2.7,-24000
Whitby,Porirua,"$955,000",-2.7,-26000
Totara Park,Upper Hutt,"$692,000",-2.7,-19000
Glen Eden,Auckland Waitakere,"$836,000",-2.8,-24000
Durie Hill,Whanganui,"$601,000",-2.8,-17000
Belmont,Lower Hutt,"$918,000",-2.8,-26000
Wallaceville,Upper Hutt,"$763,000",-2.8,-22000
Hataitai,Wellington,"$1,131,000",-2.8,-33000
Ngaio,Wellington,"$1,012,000",-2.8,-29000
Opaheke,Auckland Papakura,"$1,014,000",-2.9,-30000
Riverhead,Auckland Rodney,"$1,799,000",-2.9,-54000
Hobsonville,Auckland Waitakere,"$1,102,000",-2.9,-33000
Camberley,Hastings,"$529,000",-2.9,-16000
Kaiwaka,Kaipara,"$915,000",-2.9,-27000
Thames,Thames-Coromandel,"$710,000",-2.9,-21000
Otaki,Kapiti Coast,"$709,000",-2.9,-21000
Waikanae,Kapiti Coast,"$920,000",-2.9,-27000
Masterton,Masterton,"$533,000",-2.9,-16000
Birchville,Upper Hutt,"$707,000",-2.9,-21000
Pinehaven,Upper Hutt,"$760,000",-2.9,-23000
Milford,Auckland North Shore,"$1,762,000",-3,-55000
Takanini,Auckland Papakura,"$901,000",-3,-28000
Feilding,Manawatu,"$650,000",-3,-20000
Riversdale,Marlborough,"$552,000",-3,-17000
One Tree Point,Whangarei,"$1,060,000",-3,-33000
Te Kowhai,Waikato,"$1,296,000",-3,-40000
Grafton,Auckland City,"$655,000",-3.1,-21000
Redwoodtown,Marlborough,"$603,000",-3.1,-19000
Ranui,Porirua,"$616,000",-3.1,-20000
Elderslea,Upper Hutt,"$731,000",-3.1,-23000
Herne Bay,Auckland City,"$3,538,000",-3.2,-117000
Te Awa,Napier,"$789,000",-3.2,-26000
Westbrook,Palmerston North,"$553,000",-3.2,-18000
Aramoho,Whanganui,"$487,000",-3.2,-16000
Riverlea,Hamilton,"$839,000",-3.2,-28000
Taupiri,Waikato,"$1,018,000",-3.2,-34000
Timberlea,Upper Hutt,"$805,000",-3.2,-27000
Avondale,Auckland City,"$914,000",-3.3,-31000
Roslyn,Palmerston North,"$535,000",-3.3,-18000
Ahipara,Far North,"$638,000",-3.3,-22000
Paparoa,Kaipara,"$709,000",-3.3,-24000
Putaruru,South Waikato,"$534,000",-3.3,-18000
Tairua,Thames-Coromandel,"$1,070,000",-3.3,-36000
Otaki Beach,Kapiti Coast,"$612,000",-3.3,-21000
Karori,Wellington,"$1,089,000",-3.3,-37000
Lyall Bay,Wellington,"$931,000",-3.3,-32000
Bluff Hill,Napier,"$922,000",-3.5,-33000
Moera,Lower Hutt,"$578,000",-3.5,-21000
Wainuiomata,Lower Hutt,"$640,000",-3.5,-23000
Waiwhetu,Lower Hutt,"$724,000",-3.5,-26000
Greytown,South Wairarapa,"$941,000",-3.5,-34000
Silverstream,Upper Hutt,"$875,000",-3.5,-32000
Newtown,Wellington,"$930,000",-3.5,-34000
Westmere,Whanganui,"$1,017,000",-3.6,-38000
Maungaturoto,Kaipara,"$741,000",-3.6,-28000
East Gore,Gore,"$397,000",-3.6,-15000
Te Marua,Upper Hutt,"$819,000",-3.6,-31000
Bayswater,Auckland North Shore,"$1,643,000",-3.7,-64000
Hospital Hill,Napier,"$909,000",-3.7,-35000
College Estate,Whanganui,"$601,000",-3.7,-23000
Kawakawa,Far North,"$498,000",-3.7,-19000
Tamahere,Waikato,"$2,019,000",-3.7,-78000
Martinborough,South Wairarapa,"$979,000",-3.7,-38000
Roseneath,Wellington,"$1,462,000",-3.7,-56000
Taihape,Rangitikei,"$400,000",-3.8,-16000
Cooks Beach,Thames-Coromandel,"$1,434,000",-3.8,-57000
Waikanae Beach,Kapiti Coast,"$932,000",-3.8,-37000
Heretaunga,Upper Hutt,"$931,000",-3.8,-37000
Khandallah,Wellington,"$1,202,000",-3.8,-47000
Miramar,Wellington,"$986,000",-3.8,-39000
Great Barrier Island (Aotea Island),Auckland City,"$773,000",-3.9,-31000
Surfdale,Auckland City,"$1,316,000",-3.9,-53000
Stanmore Bay,Auckland Rodney,"$1,034,000",-3.9,-42000
Paihia,Far North,"$799,000",-3.9,-32000
Pauanui,Thames-Coromandel,"$1,532,000",-3.9,-63000
Raumati Beach,Kapiti Coast,"$864,000",-3.9,-35000
Henderson Valley,Auckland Waitakere,"$1,271,000",-4,-53000
Brooklyn,Wellington,"$1,020,000",-4,-43000
Mount Victoria,Wellington,"$1,158,000",-4,-48000
Waimauku,Auckland Rodney,"$1,563,000",-4.1,-67000
Greenmeadows,Napier,"$775,000",-4.1,-33000
Mangawhai Heads,Kaipara,"$1,372,000",-4.1,-59000
Coromandel,Thames-Coromandel,"$795,000",-4.1,-34000
Riverstone Terraces,Upper Hutt,"$1,030,000",-4.1,-44000
Newlands,Wellington,"$813,000",-4.1,-35000
Levin,Horowhenua,"$569,000",-4.2,-25000
Awanui,Far North,"$452,000",-4.2,-20000
Paekakariki,Kapiti Coast,"$924,000",-4.2,-41000
Karikari Peninsula,Far North,"$717,000",-4.3,-32000
Kelburn,Wellington,"$1,345,000",-4.3,-61000
Tauranga,Tauranga,"$973,000",-4.4,-45000
Saint Johns Hill,Whanganui,"$669,000",-4.4,-31000
Paraparaumu Beach,Kapiti Coast,"$851,000",-4.4,-39000
Mount Cook,Wellington,"$744,000",-4.4,-34000
Havelock North,Hastings,"$1,176,000",-4.5,-55000
Matangi,Waikato,"$1,633,000",-4.5,-77000
Raumati South,Kapiti Coast,"$878,000",-4.5,-41000
Northland,Wellington,"$1,039,000",-4.5,-49000
Westport,Buller,"$400,000",-4.5,-19000
Mount Eden,Auckland City,"$1,706,000",-4.6,-83000
Whangamata,Thames-Coromandel,"$1,378,000",-4.7,-68000
Otamatea,Whanganui,"$886,000",-4.9,-46000
Seatoun,Wellington,"$1,665,000",-4.9,-85000
Dairy Flat,Auckland Rodney,"$2,282,000",-5,-121000
Stillwater,Auckland Rodney,"$1,567,000",-5,-83000
Papamoa Beach,Tauranga,"$1,035,000",-5,-54000
Dargaville,Kaipara,"$509,000",-5,-27000
Mataura,Gore,"$299,000",-5.1,-16000
Ramarama,Auckland Franklin,"$1,407,000",-5.2,-77000
Aro Valley,Wellington,"$890,000",-5.2,-49000
Te Aro,Wellington,"$690,000",-5.3,-39000
Orewa,Auckland Rodney,"$1,230,000",-5.4,-70000
Mahia,Wairoa,"$769,000",-5.4,-44000
Glenbrook,Auckland Franklin,"$1,125,000",-5.5,-65000
Kerikeri,Far North,"$1,033,000",-5.5,-60000
Paerata,Auckland Franklin,"$1,324,000",-5.6,-78000
Waitakere,Auckland Waitakere,"$1,353,000",-5.6,-80000
Otaihanga,Kapiti Coast,"$1,087,000",-5.6,-65000
Reefton,Buller,"$374,000",-5.6,-22000
Kaukapakapa,Auckland Rodney,"$1,374,000",-5.8,-85000
Matarangi,Thames-Coromandel,"$1,116,000",-6,-71000
Wellington Central,Wellington,"$521,000",-6,-33000
Kilbirnie,Wellington,"$842,000",-6.1,-55000
Mangawhai,Kaipara,"$1,367,000",-6.2,-91000
Thorndon,Wellington,"$901,000",-6.2,-60000
Tinwald,Ashburton,"$621,000",-6.3,-42000
Strathmore Park,Wellington,"$950,000",-6.3,-64000
Clevedon,Auckland Manukau,"$1,940,000",-6.5,-134000
Wairoa,Wairoa,"$318,000",-6.5,-22000
Russell,Far North,"$1,528,000",-6.6,-108000
Hunua,Auckland Franklin,"$1,344,000",-6.9,-99000
Totara Park,Auckland Manukau,"$1,441,000",-7.3,-114000
Coatesville,Auckland Rodney,"$3,388,000",-7.4,-271000
Whitford,Auckland Manukau,"$3,341,000",-7.6,-276000
Allenton,Ashburton,"$638,000",-7.9,-55000
Netherby,Ashburton,"$560,000",-11.5,-73000
