Suburb,District,Current average property value,3-month change
Tuakau,Waikato,"$823,000",-1.60%
Mangere East,Auckland Manukau,"$853,000",-1.60%
Frimley,Hastings,"$888,000",-1.60%
Lyall Bay,Wellington,"$929,000",-1.60%
Miramar,Wellington,"$976,000",-1.60%
Crofton Downs,Wellington,"$993,000",-1.60%
Rototuna,Hamilton,"$1,013,000",-1.60%
Northwood,Christchurch,"$1,064,000",-1.60%
Eastbourne,Lower Hutt,"$1,094,000",-1.60%
Bromley,Christchurch,"$525,000",-1.70%
Maori Hill,Timaru,"$571,000",-1.70%
Concord,Dunedin,"$576,000",-1.70%
Oceanview,Timaru,"$628,000",-1.70%
Silverdale,Hamilton,"$735,000",-1.70%
Fitzroy,Hamilton,"$793,000",-1.70%
Maupuia,Wellington,"$873,000",-1.70%
Point England,Auckland City,"$943,000",-1.70%
Strathern,Invercargill,"$386,000",-1.80%
Richmond,Invercargill,"$491,000",-1.80%
Akina,Hastings,"$613,000",-1.80%
Karoro,Grey,"$613,000",-1.80%
Enderley,Hamilton,"$617,000",-1.80%
Deanwell,Waipa,"$652,000",-1.80%
Te Aro,Wellington,"$656,000",-1.80%
Hoon Hay,Christchurch,"$658,000",-1.80%
Templeton,Christchurch,"$802,000",-1.80%
Pukete,Hamilton,"$823,000",-1.80%
Chartwell,Hamilton,"$824,000",-1.80%
Tawa,Wellington,"$836,000",-1.80%
Newtown,Wellington,"$908,000",-1.80%
Western Heights,Hamilton,"$979,000",-1.80%
Churton Park,Wellington,"$1,069,000",-1.80%
Parua Bay,Whangarei,"$1,074,000",-1.80%
Marshland,Christchurch,"$1,084,000",-1.80%
Glenbervie,Whangarei,"$1,133,000",-1.80%
Fernhill,Queenstown-Lakes,"$1,356,000",-1.80%
Russell,Far North,"$1,504,000",-1.80%
Arthurs Point,Queenstown-Lakes,"$1,554,000",-1.80%
Caversham,Dunedin,"$458,000",-1.90%
Mayfair,Hastings,"$615,000",-1.90%
Redwood,Christchurch,"$672,000",-1.90%
Rosedale,Invercargill,"$734,000",-1.90%
Chedworth,Hamilton,"$913,000",-1.90%
Pokeno,Waikato,"$1,005,000",-1.90%
Havelock North,Hastings,"$1,167,000",-1.90%
Frankton,Hamilton,"$638,000",-2.00%
Broomfield,Christchurch,"$693,000",-2.00%
Hillcrest,Hamilton,"$773,000",-2.00%
Boulcott,Lower Hutt,"$844,000",-2.00%
Owhiro Bay,Wellington,"$863,000",-2.00%
Northcote,Auckland North Shore,"$1,155,000",-2.00%
Oriental Bay,Wellington,"$2,057,000",-2.00%
Parkside,Timaru,"$457,000",-2.10%
Melville,Hamilton,"$652,000",-2.10%
Nawton,Hamilton,"$659,000",-2.10%
Mahora,Hastings,"$695,000",-2.10%
Glenview,Waipa,"$762,000",-2.10%
Clive,Hastings,"$891,000",-2.10%
Brooklyn,Wellington,"$1,020,000",-2.10%
Awanui,Far North,"$447,000",-2.20%
Parkvale,Hastings,"$661,000",-2.20%
Elderslea,Upper Hutt,"$712,000",-2.20%
Claudelands,Hamilton,"$766,000",-2.20%
Silverstream,Upper Hutt,"$859,000",-2.20%
Huntington,Hamilton,"$1,045,000",-2.20%
Westbrook,Palmerston North,"$552,000",-2.30%
Bradford,Dunedin,"$586,000",-2.30%
Raureka,Hastings,"$608,000",-2.30%
Maori Hill,Dunedin,"$1,042,000",-2.30%
Kaitaia,Far North,"$445,000",-2.40%
Newfield,Invercargill,"$454,000",-2.40%
College Estate,Whanganui,"$599,000",-2.40%
Whitiora,Hamilton,"$638,000",-2.40%
Witherlea,Marlborough,"$728,000",-2.40%
Fairfield,Lower Hutt,"$742,000",-2.40%
Grandview Heights,Hamilton,"$903,000",-2.40%
Maunu,Whangarei,"$951,000",-2.40%
Wairoa,Wairoa,"$309,000",-2.50%
Bader,Hamilton,"$589,000",-2.50%
Gate Pa,Tauranga,"$662,000",-2.50%
Kelson,Lower Hutt,"$823,000",-2.50%
Woolston,Christchurch,"$565,000",-2.60%
Paeroa,Hauraki,"$569,000",-2.60%
Totara Park,Upper Hutt,"$682,000",-2.60%
Belmont,Lower Hutt,"$907,000",-2.60%
Northland,Wellington,"$1,032,000",-2.60%
Moera,Lower Hutt,"$571,000",-2.70%
Solway,Masterton,"$605,000",-2.70%
Te Marua,Upper Hutt,"$802,000",-2.70%
Nukuhau,Taupo,"$879,000",-2.70%
Masterton,Masterton,"$523,000",-2.80%
Avenues,Whangarei,"$527,000",-2.80%
Riverlea,Hamilton,"$856,000",-2.80%
Hamilton Lake,Hamilton,"$905,000",-2.80%
Grenada Village,Wellington,"$988,000",-2.80%
Taita,Lower Hutt,"$596,000",-2.90%
Leithfield,Hurunui,"$661,000",-2.90%
Avalon,Lower Hutt,"$711,000",-2.90%
Wilton,Wellington,"$907,000",-2.90%
Strathmore Park,Wellington,"$940,000",-2.90%
Hawthorndale,Invercargill,"$480,000",-3.00%
Parahaki,Whangarei,"$708,000",-3.00%
Hamilton Central,Hamilton,"$746,000",-3.00%
Balclutha,Clutha,"$440,000",-3.10%
Tikipunga,Whangarei,"$591,000",-3.10%
Shirley,Christchurch,"$635,000",-3.10%
Clouston Park,Upper Hutt,"$651,000",-3.10%
Waimairi Beach,Christchurch,"$964,000",-3.10%
Riverstone Terraces,Upper Hutt,"$1,009,000",-3.10%
Woburn,Lower Hutt,"$1,138,000",-3.10%
Cambridge,Waipa,"$1,172,000",-3.10%
Kawakawa,Far North,"$491,000",-3.20%
Pinehaven,Upper Hutt,"$747,000",-3.20%
Penrose,Auckland City,"$953,000",-3.20%
Riversdale,Marlborough,"$530,000",-3.30%
Taupo,Taupo,"$739,000",-3.30%
Epuni,Lower Hutt,"$752,000",-3.30%
Heretaunga,Upper Hutt,"$917,000",-3.30%
Queenwood,Hamilton,"$1,013,000",-3.30%
Flaxmere,Hastings,"$481,000",-3.40%
Regent,Whangarei,"$647,000",-3.40%
Rangatira Park,Taupo,"$980,000",-3.40%
Te Kamo,Whangarei,"$726,000",-3.50%
St Andrews,Hamilton,"$835,000",-3.50%
Liberton,Dunedin,"$482,000",-3.60%
Tauhara,Taupo,"$593,000",-3.60%
Waterloo,Lower Hutt,"$800,000",-3.60%
Berhampore,Wellington,"$814,000",-3.60%
Peacocke,Hamilton,"$1,084,000",-3.60%
Frankton,Queenstown-Lakes,"$1,266,000",-3.60%
Acacia Bay,Taupo,"$1,343,000",-3.60%
Kinloch,Taupo,"$1,357,000",-3.60%
Camberley,Hastings,"$523,000",-3.70%
Forest Lake,Hamilton,"$739,000",-3.70%
Timberlea,Upper Hutt,"$781,000",-3.70%
Mangonui,Far North,"$782,000",-3.70%
Turangi,Taupo,"$464,000",-3.90%
Woodhill,Whangarei,"$565,000",-3.90%
Ruakaka,Whangarei,"$864,000",-4.00%
Richmond Heights,Taupo,"$781,000",-4.20%
Whau Valley,Whangarei,"$653,000",-4.30%
Brown Owl,Upper Hutt,"$733,000",-4.30%
Maeroa,Hamilton,"$721,000",-4.40%
Kauri,Whangarei,"$997,000",-4.40%
Raumanga,Whangarei,"$468,000",-4.50%
Kuratau,Taupo,"$874,000",-4.50%
Ngunguru,Whangarei,"$958,000",-4.50%
Milton,Clutha,"$427,000",-4.70%
Tapanui,Clutha,"$416,000",-4.80%
Waipahihi,Taupo,"$1,085,000",-4.90%
Kaitangata,Clutha,"$296,000",-5.10%
Beerescourt,Hamilton,"$999,000",-5.10%
Hilltop,Taupo,"$855,000",-5.30%
Wharewaka,Taupo,"$1,312,000",-5.30%
Morningside,Whangarei,"$531,000",-5.70%
Wellington Central,Wellington,"$467,000",-6.20%
