Suburb,Territorial local authority,Average property value,3-month change
Whenuapai,Auckland Waitakere,"$1,250,000 ",1.1
Flagstaff,Hamilton,"$1,136,000 ",1.1
Georgetown,Invercargill,"$382,000 ",1.1
Bell Block,New Plymouth,"$759,000 ",1.1
Inglewood,New Plymouth,"$638,000 ",1.1
Kelvin Grove,Palmerston North,"$809,000 ",1.1
Lynmore,Rotorua,"$937,000 ",1.1
Otamatea,Whanganui,"$883,000 ",1.1
Saint Johns Hill,Whanganui,"$666,000 ",1.1
Kingsland,Auckland City,"$1,376,000 ",1
Meadowbank,Auckland City,"$1,672,000 ",1
Saint Marys Bay,Auckland City,"$2,986,000 ",1
Weymouth,Auckland Manukau,"$792,000 ",1
Torbay,Auckland North Shore,"$1,278,000 ",1
Riverhead,Auckland Rodney,"$1,833,000 ",1
Snells Beach,Auckland Rodney,"$1,103,000 ",1
Heathcote Valley,Christchurch,"$821,000 ",1
Northwood,Christchurch,"$1,082,000 ",1
Waltham,Christchurch,"$510,000 ",1
Kingswell,Invercargill,"$414,000 ",1
Highbury,Palmerston North,"$530,000 ",1
Camborne,Porirua,"$941,000 ",1
Sunnybrook,Rotorua,"$731,000 ",1
Tai Tapu,Selwyn,"$1,497,000 ",1
Gate Pa,Tauranga,"$678,000 ",1
Temple View,Waipa,"$1,049,000 ",1
South Hill,Waitaki,"$528,000 ",1
Parua Bay,Whangarei,"$1,121,000 ",1
Burswood,Auckland Manukau,"$1,245,000 ",0.9
Glen Eden,Auckland Waitakere,"$862,000 ",0.9
Nawton,Hamilton,"$670,000 ",0.9
Bunnythorpe,Manawatu,"$876,000 ",0.9
Atawhai,Nelson,"$925,000 ",0.9
Fitzherbert,Palmerston North,"$942,000 ",0.9
Prebbleton,Selwyn,"$1,267,000 ",0.9
Watlington,Timaru,"$472,000 ",0.9
Eyrewell,Waimakariri,"$1,035,000 ",0.9
Waikuku Beach,Waimakariri,"$699,000 ",0.9
Kelburn,Wellington,"$1,495,000 ",0.9
Castlecliff,Whanganui,"$429,000 ",0.9
Avenues,Whangarei,"$541,000 ",0.9
Kauri,Whangarei,"$1,063,000 ",0.9
Mount Albert,Auckland City,"$1,369,000 ",0.8
Sandringham,Auckland City,"$1,394,000 ",0.8
Castor Bay,Auckland North Shore,"$1,977,000 ",0.8
Arkles Bay,Auckland Rodney,"$1,134,000 ",0.8
Aranui,Christchurch,"$476,000 ",0.8
St Andrews,Hamilton,"$846,000 ",0.8
Redwoodtown,Marlborough,"$596,000 ",0.8
Papakowhai,Porirua,"$903,000 ",0.8
Pomare,Rotorua,"$744,000 ",0.8
Springston,Selwyn,"$1,003,000 ",0.8
Gleniti,Timaru,"$831,000 ",0.8
Whatawhata,Waikato,"$1,210,000 ",0.8
Pegasus,Waimakariri,"$842,000 ",0.8
Glenview,Waipa,"$772,000 ",0.8
Kilbirnie,Wellington,"$887,000 ",0.8
Mount Victoria,Wellington,"$1,232,000 ",0.8
Saint Heliers,Auckland City,"$2,311,000 ",0.7
Phillipstown,Christchurch,"$453,000 ",0.7
Haruru,Far North,"$853,000 ",0.7
Saint Leonards,Hastings,"$619,000 ",0.7
Rosedale,Invercargill,"$732,000 ",0.7
Marewa,Napier,"$573,000 ",0.7
Hurdon,New Plymouth,"$811,000 ",0.7
Merrilands,New Plymouth,"$768,000 ",0.7
Papamoa,Western Bay of Plenty,"$923,000 ",0.7
Gonville,Whanganui,"$416,000 ",0.7
Parahaki,Whangarei,"$751,000 ",0.7
Ruakaka,Whangarei,"$909,000 ",0.7
Eastern Beach,Auckland Manukau,"$1,966,000 ",0.6
Devonport,Auckland North Shore,"$2,146,000 ",0.6
Henderson,Auckland Waitakere,"$955,000 ",0.6
Burnside,Christchurch,"$893,000 ",0.6
Frankton,Hamilton,"$652,000 ",0.6
Flaxmere,Hastings,"$484,000 ",0.6
Riversdale,Marlborough,"$547,000 ",0.6
Waikawa,Marlborough,"$939,000 ",0.6
Taradale,Napier,"$829,000 ",0.6
Kawaha Point,Rotorua,"$797,000 ",0.6
Southbridge,Selwyn,"$653,000 ",0.6
Hawera,South Taranaki,"$542,000 ",0.6
Appleby,Tasman,"$1,034,000 ",0.6
Richmond,Tasman,"$815,000 ",0.6
Marchwiel,Timaru,"$523,000 ",0.6
Seaview,Timaru,"$478,000 ",0.6
Temuka,Timaru,"$513,000 ",0.6
Kaiapoi,Waimakariri,"$688,000 ",0.6
Oamaru North,Waitaki,"$481,000 ",0.6
Ngunguru,Whangarei,"$1,021,000 ",0.6
Whau Valley,Whangarei,"$693,000 ",0.6
Mission Bay,Auckland City,"$2,223,000 ",0.5
Feilding,Manawatu,"$653,000 ",0.5
Te Awa,Napier,"$836,000 ",0.5
Terrace End,Palmerston North,"$641,000 ",0.5
Te Kauwhata,Waikato,"$825,000 ",0.5
Kensington,Whangarei,"$628,000 ",0.5
One Tree Point,Whangarei,"$1,090,000 ",0.5
Silverdale,Auckland Rodney,"$1,373,000 ",0.4
Hobsonville,Auckland Waitakere,"$1,141,000 ",0.4
Christchurch Central,Christchurch,"$690,000 ",0.4
Woolston,Christchurch,"$559,000 ",0.4
North Dunedin,Dunedin,"$707,000 ",0.4
Cloverlea,Palmerston North,"$558,000 ",0.4
Paremata,Porirua,"$943,000 ",0.4
Otumoetai,Tauranga,"$1,071,000 ",0.4
Waimate,Waimate,"$505,000 ",0.4
Te Kamo,Whangarei,"$740,000 ",0.4
Surfdale,Auckland City,"$1,360,000 ",0.3
Papanui,Christchurch,"$743,000 ",0.3
Yaldhurst,Christchurch,"$982,000 ",0.3
Karikari Peninsula,Far North,"$766,000 ",0.3
Whitiora,Hamilton,"$646,000 ",0.3
Morrinsville,Matamata-Piako,"$786,000 ",0.3
Frankleigh Park,New Plymouth,"$703,000 ",0.3
Awapuni,Palmerston North,"$621,000 ",0.3
Ngaruawahia,Waikato,"$760,000 ",0.3
Oxford,Waimakariri,"$702,000 ",0.3
Kihikihi,Waipa,"$757,000 ",0.3
Woodhill,Whangarei,"$594,000 ",0.3
Ellerslie,Auckland City,"$1,266,000 ",0.2
Kohimarama,Auckland City,"$2,211,000 ",0.2
Mount Eden,Auckland City,"$1,784,000 ",0.2
Kelston,Auckland Waitakere,"$905,000 ",0.2
Waipukurau,Central Hawke's Bay,"$643,000 ",0.2
Huntington,Hamilton,"$1,057,000 ",0.2
Raureka,Hastings,"$629,000 ",0.2
Waikiwi,Invercargill,"$614,000 ",0.2
Blenheim,Marlborough,"$600,000 ",0.2
Picton,Marlborough,"$648,000 ",0.2
Tamatea,Napier,"$623,000 ",0.2
Palmerston North,Palmerston North,"$636,000 ",0.2
Mangakakahi,Rotorua,"$527,000 ",0.2
Bellevue,Tauranga,"$809,000 ",0.2
Deanwell,Waipa,"$641,000 ",0.2
Te Puke,Western Bay of Plenty,"$808,000 ",0.2
Whanganui East,Whanganui,"$436,000 ",0.2
Greenlane,Auckland City,"$1,862,000 ",0.1
Waiuku,Auckland Franklin,"$882,000 ",0.1
Belmont,Auckland North Shore,"$1,592,000 ",0.1
Campbells Bay,Auckland North Shore,"$2,335,000 ",0.1
Papakura,Auckland Papakura,"$852,000 ",0.1
Manly,Auckland Rodney,"$1,245,000 ",0.1
Waihi,Hauraki,"$720,000 ",0.1
Moturoa,New Plymouth,"$732,000 ",0.1
Whalers Gate,New Plymouth,"$782,000 ",0.1
Brookfield,Tauranga,"$819,000 ",0.1
Judea,Tauranga,"$739,000 ",0.1
Ohauiti,Western Bay of Plenty,"$1,141,000 ",0.1
Welcome Bay,Western Bay of Plenty,"$910,000 ",0.1
Tinwald,Ashburton,"$603,000 ",0
Mangere East,Auckland Manukau,"$866,000 ",0
Northcote,Auckland North Shore,"$1,238,000 ",0
Saint Martins,Christchurch,"$759,000 ",0
Kaeo,Far North,"$839,000 ",0
Maraenui,Napier,"$480,000 ",0
Highlands Park,New Plymouth,"$887,000 ",0
Owhata,Rotorua,"$667,000 ",0
Eltham,South Taranaki,"$407,000 ",0
Tauranga South,Tauranga,"$908,000 ",0
Whakamarama,Western Bay of Plenty,"$1,521,000 ",0
Hokitika,Westland,"$423,000 ",0
Ohope,Whakatane,"$1,339,000 ",0
Horahora,Whangarei,"$662,000 ",0
Wigram,Christchurch,"$856,000 ",-0.1
Matamata,Matamata-Piako,"$817,000 ",-0.1
Westshore,Napier,"$1,043,000 ",-0.1
Aongatete,Western Bay of Plenty,"$1,286,000 ",-0.1
Milton,Clutha,"$424,000 ",-0.2
Westbrook,Palmerston North,"$560,000 ",-0.2
Koutu,Rotorua,"$514,000 ",-0.2
Tokoroa,South Waikato,"$421,000 ",-0.2
Glen Innes,Auckland City,"$1,155,000 ",-0.3
Wesley,Auckland City,"$1,128,000 ",-0.3
Mangere Bridge,Auckland Manukau,"$1,191,000 ",-0.3
Hamilton East,Hamilton,"$723,000 ",-0.3
Windsor,Invercargill,"$574,000 ",-0.3
Hospital Hill,Napier,"$965,000 ",-0.3
Tirau,South Waikato,"$668,000 ",-0.3
Parkvale,Tauranga,"$654,000 ",-0.3
Cambridge,Waipa,"$1,170,000 ",-0.3
Upper Riccarton,Christchurch,"$676,000 ",-0.4
Spotswood,New Plymouth,"$553,000 ",-0.4
Fairy Springs,Rotorua,"$565,000 ",-0.4
Leeston,Selwyn,"$769,000 ",-0.4
West End,Timaru,"$496,000 ",-0.4
Kumeu,Auckland Rodney,"$1,510,000 ",-0.5
Heidelberg,Invercargill,"$416,000 ",-0.5
Strathern,Invercargill,"$381,000 ",-0.5
Tasman,Tasman,"$1,547,000 ",-0.5
Matua,Tauranga,"$1,191,000 ",-0.5
Glenwood,Timaru,"$547,000 ",-0.5
Omokoroa,Western Bay of Plenty,"$1,112,000 ",-0.5
Carterton,Carterton,"$645,000 ",-0.6
Napier South,Napier,"$662,000 ",-0.6
Marfell,New Plymouth,"$481,000 ",-0.6
Bethlehem,Tauranga,"$1,124,000 ",-0.6
Tauranga,Tauranga,"$1,004,000 ",-0.6
Katikati,Western Bay of Plenty,"$780,000 ",-0.6
Tikipunga,Whangarei,"$619,000 ",-0.6
Avondale,Auckland City,"$984,000 ",-0.7
Blagdon,New Plymouth,"$581,000 ",-0.7
Hokowhitu,Palmerston North,"$801,000 ",-0.7
Kirwee,Selwyn,"$996,000 ",-0.7
Waverley,South Taranaki,"$410,000 ",-0.7
Waihi Beach,Western Bay of Plenty,"$1,489,000 ",-0.7
Opunake,South Taranaki,"$483,000 ",-0.8
Raglan,Waikato,"$1,161,000 ",-0.8
Athenree,Western Bay of Plenty,"$1,090,000 ",-0.8
Otorohanga,Otorohanga,"$633,000 ",-0.9
Bulls,Rangitikei,"$562,000 ",-0.9
Te Kuiti,Waitomo,"$458,000 ",-0.9
Epsom,Auckland City,"$2,201,000 ",-1
Waverley,Invercargill,"$567,000 ",-1
Nelson,Nelson,"$1,141,000 ",-1.1
New Plymouth,New Plymouth,"$861,000 ",-1.1
Highfield,Timaru,"$607,000 ",-1.1
Auckland Central,Auckland City,"$571,000 ",-1.2
Te Hapara,Gisborne,"$556,000 ",-1.2
Levin,Horowhenua,"$587,000 ",-1.2
Pleasant Point,Timaru,"$592,000 ",-1.2
Waimataitai,Timaru,"$506,000 ",-1.2
Morningside,Whangarei,"$563,000 ",-1.2
Regent,Whangarei,"$681,000 ",-1.2
Parnell,Auckland City,"$2,134,000 ",-1.3
St Albans,Christchurch,"$885,000 ",-1.3
Bluff Hill,Napier,"$992,000 ",-1.3
Richmond,Invercargill,"$477,000 ",-1.4
Hairini,Tauranga,"$777,000 ",-1.4
Hargest,Invercargill,"$527,000 ",-1.5
Newfield,Invercargill,"$448,000 ",-1.5
Maori Hill,Timaru,"$586,000 ",-1.5
Gisborne,Gisborne,"$539,000 ",-1.6
Gladstone,Invercargill,"$615,000 ",-1.6
Patea,South Taranaki,"$304,000 ",-1.6
Newtown,Wellington,"$940,000 ",-1.6
Grasmere,Invercargill,"$455,000 ",-1.9
Waiotahe,Opotiki,"$1,008,000 ",-1.9
Maungatapu,Tauranga,"$916,000 ",-1.9
Huntly,Waikato,"$547,000 ",-2.1
Opotiki,Opotiki,"$464,000 ",-2.3
Raumanga,Whangarei,"$495,000 ",-2.4
Marton,Rangitikei,"$499,000 ",-2.5
Omaha,Auckland Rodney,"$2,788,000 ",-2.6
Hawthorndale,Invercargill,"$480,000 ",-2.6
Glengarry,Invercargill,"$427,000 ",-3
Wairoa,Wairoa,"$325,000 ",-3
Victoria,Rotorua,"$506,000 ",-3.1
Whataupoko,Gisborne,"$798,000 ",-3.5
Remuera,Auckland City,"$2,622,000 ",-4.1
Ohakune,Ruapehu,"$489,000 ",-5
Kawerau,Kawerau,"$386,000 ",-5.6
