Suburb,Territorial local authority,Average property value,3-month change
Red Beach,Auckland Rodney,"$1,259,000 ",3.5
Warkworth,Auckland Rodney,"$1,230,000 ",3.5
Massey,Auckland Waitakere,"$998,000 ",3.5
Hillmorton,Christchurch,"$682,000 ",3.5
South New Brighton,Christchurch,"$623,000 ",3.5
Waverley,Dunedin,"$795,000 ",3.5
Maeroa,Hamilton,"$732,000 ",3.5
Kaikoura,Kaikoura,"$708,000 ",3.5
Kaiwaka,Kaipara,"$946,000 ",3.5
Boulcott,Lower Hutt,"$882,000 ",3.5
Masterton,Masterton,"$534,000 ",3.5
Fernhill,Queenstown-Lakes,"$1,328,000 ",3.5
Featherston,South Wairarapa,"$590,000 ",3.5
Nukuhau,Taupo,"$895,000 ",3.5
Papamoa Beach,Tauranga,"$1,102,000 ",3.5
Wadestown,Wellington,"$1,251,000 ",3.5
Manukau,Auckland Manukau,"$638,000 ",3.4
Totara Heights,Auckland Manukau,"$1,029,000 ",3.4
Hamilton Central,Hamilton,"$758,000 ",3.4
Shannon,Horowhenua,"$489,000 ",3.4
Lansdowne,Masterton,"$633,000 ",3.4
Cannons Creek,Porirua,"$581,000 ",3.4
Titahi Bay,Porirua,"$729,000 ",3.4
Rangatira Park,Taupo,"$1,009,000 ",3.4
Waipahihi,Taupo,"$1,109,000 ",3.4
Methven,Ashburton,"$691,000 ",3.3
Westmere,Auckland City,"$2,624,000 ",3.3
Unsworth Heights,Auckland North Shore,"$1,188,000 ",3.3
Cracroft,Christchurch,"$1,141,000 ",3.3
Wakari,Dunedin,"$598,000 ",3.3
Greymouth,Grey,"$436,000 ",3.3
Eskdale,Hastings,"$1,359,000 ",3.3
Otatara,Invercargill,"$791,000 ",3.3
Raumati South,Kapiti Coast,"$880,000 ",3.3
Woburn,Lower Hutt,"$1,187,000 ",3.3
Richmond Heights,Taupo,"$784,000 ",3.3
Tairua,Thames-Coromandel,"$1,122,000 ",3.3
Totara Park,Upper Hutt,"$690,000 ",3.3
Hampstead,Ashburton,"$446,000 ",3.2
Orakei,Auckland City,"$2,443,000 ",3.2
Ostend,Auckland City,"$1,461,000 ",3.2
Botany Downs,Auckland Manukau,"$1,287,000 ",3.2
Golflands,Auckland Manukau,"$1,330,000 ",3.2
Waitakere,Auckland Waitakere,"$1,407,000 ",3.2
Kawakawa,Far North,"$516,000 ",3.2
Eastbourne,Lower Hutt,"$1,167,000 ",3.2
Monaco,Nelson,"$742,000 ",3.2
Upper Moutere,Tasman,"$1,303,000 ",3.2
Acacia Bay,Taupo,"$1,371,000 ",3.2
Te Aro,Wellington,"$720,000 ",3.2
Beachlands,Auckland Manukau,"$1,595,000 ",3.1
Beach Haven,Auckland North Shore,"$1,084,000 ",3.1
Glenfield,Auckland North Shore,"$1,026,000 ",3.1
Westport,Buller,"$399,000 ",3.1
Hornby,Christchurch,"$596,000 ",3.1
Bader,Hamilton,"$601,000 ",3.1
Queenwood,Hamilton,"$1,024,000 ",3.1
Aokautere,Palmerston North,"$1,173,000 ",3.1
Pukerua Bay,Porirua,"$899,000 ",3.1
Matarangi,Thames-Coromandel,"$1,127,000 ",3.1
Palmerston,Waitaki,"$437,000 ",3.1
Glendowie,Auckland City,"$2,299,000 ",3
Bucklands Beach,Auckland Manukau,"$1,772,000 ",3
Clevedon,Auckland Manukau,"$2,059,000 ",3
Paihia,Far North,"$837,000 ",3
Hillcrest,Hamilton,"$788,000 ",3
Greytown,South Wairarapa,"$966,000 ",3
Hope,Tasman,"$1,291,000 ",3
Coromandel,Thames-Coromandel,"$855,000 ",3
Elderslea,Upper Hutt,"$730,000 ",3
Morningside,Auckland City,"$1,302,000 ",2.9
Saint Johns,Auckland City,"$1,517,000 ",2.9
East Tamaki Heights,Auckland Manukau,"$1,816,000 ",2.9
Hei Hei,Christchurch,"$610,000 ",2.9
Epuni,Lower Hutt,"$793,000 ",2.9
Taita,Lower Hutt,"$634,000 ",2.9
Kuripuni,Masterton,"$536,000 ",2.9
Pauanui,Thames-Coromandel,"$1,524,000 ",2.9
Parkside,Timaru,"$461,000 ",2.9
Tuakau,Waikato,"$850,000 ",2.9
Newmarket,Auckland City,"$891,000 ",2.8
Wiri,Auckland Manukau,"$697,000 ",2.8
Birkenhead,Auckland North Shore,"$1,354,000 ",2.8
Coatesville,Auckland Rodney,"$3,585,000 ",2.8
Dairy Flat,Auckland Rodney,"$2,394,000 ",2.8
Waimauku,Auckland Rodney,"$1,598,000 ",2.8
Laingholm,Auckland Waitakere,"$1,025,000 ",2.8
Ranui,Auckland Waitakere,"$859,000 ",2.8
Alexandra,Central Otago,"$780,000 ",2.8
Casebrook,Christchurch,"$843,000 ",2.8
Cashmere,Christchurch,"$1,170,000 ",2.8
Russley,Christchurch,"$709,000 ",2.8
Spreydon,Christchurch,"$623,000 ",2.8
Balclutha,Clutha,"$438,000 ",2.8
Kenmure,Dunedin,"$617,000 ",2.8
Kerikeri,Far North,"$1,092,000 ",2.8
Russell,Far North,"$1,520,000 ",2.8
Kelson,Lower Hutt,"$852,000 ",2.8
Aotea,Porirua,"$1,251,000 ",2.8
Dannevirke,Tararua,"$484,000 ",2.8
Ohoka,Waimakariri,"$1,491,000 ",2.8
Hikurangi,Whangarei,"$584,000 ",2.8
Point England,Auckland City,"$1,017,000 ",2.7
Bombay,Auckland Franklin,"$1,644,000 ",2.7
Howick,Auckland Manukau,"$1,223,000 ",2.7
Papatoetoe,Auckland Manukau,"$875,000 ",2.7
Northcross,Auckland North Shore,"$1,342,000 ",2.7
Matakana,Auckland Rodney,"$1,872,000 ",2.7
Roslyn,Dunedin,"$901,000 ",2.7
Hutt Central,Lower Hutt,"$1,006,000 ",2.7
Birchville,Upper Hutt,"$712,000 ",2.7
Fairview Downs,Waikato,"$721,000 ",2.7
Swannanoa,Waimakariri,"$1,313,000 ",2.7
Grafton,Auckland City,"$669,000 ",2.6
One Tree Hill,Auckland City,"$1,373,000 ",2.6
Manurewa East,Auckland Manukau,"$753,000 ",2.6
Milford,Auckland North Shore,"$1,805,000 ",2.6
Sunnynook,Auckland North Shore,"$1,206,000 ",2.6
Takanini,Auckland Papakura,"$945,000 ",2.6
Kennedys Bush,Christchurch,"$1,757,000 ",2.6
Redcliffs,Christchurch,"$1,188,000 ",2.6
Waipapa,Far North,"$1,073,000 ",2.6
Maungaturoto,Kaipara,"$757,000 ",2.6
Waterloo,Lower Hutt,"$844,000 ",2.6
Onekawa,Napier,"$598,000 ",2.6
Whitby,Porirua,"$986,000 ",2.6
Cust,Waimakariri,"$1,069,000 ",2.6
Holmes Hill,Waitaki,"$584,000 ",2.6
Karori,Wellington,"$1,067,000 ",2.6
Seatoun,Wellington,"$1,756,000 ",2.6
Whakatane,Whakatane,"$703,000 ",2.6
Onehunga,Auckland City,"$1,162,000 ",2.5
Onetangi,Auckland City,"$1,903,000 ",2.5
Patumahoe,Auckland Franklin,"$1,257,000 ",2.5
Albany,Auckland North Shore,"$1,137,000 ",2.5
Albany Heights,Auckland North Shore,"$1,438,000 ",2.5
Bayview,Auckland North Shore,"$1,019,000 ",2.5
Forrest Hill,Auckland North Shore,"$1,414,000 ",2.5
Opaheke,Auckland Papakura,"$1,092,000 ",2.5
Green Bay,Auckland Waitakere,"$1,204,000 ",2.5
Sunnyvale,Auckland Waitakere,"$903,000 ",2.5
Redwood,Christchurch,"$665,000 ",2.5
Sumner,Christchurch,"$1,169,000 ",2.5
Sydenham,Christchurch,"$571,000 ",2.5
Dunedin Central,Dunedin,"$704,000 ",2.5
Mornington,Dunedin,"$574,000 ",2.5
Chedworth,Hamilton,"$917,000 ",2.5
Dargaville,Kaipara,"$535,000 ",2.5
Halcombe,Manawatu,"$825,000 ",2.5
Enner Glynn,Nelson,"$888,000 ",2.5
Frankton,Queenstown-Lakes,"$1,241,000 ",2.5
Rolleston,Selwyn,"$867,000 ",2.5
Trentham,Upper Hutt,"$698,000 ",2.5
Hataitai,Wellington,"$1,181,000 ",2.5
Rakaia,Ashburton,"$550,000 ",2.4
Wai o Taiki Bay,Auckland City,"$1,582,000 ",2.4
Huapai,Auckland Rodney,"$1,267,000 ",2.4
Wainui,Auckland Rodney,"$1,479,000 ",2.4
Diamond Harbour,Christchurch,"$774,000 ",2.4
Edgeware,Christchurch,"$561,000 ",2.4
Claudelands,Hamilton,"$769,000 ",2.4
Roslyn,Palmerston North,"$553,000 ",2.4
Ranui,Porirua,"$642,000 ",2.4
Redwood Valley,Tasman,"$1,558,000 ",2.4
Taupo,Taupo,"$738,000 ",2.4
Whitianga,Thames-Coromandel,"$1,040,000 ",2.4
Pinehaven,Upper Hutt,"$770,000 ",2.4
Brooklyn,Wellington,"$1,096,000 ",2.4
Eden Terrace,Auckland City,"$806,000 ",2.3
East Tamaki,Auckland Manukau,"$1,150,000 ",2.3
Flat Bush,Auckland Manukau,"$1,374,000 ",2.3
Henderson Valley,Auckland Waitakere,"$1,327,000 ",2.3
Halswell,Christchurch,"$849,000 ",2.3
Lyttelton,Christchurch,"$784,000 ",2.3
Northcote,Christchurch,"$589,000 ",2.3
Sockburn,Christchurch,"$622,000 ",2.3
Amberley,Hurunui,"$742,000 ",2.3
Strandon,New Plymouth,"$979,000 ",2.3
Pahiatua,Tararua,"$481,000 ",2.3
Motueka,Tasman,"$725,000 ",2.3
Kinloch,Taupo,"$1,361,000 ",2.3
Clouston Park,Upper Hutt,"$665,000 ",2.3
Edgecumbe,Whakatane,"$667,000 ",2.3
Netherby,Ashburton,"$550,000 ",2.2
Otahuhu,Auckland City,"$794,000 ",2.2
Maraetai,Auckland Manukau,"$1,546,000 ",2.2
Murrays Bay,Auckland North Shore,"$1,794,000 ",2.2
Windsor Park,Auckland North Shore,"$1,377,000 ",2.2
Helensville,Auckland Rodney,"$1,168,000 ",2.2
Huntsbury,Christchurch,"$1,157,000 ",2.2
Shirley,Christchurch,"$649,000 ",2.2
Somerfield,Christchurch,"$740,000 ",2.2
South Dunedin,Dunedin,"$413,000 ",2.2
Elgin,Gisborne,"$475,000 ",2.2
Mangapapa,Gisborne,"$639,000 ",2.2
Foxton,Horowhenua,"$511,000 ",2.2
Waitarere Beach,Horowhenua,"$650,000 ",2.2
Hanmer Springs,Hurunui,"$830,000 ",2.2
Otaki Beach,Kapiti Coast,"$617,000 ",2.2
Washington Valley,Nelson,"$612,000 ",2.2
West Melton,Selwyn,"$1,331,000 ",2.2
Putaruru,South Waikato,"$547,000 ",2.2
Thames,Thames-Coromandel,"$741,000 ",2.2
Geraldine,Timaru,"$607,000 ",2.2
Silverstream,Upper Hutt,"$873,000 ",2.2
Khandallah,Wellington,"$1,261,000 ",2.2
Mount Cook,Wellington,"$784,000 ",2.2
Strathmore Park,Wellington,"$1,052,000 ",2.2
Hillsborough,Auckland City,"$1,326,000 ",2.1
Mairangi Bay,Auckland North Shore,"$1,777,000 ",2.1
Conifer Grove,Auckland Papakura,"$1,036,000 ",2.1
Burwood,Christchurch,"$693,000 ",2.1
North New Brighton,Christchurch,"$590,000 ",2.1
Richmond,Christchurch,"$578,000 ",2.1
Kaitangata,Clutha,"$290,000 ",2.1
Mosgiel,Dunedin,"$717,000 ",2.1
Dinsdale,Hamilton,"$718,000 ",2.1
Enderley,Hamilton,"$625,000 ",2.1
Ngatea,Hauraki,"$730,000 ",2.1
Paraparaumu,Kapiti Coast,"$781,000 ",2.1
Stoke,Nelson,"$740,000 ",2.1
Toi Toi,Nelson,"$543,000 ",2.1
Hamurana,Rotorua,"$1,230,000 ",2.1
Ebdentown,Upper Hutt,"$666,000 ",2.1
Wallaceville,Upper Hutt,"$768,000 ",2.1
Miramar,Wellington,"$1,009,000 ",2.1
Aramoho,Whanganui,"$487,000 ",2.1
Whanganui,Whanganui,"$394,000 ",2.1
Waipu,Whangarei,"$1,161,000 ",2.1
Ashburton,Ashburton,"$501,000 ",2
Narrow Neck,Auckland North Shore,"$2,003,000 ",2
Waiake,Auckland North Shore,"$1,613,000 ",2
Red Hill,Auckland Papakura,"$847,000 ",2
Stanmore Bay,Auckland Rodney,"$1,082,000 ",2
Broomfield,Christchurch,"$703,000 ",2
Mount Pleasant,Christchurch,"$1,164,000 ",2
Wainoni,Christchurch,"$511,000 ",2
Westmorland,Christchurch,"$1,169,000 ",2
North East Valley,Dunedin,"$550,000 ",2
Saint Kilda,Dunedin,"$500,000 ",2
Forest Lake,Hamilton,"$754,000 ",2
Cheviot,Hurunui,"$507,000 ",2
Solway,Masterton,"$609,000 ",2
Western Heights,Rotorua,"$522,000 ",2
Wharewaka,Taupo,"$1,361,000 ",2
Pirongia,Waipa,"$1,061,000 ",2
Weston,Waitaki,"$711,000 ",2
Newlands,Wellington,"$855,000 ",2
Pyes Pa,Western Bay of Plenty,"$1,136,000 ",2
Maunu,Whangarei,"$1,001,000 ",2
Point Chevalier,Auckland City,"$1,926,000 ",1.9
Three Kings,Auckland City,"$1,191,000 ",1.9
Mangere,Auckland Manukau,"$873,000 ",1.9
Gulf Harbour,Auckland Rodney,"$1,088,000 ",1.9
Wellsford,Auckland Rodney,"$839,000 ",1.9
Bryndwr,Christchurch,"$798,000 ",1.9
Templeton,Christchurch,"$799,000 ",1.9
Cable Bay,Far North,"$855,000 ",1.9
Fitzroy,Hamilton,"$793,000 ",1.9
Grandview Heights,Hamilton,"$917,000 ",1.9
Clive,Hastings,"$915,000 ",1.9
Havelock North,Hastings,"$1,236,000 ",1.9
Paraparaumu Beach,Kapiti Coast,"$857,000 ",1.9
Waikanae Beach,Kapiti Coast,"$907,000 ",1.9
Ashhurst,Manawatu,"$715,000 ",1.9
Milson,Palmerston North,"$631,000 ",1.9
West End,Palmerston North,"$604,000 ",1.9
Hilltop,Taupo,"$870,000 ",1.9
Riverstone Terraces,Upper Hutt,"$1,046,000 ",1.9
Fernside,Waimakariri,"$1,281,000 ",1.9
Lyall Bay,Wellington,"$997,000 ",1.9
