Suburb,Current average property value,3-month change %,3-month change $
Maraenui,"$486,000",-2.8,-14000
Kaitaia,"$442,000",-3.1,-14000
Tapanui,"$422,000",-3.2,-14000
Wairoa,"$309,000",-4.3,-14000
Clevedon,"$2,039,000",-0.7,-15000
Northcote Point,"$1,726,000",-0.9,-15000
Cooks Beach,"$1,467,000",-1,-15000
Paihia,"$805,000",-1.8,-15000
Shirley,"$636,000",-2.3,-15000
Masterton,"$520,000",-2.8,-15000
Takapuna,"$2,173,000",-0.7,-16000
West Harbour,"$1,232,000",-1.3,-16000
Te Atatu South,"$914,000",-1.7,-16000
Flaxmere,"$477,000",-3.2,-16000
Greenlane,"$1,850,000",-0.9,-17000
Mangawhai,"$1,395,000",-1.2,-17000
Westshore,"$1,028,000",-1.6,-17000
Fairy Springs,"$552,000",-3,-17000
Featherston,"$553,000",-3,-17000
Point Wells,"$2,468,000",-0.7,-18000
Paremata,"$916,000",-1.9,-18000
Haruru,"$813,000",-2.2,-18000
Ahipara,"$634,000",-2.8,-18000
Paeroa,"$571,000",-3.1,-18000
Aramoho,"$490,000",-3.5,-18000
Tamahere,"$2,074,000",-0.9,-19000
Half Moon Bay,"$1,568,000",-1.2,-19000
Red Beach,"$1,222,000",-1.5,-19000
Unsworth Heights,"$1,174,000",-1.6,-19000
Springfield,"$802,000",-2.3,-19000
Thames,"$700,000",-2.6,-19000
Drury,"$1,319,000",-1.5,-20000
Northcross,"$1,288,000",-1.5,-20000
Loburn,"$1,197,000",-1.6,-20000
Hataitai,"$1,113,000",-1.8,-20000
Pokeno,"$1,003,000",-2,-20000
Te Awa,"$808,000",-2.4,-20000
Kohimarama,"$2,196,000",-1,-22000
Kinloch,"$1,359,000",-1.6,-22000
Frankton,"$1,264,000",-1.7,-22000
Kerikeri,"$1,032,000",-2.1,-22000
Lyall Bay,"$923,000",-2.3,-22000
Kaeo,"$800,000",-2.7,-22000
Khandallah,"$1,227,000",-1.8,-23000
Kirwee,"$1,001,000",-2.2,-23000
Heretaunga,"$917,000",-2.4,-23000
Mangonui,"$783,000",-2.9,-23000
Westmere,"$2,560,000",-0.9,-24000
Wharewaka,"$1,307,000",-1.8,-24000
Glenfield,"$1,042,000",-2.3,-24000
Lynmore,"$920,000",-2.5,-24000
Tawa,"$827,000",-2.8,-24000
Belmont,"$1,517,000",-1.6,-25000
Kelburn,"$1,359,000",-1.8,-25000
Mangere East,"$849,000",-2.9,-25000
Maupuia,"$855,000",-3,-26000
Berhampore,"$811,000",-3.1,-26000
Glendowie,"$2,250,000",-1.2,-27000
Broadmeadows,"$844,000",-3.2,-28000
St Andrews,"$830,000",-3.3,-28000
Onetangi,"$1,953,000",-1.5,-29000
Warkworth,"$1,206,000",-2.3,-29000
Northcote,"$1,171,000",-2.4,-29000
Kawaha Point,"$765,000",-3.7,-29000
Wellington Central,"$454,000",-6,-29000
Massey,"$911,000",-3.2,-30000
Long Bay,"$1,732,000",-1.8,-31000
Martinborough,"$1,004,000",-3,-31000
Camborne,"$898,000",-3.3,-31000
Mangawhai Heads,"$1,388,000",-2.3,-32000
Cambridge,"$1,161,000",-2.8,-33000
Totara Park,"$1,485,000",-2.2,-34000
Browns Bay,"$1,234,000",-2.7,-34000
Mount Victoria,"$1,151,000",-2.9,-34000
Melrose,"$951,000",-3.6,-36000
Strathmore Park,"$931,000",-3.7,-36000
Wilton,"$892,000",-3.9,-36000
Beerescourt,"$993,000",-3.7,-38000
Mission Bay,"$2,180,000",-1.8,-39000
Greytown,"$933,000",-4.1,-40000
Northland,"$1,016,000",-3.9,-41000
Russell,"$1,495,000",-3,-46000
Churton Park,"$1,054,000",-4.2,-46000
Grenada Village,"$973,000",-4.5,-46000
Seatoun,"$1,669,000",-2.7,-47000
Crofton Downs,"$974,000",-5.3,-54000
Arthurs Point,"$1,548,000",-3.4,-55000
Brooklyn,"$998,000",-5.4,-57000
Saint Heliers,"$2,254,000",-2.5,-58000
Grey Lynn,"$1,717,000",-3.5,-62000
