"","Year","City","Region_Category","Mortgage_Index","Deposit_Index","Rent_Index","Mortgage_Floating_Rate","Mortgage_2yr_Fixed_Rate","HPI_Annual_Change","HVS_House_Values","RBNZ_House_Price_Change","RBNZ_House_Value_Index","RBNZ_Debt_Servicing_Pct","RBNZ_Floating_Rate","RBNZ_2yr_Fixed_Rate","RBNZ_CPI_Change","RBNZ_Unemployment_Rate","Avg_House_Price_Level","Avg_House_Price_Change","Avg_House_Price_Abs_Change","Unemployment_Rate","Income_Level","Income_Quarterly_Change","Consents_Per_1000","log_price"
"1",2015,"Ashburton District","Canterbury Rural",0.0773338095915932,1.01851837505296,0.29551235380736,6.275,5.6225,12.4,837014,12.4,837014,10.025,6.275,5.6225,0.3,5.425,449679,2.7,11802,-1.47332847058278,-1.81533164692494,1898.45719489982,NA,13.0162892738699
"2",2015,"Auckland","Auckland Urban",-0.726527002857864,-0.377417244461033,0.41285525009549,6.275,5.6225,12.4,837014,12.4,837014,10.025,6.275,5.6225,0.3,5.425,783611,16.5,110877,2.35934124032439,-0.611234620548478,5225.07832422586,NA,13.5716680027284
"3",2015,"Bay of Plenty","Other",0.205615181175448,1.25559928059479,0.53329552232625,6.275,5.6225,12.4,837014,12.4,837014,10.025,6.275,5.6225,0.3,5.425,586025.666666667,7.46666666666667,46239.6666666667,1.00663428353362,-1.2038125049614,3191.33090467517,NA,13.2811188673724
"4",2015,"Buller District","Other",0.760069812330771,2.209443964946,3.6702225731476,6.275,5.6225,12.4,837014,12.4,837014,10.025,6.275,5.6225,0.3,5.425,586025.666666667,7.46666666666667,46239.6666666667,1.00663428353362,-1.2038125049614,3191.33090467517,NA,13.2811188673724
"5",2015,"Canterbury","Canterbury Rural",0.092094218455844,1.04385030742592,0.241427404655268,6.275,5.6225,12.4,837014,12.4,837014,10.025,6.275,5.6225,0.3,5.425,449679,2.7,11802,-1.47332847058278,-1.81533164692494,1898.45719489982,NA,13.0162892738699
"6",2015,"Carterton District","Wellington Rural",0.300439626000334,1.4103514059245,0.554500634548878,6.275,5.6225,12.4,837014,12.4,837014,10.025,6.275,5.6225,0.3,5.425,524787,3.2,16040,2.13389008085926,-1.18487124741078,2450.45719489982,NA,13.1707477449637
"7",2015,"Central Hawkes Bay District","Other",0.681973830885369,2.07758800926109,0.637176746248329,6.275,5.6225,12.4,837014,12.4,837014,10.025,6.275,5.6225,0.3,5.425,586025.666666667,7.46666666666667,46239.6666666667,1.00663428353362,-1.2038125049614,3191.33090467517,NA,13.2811188673724
"8",2015,"Central Otago District","Other",0.344452481522828,1.48975727086283,0.586189173038868,6.275,5.6225,12.4,837014,12.4,837014,10.025,6.275,5.6225,0.3,5.425,586025.666666667,7.46666666666667,46239.6666666667,1.00663428353362,-1.2038125049614,3191.33090467517,NA,13.2811188673724
"9",2015,"Christchurch City","Canterbury Urban",0.000311312427227885,0.884389040821751,0.0898942431542523,6.275,5.6225,12.4,837014,12.4,837014,10.025,6.275,5.6225,0.3,5.425,449679,2.7,11802,-1.47332847058278,-1.81533164692494,1898.45719489982,NA,13.0162892738699
"10",2015,"Clutha District","Other",0.404478144237448,1.59514460490163,0.601199533376234,6.275,5.6225,12.4,837014,12.4,837014,10.025,6.275,5.6225,0.3,5.425,586025.666666667,7.46666666666667,46239.6666666667,1.00663428353362,-1.2038125049614,3191.33090467517,NA,13.2811188673724
