date,auckland,christchurch,wellington
2013-03-31,4764,1564,457
2014-03-31,6530,3034,682
2015-03-31,7940,4432,579
2016-03-31,9558,3723,605
2017-03-31,10199,3114,716
2018-03-31,11192,2487,946
2019-03-31,13874,2379,1084
2020-03-31,14932,2773,1475
2021-03-31,17495,3031,1121
2022-03-31,21477,4714,929
2023-03-31,20312,4688,1168
2024-03-31,14699,3963,448
2025-03-31,14049,3897,442
